dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1
citeseer,SCAR,NNIF,MLP,0.4,0.4051306010472291,0.032413806
citeseer,SCAR,NNIF,MLP,0.3,0.36515818129144645,0.036352575
citeseer,SCAR,NNIF,MLP,0.2,0.2156071543009351,0.061150386
citeseer,SCAR,two_nnif,MLP,0.4,0.40765432827232573,0.012853870666193533
citeseer,SCAR,two_nnif,GATConv,0.4,0.5008204682035244,0.013697996833643455
citeseer,SCAR,two_nnif,GCNConv,0.4,0.5175234738791418,0.041443064
citeseer,SCAR,two_nnif,MLP,0.3,0.22340518484586283,0.068615407
citeseer,SCAR,two_nnif,GATConv,0.3,0.41909216156447776,0.046548555
citeseer,SCAR,two_nnif,GCNConv,0.3,0.39090669174372744,0.09753525
citeseer,SCAR,two_nnif,MLP,0.2,0.052865858,0.020691248354297836
citeseer,SCAR,two_nnif,GATConv,0.2,0.1834432731792166,0.11725813539216062
citeseer,SCAR,two_nnif,GCNConv,0.2,0.060312332,0.085294517
citeseer,SCAR,ours,GATConv,0.4,0.7443590344886456,0.00542699
citeseer,SCAR,ours,GATConv,0.3,0.7348882382913123,0.004038752
citeseer,SCAR,ours,GATConv,0.2,0.645018,0.040820374519075164
citeseer,SAR,NNIF,MLP,0.4,0.3704359764876271,0.057664749086762015
citeseer,SAR,NNIF,MLP,0.3,0.28997160576533354,0.026895135211774463
citeseer,SAR,NNIF,MLP,0.2,0.15963718820861678,0.063025641
citeseer,SAR,two_nnif,MLP,0.4,0.3769485320188544,0.089702941
citeseer,SAR,two_nnif,GATConv,0.4,0.4802242517958572,0.044704173
citeseer,SAR,two_nnif,GCNConv,0.4,0.5090452350773685,0.020948526004135656
citeseer,SAR,two_nnif,MLP,0.3,0.1945362178230586,0.072141875
citeseer,SAR,two_nnif,GATConv,0.3,0.34369416653353335,0.023194316185067048
citeseer,SAR,two_nnif,GCNConv,0.3,0.37666487052165937,0.038302154413982374
citeseer,SAR,two_nnif,MLP,0.2,0.040250456105661664,0.028743063164216487
citeseer,SAR,two_nnif,GATConv,0.2,0.16164197004367858,0.047337244
citeseer,SAR,two_nnif,GCNConv,0.2,0,0
citeseer,SAR,ours,GATConv,0.4,0.7268365430523055,0.006446454
citeseer,SAR,ours,GATConv,0.3,0.71166722,0.007710595
citeseer,SAR,ours,GATConv,0.2,0.66427651,0.067540467
cora,SCAR,NNIF,MLP,0.4,0.4159155954479811,0.083123789
cora,SCAR,NNIF,MLP,0.3,0.30461594643176076,0.042969401
cora,SCAR,NNIF,MLP,0.2,0.21407789604906755,0.059452734555427454
cora,SCAR,two_nnif,MLP,0.4,0.3644456692262798,0.061149217992261334
cora,SCAR,two_nnif,GATConv,0.4,0.5604744466735739,0.057691575
cora,SCAR,two_nnif,GCNConv,0.4,0.5880241390853148,0.020217139465412662
cora,SCAR,two_nnif,MLP,0.3,0.2474508980578217,0.031606871
cora,SCAR,two_nnif,GATConv,0.3,0.302056051,0.12050025765389512
cora,SCAR,two_nnif,GCNConv,0.3,0.11247880818120858,0.1349391025297332
cora,SCAR,two_nnif,MLP,0.2,0.066413516,0.048189185
cora,SCAR,two_nnif,GATConv,0.2,0.09151472,0.050694438
cora,SCAR,two_nnif,GCNConv,0.2,0.006075981,0.006553282
cora,SCAR,ours,GCNConv,0.4,0.7909859,0.009325241
cora,SCAR,ours,GCNConv,0.3,0.7648183,0.013941324
cora,SCAR,ours,GCNConv,0.2,0.6675444,0.047929972
cora,SAR,NNIF,MLP,0.4,0.3921870019588973,0.057420993
cora,SAR,NNIF,MLP,0.3,0.3249385100257759,0.10431411078319151
cora,SAR,NNIF,MLP,0.2,0.224469515,0.061258857
cora,SAR,two_nnif,MLP,0.4,0.3188390139335477,0.021226245839245154
cora,SAR,two_nnif,GATConv,0.4,0.492558001,0.10142598498465065
cora,SAR,two_nnif,GCNConv,0.4,0.5435874642182604,0.029912059
cora,SAR,two_nnif,MLP,0.3,0.082936133,0.095861657
cora,SAR,two_nnif,GATConv,0.3,0.20964023398138132,0.23823624069121846
cora,SAR,two_nnif,GCNConv,0.3,0.15800034788709535,0.1658184587767373
cora,SAR,two_nnif,MLP,0.2,0.003050332,0.00248932
cora,SAR,two_nnif,GATConv,0.2,0.078167116,0.1105449954415627
cora,SAR,two_nnif,GCNConv,0.2,0.02458154,0.030553497
cora,SAR,ours,GCNConv,0.4,0.79581381,0.013933763649471914
cora,SAR,ours,GCNConv,0.3,0.7528264,0.002542702
cora,SAR,ours,GCNConv,0.2,0.63554298,0.016941833751979378
pubmed,SCAR,NNIF,MLP,0.4,0.797777805,0.001374172
pubmed,SCAR,NNIF,MLP,0.3,0.7742534897822185,0.008183259
pubmed,SCAR,NNIF,MLP,0.2,0.7140727683043279,0.004075652
pubmed,SCAR,two_nnif,MLP,0.4,0.7672817014912218,0.002662828
pubmed,SCAR,two_nnif,GATConv,0.4,0.7929671413058509,0.002475883
pubmed,SCAR,two_nnif,GCNConv,0.4,0.7993106112490364,0.004143489
pubmed,SCAR,two_nnif,MLP,0.3,0.7594061988518224,0.003651432
pubmed,SCAR,two_nnif,GATConv,0.3,0.7829495209546433,0.007779354
pubmed,SCAR,two_nnif,GCNConv,0.3,0.7858584342998719,0.001811871
pubmed,SCAR,two_nnif,MLP,0.2,0.713422717,0.005609584
pubmed,SCAR,two_nnif,GATConv,0.2,0.7235218119062249,0.0054631
pubmed,SCAR,two_nnif,GCNConv,0.2,0.7347766004023257,0.008380521
pubmed,SCAR,ours,GCNConv,0.4,0.764182,0.000345663
pubmed,SCAR,ours,GCNConv,0.3,0.77724855,0.004598872
pubmed,SCAR,ours,GCNConv,0.2,0.7478588,0.004944874
pubmed,SAR,NNIF,MLP,0.4,0.7843521290322945,0.004594806
pubmed,SAR,NNIF,MLP,0.3,0.750991629,0.006265959
pubmed,SAR,NNIF,MLP,0.2,0.6940686389796235,0.028584570429211028
pubmed,SAR,two_nnif,MLP,0.4,0.7612093244167296,0.00483887
pubmed,SAR,two_nnif,GATConv,0.4,0.7897234231676739,0.000928981
pubmed,SAR,two_nnif,GCNConv,0.4,0.788373626,0.003120557
pubmed,SAR,two_nnif,MLP,0.3,0.7485680368356052,0.006972477
pubmed,SAR,two_nnif,GATConv,0.3,0.7730890700414971,0.008330065
pubmed,SAR,two_nnif,GCNConv,0.3,0.7645804345497562,0.008094351
pubmed,SAR,two_nnif,MLP,0.2,0.7024149654790586,0.015112411326429442
pubmed,SAR,two_nnif,GATConv,0.2,0.713358562,0.013878431650363588
pubmed,SAR,two_nnif,GCNConv,0.2,0.7115791488941765,0.030984233291525182
pubmed,SAR,ours,GCNConv,0.4,0.751732,0.006977179
pubmed,SAR,ours,GCNConv,0.3,0.750224,0.003720229
pubmed,SAR,ours,GCNConv,0.2,0.7281167,0.007028995
wiki-cs,SCAR,NNIF,MLP,0.4,0.7475117460705863,0.007972646
wiki-cs,SCAR,NNIF,MLP,0.3,0.7044472683543023,0.011065208918411217
wiki-cs,SCAR,NNIF,MLP,0.2,0.5467975985881487,0.020490578
wiki-cs,SCAR,two_nnif,MLP,0.4,0.7357839772250131,0.011626276025274539
wiki-cs,SCAR,two_nnif,GATConv,0.4,0.8048847801847376,0.002637622
wiki-cs,SCAR,two_nnif,GCNConv,0.4,0.8174548852573915,0.009255583
wiki-cs,SCAR,two_nnif,MLP,0.3,0.6574025311270418,0.005463912
wiki-cs,SCAR,two_nnif,GATConv,0.3,0.732989906,0.038025924
wiki-cs,SCAR,two_nnif,GCNConv,0.3,0.7517770087131336,0.010563086746196722
wiki-cs,SCAR,two_nnif,MLP,0.2,0.4501930651332393,0.014230194163680149
wiki-cs,SCAR,two_nnif,GATConv,0.2,0.46396449915850657,0.067023621
wiki-cs,SCAR,two_nnif,GCNConv,0.2,0.4636057628060664,0.056922850092807876
wiki-cs,SCAR,ours,GCNConv,0.4,0.835727,0.009736393
wiki-cs,SCAR,ours,GCNConv,0.3,0.788061,0.007476298
wiki-cs,SCAR,ours,GCNConv,0.2,0.7066633,0.034363569
wiki-cs,SAR,NNIF,MLP,0.4,0.7332900237458433,0.00249851
wiki-cs,SAR,NNIF,MLP,0.3,0.6757052344621788,0.006831808
wiki-cs,SAR,NNIF,MLP,0.2,0.537259922,0.015794609020519882
wiki-cs,SAR,two_nnif,MLP,0.4,0.7136978722876132,0.009397066
wiki-cs,SAR,two_nnif,GATConv,0.4,0.7904003578710626,0.013529363257905245
wiki-cs,SAR,two_nnif,GCNConv,0.4,0.7898619629021079,0.018948815
wiki-cs,SAR,two_nnif,MLP,0.3,0.603271346,0.020904517075248492
wiki-cs,SAR,two_nnif,GATConv,0.3,0.716181565,0.027975625
wiki-cs,SAR,two_nnif,GCNConv,0.3,0.7046119495217354,0.031194982202032314
wiki-cs,SAR,two_nnif,MLP,0.2,0.4280836302474313,0.029518222
wiki-cs,SAR,two_nnif,GATConv,0.2,0.4526546725220888,0.048438496440343155
wiki-cs,SAR,two_nnif,GCNConv,0.2,0.47317560203163306,0.030513750214728963
wiki-cs,SAR,ours,GCNConv,0.4,0.831635526,0.004887946
wiki-cs,SAR,ours,GCNConv,0.3,0.8057561,0.009170683
wiki-cs,SAR,ours,GCNConv,0.2,0.696021,0.015811664665483522
citeseer,SCAR,naive,MLP,0.4,0.046304221823852305,0.006369748
citeseer,SCAR,naive,GATConv,0.4,0.20795660560704288,0.033088219
citeseer,SCAR,naive,GCNConv,0.4,0.12488986917977603,0.091900647
citeseer,SCAR,naive,MLP,0.3,0.006764074,0.001908505
citeseer,SCAR,naive,GATConv,0.3,0.073320798,0.016426728
citeseer,SCAR,naive,GCNConv,0.3,0.00270453,0.003824783
citeseer,SCAR,naive,MLP,0.2,0.002372479,0.001677596
citeseer,SCAR,naive,GATConv,0.2,0.02552553,0.014132284533626293
citeseer,SCAR,naive,GCNConv,0.2,0,0
citeseer,SCAR,spy,MLP,0.4,0.5146694218288793,0.011962837535075389
citeseer,SCAR,spy,GATConv,0.4,0.5873738045974517,0.018864406
citeseer,SCAR,spy,GCNConv,0.4,0.5857331438494658,0.027468143349606143
citeseer,SCAR,spy,MLP,0.3,0.5151798983427622,0.018667115204411295
citeseer,SCAR,spy,GATConv,0.3,0.5958078358870739,0.003743436
citeseer,SCAR,spy,GCNConv,0.3,0.6015016517922628,0.01671694
citeseer,SCAR,spy,MLP,0.2,0.4593785026979971,0.019517456720249425
citeseer,SCAR,spy,GATConv,0.2,0.5053397031634334,0.008333784
citeseer,SCAR,spy,GCNConv,0.2,0.5120074119554087,0.034272686
citeseer,SCAR,nnpu,MLP,0.4,0.6781040564248437,0.004823798
citeseer,SCAR,nnpu,GATConv,0.4,0.7159851216874804,0.013549974557700612
citeseer,SCAR,nnpu,GCNConv,0.4,0.7337464468053705,0.015305611653475376
citeseer,SCAR,nnpu,MLP,0.3,0.652877864,0.010384024345263159
citeseer,SCAR,nnpu,GATConv,0.3,0.731044846,0.014440282
citeseer,SCAR,nnpu,GCNConv,0.3,0.7392544862633628,0.012683312993190018
citeseer,SCAR,nnpu,MLP,0.2,0.6016839188469275,0.017144292
citeseer,SCAR,nnpu,GATConv,0.2,0.6940915551518808,0.036939306
citeseer,SCAR,nnpu,GCNConv,0.2,0.7223296890293301,0.02334489
citeseer,SCAR,imbnnpu,MLP,0.4,0.39934497458646706,0.014007422358141041
citeseer,SCAR,imbnnpu,GATConv,0.4,0.6527682198698743,0.014736823
citeseer,SCAR,imbnnpu,GCNConv,0.4,0.6882579919018726,0.017775192042885968
citeseer,SCAR,imbnnpu,MLP,0.3,0.26132937310421617,0.023998707586440442
citeseer,SCAR,imbnnpu,GATConv,0.3,0.5872784678142738,0.001781291
citeseer,SCAR,imbnnpu,GCNConv,0.3,0.6670566634173746,0.013709419999986656
citeseer,SCAR,imbnnpu,MLP,0.2,0.11821341325974255,0.017993599027210296
citeseer,SCAR,imbnnpu,GATConv,0.2,0.4250546610760413,0.038536329731160106
citeseer,SCAR,imbnnpu,GCNConv,0.2,0.5352474436458683,0.023133264121316888
citeseer,SAR,naive,MLP,0.4,0.024951782,0.011581913
citeseer,SAR,naive,GATConv,0.4,0.20412537292959776,0.016491336
citeseer,SAR,naive,GCNConv,0.4,0.083511657,0.059066972
citeseer,SAR,naive,MLP,0.3,0.008097166,0.005725561
citeseer,SAR,naive,GATConv,0.3,0.087969967,0.03484777
citeseer,SAR,naive,GCNConv,0.3,0.004048583,0.005725561
citeseer,SAR,naive,MLP,0.2,0.00118624,0.001677596
citeseer,SAR,naive,GATConv,0.2,0.035667917,0.026196609816960266
citeseer,SAR,naive,GCNConv,0.2,0,0
citeseer,SAR,spy,MLP,0.4,0.5112910655582821,0.025139426986624795
citeseer,SAR,spy,GATConv,0.4,0.5875822343584121,0.021066371094977186
citeseer,SAR,spy,GCNConv,0.4,0.590468561,0.037036171006738235
citeseer,SAR,spy,MLP,0.3,0.5175252652987808,0.046009862833031906
citeseer,SAR,spy,GATConv,0.3,0.5844278758431888,0.014312441454447208
citeseer,SAR,spy,GCNConv,0.3,0.5765678048286743,0.015351897784832215
citeseer,SAR,spy,MLP,0.2,0.4230740125885168,0.043596163
citeseer,SAR,spy,GATConv,0.2,0.5337448369543751,0.029412045640476146
citeseer,SAR,spy,GCNConv,0.2,0.49227377177080694,0.034837291269597004
citeseer,SAR,nnpu,MLP,0.4,0.6796357337105233,0.022276672946031754
citeseer,SAR,nnpu,GATConv,0.4,0.724697356,0.016920249543800257
citeseer,SAR,nnpu,GCNConv,0.4,0.7255672350976218,0.008189005
citeseer,SAR,nnpu,MLP,0.3,0.6786045245256891,0.01637586
