dataset,mechanism,methodology,model_type,avg_f1,std_f1,K
citeseer,SCAR,ours,GATConv,0.7422266591265968,0.010172581469786187,5
citeseer,SCAR,ours,GATConv,0.7320479090347932,0.004236427,10
citeseer,SCAR,ours,GATConv,0.7299322212482623,0.008628158,15
citeseer,SCAR,ours,GATConv,0.7319943581754874,0.014139328233907665,20
citeseer,SCAR,ours,GATConv,0.7327593078050313,0.014197297,25
citeseer,SCAR,ours,GATConv,0.7307297583451929,0.017305435935997385,30
citeseer,SAR,ours,GATConv,0.7192685091649867,0.017655022,5
citeseer,SAR,ours,GATConv,0.7055962263759875,0.013623558787622883,10
citeseer,SAR,ours,GATConv,0.7122206025267249,0.012139209849712704,15
citeseer,SAR,ours,GATConv,0.7136071448004558,0.015626757917893194,20
citeseer,SAR,ours,GATConv,0.7064856017595007,0.010784223731426273,25
citeseer,SAR,ours,GATConv,0.7035535057538759,0.017060758328615734,30
cora,SCAR,ours,GCNConv,0.7844834365081076,0.028190061,5
cora,SCAR,ours,GCNConv,0.7839208262533317,0.003479216,10
cora,SCAR,ours,GCNConv,0.7947676415006796,0.012833831015227242,15
cora,SCAR,ours,GCNConv,0.7815243831321687,0.017918709,20
cora,SCAR,ours,GCNConv,0.7909134736787924,0.011383256307024546,25
cora,SCAR,ours,GCNConv,0.7852575047682676,0.013064309764968083,30
cora,SAR,ours,GCNConv,0.7862880604816089,0.016661759335458215,5
cora,SAR,ours,GCNConv,0.7981474466651556,0.002127713,10
cora,SAR,ours,GCNConv,0.8032529647985197,0.004651582,15
cora,SAR,ours,GCNConv,0.7939669356774187,0.011962983895664915,20
cora,SAR,ours,GCNConv,0.7863427958480879,0.009711605,25
cora,SAR,ours,GCNConv,0.7970613640060865,0.011291397148611102,30
pubmed,SCAR,ours,GCNConv,0.7468872267014399,0.005899871,5
pubmed,SCAR,ours,GCNConv,0.7417609511706796,0.004017619,10
pubmed,SCAR,ours,GCNConv,0.7426437257097788,0.004735412,15
pubmed,SCAR,ours,GCNConv,0.7406047221330961,0.002301805,20
pubmed,SCAR,ours,GCNConv,0.7405118798874252,0.00490031,25
pubmed,SCAR,ours,GCNConv,0.7431160704195009,0.004597844,30
pubmed,SAR,ours,GCNConv,0.7407325811600907,0.005099463,5
pubmed,SAR,ours,GCNConv,0.7390521793945837,0.004122842,10
pubmed,SAR,ours,GCNConv,0.7427135082825909,0.002353093,15
pubmed,SAR,ours,GCNConv,0.7415588328749477,0.006430567,20
pubmed,SAR,ours,GCNConv,0.7403325296168335,0.003511372,25
pubmed,SAR,ours,GCNConv,0.7402558343312645,0.004892416,30
wiki-cs,SCAR,ours,GCNConv,0.8387286168668169,0.008974023,5
wiki-cs,SCAR,ours,GCNConv,0.839275758,0.007149915,10
wiki-cs,SCAR,ours,GCNConv,0.8403668382367654,0.009236856,15
wiki-cs,SCAR,ours,GCNConv,0.8408146097254399,0.003906095,20
wiki-cs,SCAR,ours,GCNConv,0.8450887329706918,0.006566402,25
wiki-cs,SCAR,ours,GCNConv,0.8415509763709398,0.004338681,30
wiki-cs,SAR,ours,GCNConv,0.8346350953310648,0.003171158,5
wiki-cs,SAR,ours,GCNConv,0.8334821838819936,0.003154205,10
wiki-cs,SAR,ours,GCNConv,0.8325005845340807,0.001839906,15
wiki-cs,SAR,ours,GCNConv,0.834798844,0.004122214,20
wiki-cs,SAR,ours,GCNConv,0.8306467871164767,0.001028052,25
wiki-cs,SAR,ours,GCNConv,0.8336314294736938,0.00324891,30
