dataset,mechanism,methodology,model_type,ratio_multiplier,avg_f1,std_f1
citeseer,SCAR,NNIF,MLP,0.75,0.3597431306395859,0.030316677442446816
citeseer,SCAR,two_nnif,MLP,0.75,0.36532849416764046,0.023750797234251414
citeseer,SCAR,two_nnif,GATConv,0.75,0.4506998239605318,0.021491665
citeseer,SCAR,two_nnif,GCNConv,0.75,0.48245232018731626,0.036558662
citeseer,SCAR,nnpu,MLP,0.75,0.6700310031383027,0.006501934
citeseer,SCAR,nnpu,GATConv,0.75,0.7240194504411711,0.009440028
citeseer,SCAR,nnpu,GCNConv,0.75,0.7413867668171665,0.00474881
citeseer,SCAR,imbnnpu,MLP,0.75,0.4727621319926718,0.016220485663829224
citeseer,SCAR,imbnnpu,GATConv,0.75,0.6734884389443012,0.010368790144072333
citeseer,SCAR,imbnnpu,GCNConv,0.75,0.6977869306789547,0.003977003
citeseer,SCAR,ours,GATConv,0.75,0.5595441595441596,0.00983422
citeseer,SCAR,NNIF,MLP,1,0.4879376561920692,0.039343519
citeseer,SCAR,two_nnif,MLP,1,0.4530411360612061,0.039163267
citeseer,SCAR,two_nnif,GATConv,1,0.5387326495464156,0.019596261360697774
citeseer,SCAR,two_nnif,GCNConv,1,0.567518095,0.024522320107412066
citeseer,SCAR,nnpu,MLP,1,0.6833201887177539,0.006704468
citeseer,SCAR,nnpu,GATConv,1,0.7023120711392141,0.012276866
citeseer,SCAR,nnpu,GCNConv,1,0.7163398347881658,0.018585288028656197
citeseer,SCAR,imbnnpu,MLP,1,0.4727071518685788,0.018757150666217307
citeseer,SCAR,imbnnpu,GATConv,1,0.6734884389443012,0.010368790144072333
citeseer,SCAR,imbnnpu,GCNConv,1,0.6977869306789547,0.003977003
citeseer,SCAR,ours,GATConv,1,0.717770302,0.006324709
citeseer,SCAR,NNIF,MLP,1.25,0.5496666874414616,0.015751327948693664
citeseer,SCAR,two_nnif,MLP,1.25,0.5173816267255987,0.009006993
citeseer,SCAR,two_nnif,GATConv,1.25,0.5832901311774551,0.020907196371118653
citeseer,SCAR,two_nnif,GCNConv,1.25,0.6064215879702228,0.021104142858179766
citeseer,SCAR,nnpu,MLP,1.25,0.6540220855854323,0.006904504
citeseer,SCAR,nnpu,GATConv,1.25,0.663391503,0.00774497
citeseer,SCAR,nnpu,GCNConv,1.25,0.6569310705110617,0.025591134455929778
citeseer,SCAR,imbnnpu,MLP,1.25,0.4727495918140216,0.017160325
citeseer,SCAR,imbnnpu,GATConv,1.25,0.6738019118024615,0.00950444
citeseer,SCAR,imbnnpu,GCNConv,1.25,0.6983929842214542,0.003555359
citeseer,SCAR,ours,GATConv,1.25,0.7179289095145407,0.011430902455682363
citeseer,SCAR,NNIF,MLP,1.5,0.5855476819062825,0.024383144378672974
citeseer,SCAR,two_nnif,MLP,1.5,0.5652146221054815,0.025946025014987925
citeseer,SCAR,two_nnif,GATConv,1.5,0.6153556250175348,0.02307552
citeseer,SCAR,two_nnif,GCNConv,1.5,0.6322109925051101,0.014656271922244996
citeseer,SCAR,nnpu,MLP,1.5,0.6163201643505154,0.017543802722049265
citeseer,SCAR,nnpu,GATConv,1.5,0.6180060827962655,0.028005369
citeseer,SCAR,nnpu,GCNConv,1.5,0.62499471,0.016114323147145077
citeseer,SCAR,imbnnpu,MLP,1.5,0.47306405447594807,0.016761789608054127
citeseer,SCAR,imbnnpu,GATConv,1.5,0.6738033346621249,0.011494132219901691
citeseer,SCAR,imbnnpu,GCNConv,1.5,0.6983929842214542,0.003555359
citeseer,SCAR,ours,GATConv,1.5,0.7127248058043768,0.008689283
citeseer,SCAR,NNIF,MLP,1.75,0.6087736249435061,0.013473366728506722
citeseer,SCAR,two_nnif,MLP,1.75,0.5948734935792738,0.030039090708533833
citeseer,SCAR,two_nnif,GATConv,1.75,0.6336991165894728,0.036843004
citeseer,SCAR,two_nnif,GCNConv,1.75,0.6501990696550185,0.014003419805041004
citeseer,SCAR,nnpu,MLP,1.75,0.5832227090482756,0.017663470476021924
citeseer,SCAR,nnpu,GATConv,1.75,0.6052140574078068,0.031157202468377467
citeseer,SCAR,nnpu,GCNConv,1.75,0.6097013506707825,0.022794082561491083
