dataset,mechanism,methodology,model_type,avg_f1,std_f1,avg_ap,std_ap
elliptic-bitcoin,SAR2,XGBoost,MLP,0.0,0.0,0.09756865251173584,0.0
elliptic-bitcoin,SAR2,naive,MLP,0.00745793542519327,0.0,0.05785185540857091,0.0
elliptic-bitcoin,SAR2,naive,GATConv,0.0025704580923528873,0.0,0.05516432583171658,0.0
elliptic-bitcoin,SAR2,naive,GCNConv,0.01921549944417977,0.0,0.05239723170274848,0.0
elliptic-bitcoin,SAR2,NNIF,MLP,0.0008791208791208791,0.0,0.10790255344224861,0.0
elliptic-bitcoin,SAR2,two_nnif,MLP,0.0,0.0,0.0,0.0
elliptic-bitcoin,SAR2,two_nnif,GATConv,0.0,0.0,0.0,0.0
elliptic-bitcoin,SAR2,two_nnif,GCNConv,0.0,0.0,0.0,0.0
elliptic-bitcoin,SAR2,spy,MLP,0.0,0.0,0.0,0.0
elliptic-bitcoin,SAR2,spy,GATConv,0.0,0.0,0.0,0.0
elliptic-bitcoin,SAR2,spy,GCNConv,0.0,0.0,0.0,0.0
elliptic-bitcoin,SAR2,nnpu,MLP,0.0992,0.0,0.2803467679552947,0.0
elliptic-bitcoin,SAR2,nnpu,GATConv,0.04081632653061224,0.0,0.16288679360105957,0.0
elliptic-bitcoin,SAR2,nnpu,GCNConv,0.017543859649122806,0.0,0.13987444578917219,0.0
elliptic-bitcoin,SAR2,imbnnpu,MLP,0.10881678138315307,0.0,0.18545990116643776,0.0
elliptic-bitcoin,SAR2,imbnnpu,GATConv,0.06957928802588997,0.0,0.1051407655884001,0.0
elliptic-bitcoin,SAR2,imbnnpu,GCNConv,0.17552370452039692,0.0,0.12051206879003237,0.0
