K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,reliable_mini_batch,clusters,pos_weight,accuracy,f1,recall,precision,losses
5.0,2.0,256.0,256.0,,0.0061266182616958,removal,0.0,0.1739463071325015,366.6,mean,SAGEConv,10.0,1.0,1.0,300.0,0.46404654435351855,0.9326119627291855,0.8305843541230112,0.7840228245363767,0.8830744023886752,"[11.792384147644043, 11.500597596168518, 10.161489708349109, 10.475749507546425, 9.433822706341743, 8.784162640571594, 7.72343435883522, 6.809663690626621, 6.279294490814209, 5.377445962280035, 4.992193266749382, 4.4500307738780975, 3.9342236816883087, 3.433112718164921, 3.1734327748417854, 2.906936340034008, 2.69252347946167, 2.3102410957217216, 2.150865338742733, 1.989848680794239, 1.8208310473710299, 1.7186491191387177, 1.5285890027880669, 1.425443509593606, 1.3114136643707752, 1.2690529432147741, 1.140273610712029, 1.1644224589690566, 1.0566195156425238, 0.9346835504984483, 0.9225679282099009, 0.8877162346616387, 0.856542682275176, 0.7880519134923816, 0.7639490403234959, 0.7215772429481149, 0.6789124393835664, 0.6544240582734346, 0.6201027613133192, 0.6091042272746563, 0.5469877365976572, 0.5577490087598562, 0.5200996734201908, 0.5065013933926821, 0.474306202493608, 0.45344964414834976, 0.4422959703952074, 0.43079530633985996, 0.42044727550819516, 0.38609563652426004, 0.39133444195613265, 0.3735264418646693, 0.354107188526541, 0.3435717837419361, 0.3360174756962806, 0.31797574181109667, 0.32112033385783434, 0.3029198390431702, 0.28984348522499204, 0.29453980131074786, 0.2692453032359481, 0.26758668338879943, 0.24483635072829202, 0.24761892901733518, 0.24621785199269652, 0.24490034952759743, 0.22617848915979266, 0.21865125093609095, 0.21582467132247984, 0.2124840239994228, 0.20386565942317247, 0.20595157518982887, 0.19522118847817183, 0.18669809796847403, 0.1869014552794397, 0.1800915841013193, 0.1735322622116655, 0.16934322309680283, 0.1612745225429535, 0.16538031119853258, 0.15958830015733838, 0.15666155144572258, 0.14663698989897966, 0.15062509081326425, 0.14217105180432554, 0.14258461561985314, 0.13174893718678504, 0.1254987350985175, 0.13096269592642784, 0.127484550466761, 0.12385939888190478, 0.1217085006646812, 0.11778659047558904, 0.11512706601934042, 0.11266947141848505, 0.11258545087184757, 0.11102847952861339, 0.10977597488090396, 0.10042480507399887, 0.09853740865946747, 0.10089718550443649, 0.09902074560523033, 0.09541122592054307, 0.09338542877230793, 0.0906695983139798, 0.09306612168438733, 0.09053716517519206, 0.08422684483230114, 0.08631656423676759, 0.0832360724452883, 0.08039362949784845, 0.07997048646211624, 0.07590772304683924, 0.07850436388980597, 0.07460744597483426, 0.07254019507672638, 0.07074301259126514, 0.07188047177623957, 0.0695769713493064, 0.06789589853724465, 0.06702240940649062, 0.06307242345064878, 0.062492114142514765, 0.061268386198207736, 0.06209979823324829, 0.05913285992573947, 0.0606984639307484, 0.05776226782472804, 0.05669887596741319, 0.05742109130369499, 0.053389983833767474, 0.054624869488179684, 0.05318188923411071, 0.0514050581259653, 0.05019226792501286, 0.05054171883966774, 0.048856829293072224, 0.049049641587771475, 0.04550272913184017, 0.04720010986784473, 0.046454209252260625, 0.04586742614628747, 0.04223337616713252, 0.04372544522630051, 0.04093646293040365, 0.04318802052875981, 0.04095323490037117, 0.040165819867979735, 0.0395913781831041, 0.03794831456616521, 0.03836441884050146, 0.037197260302491486, 0.03588804783066735, 0.03619279834674671, 0.03487106124521233, 0.03476493572816253, 0.03309690352762118, 0.033951037330552936, 0.0328070578398183, 0.03328691376373172, 0.032332579052308574, 0.03109369077719748, 0.030919151788111776, 0.028666041180258617, 0.02982998709194362, 0.02919787378050387, 0.029621147346915677, 0.027766468410845846, 0.027858464378368808, 0.02603645467752358, 0.027410535258240998, 0.027141678874613717, 0.02563918923260644, 0.02630917532951571, 0.025154940609354526, 0.02493726386455819, 0.02425481769023463, 0.02355270058615133, 0.024008168489672244, 0.023620230553206056, 0.022420044464524835, 0.022543469385709614, 0.022013135894667357, 0.021407394000561908, 0.020962840731954202, 0.02081794588593766, 0.020979241060558707, 0.020253238937584683, 0.020002485704026185, 0.019489437923766673, 0.018954753264551982, 0.019483874057186767, 0.019028162030735984, 0.018253343092510477, 0.017600068313186057, 0.017158675473183393, 0.017584689834620804, 0.01739457921939902, 0.01696076830558013, 0.01682973321294412, 0.01665115251671523, 0.016014688240829855, 0.015851581643801183, 0.015593116651871242, 0.015328098568716086, 0.015120371215743944, 0.014701235875691054, 0.014529718449921347, 0.014115607584244572, 0.014070352859562263, 0.014461342041613534, 0.01444121907115914, 0.014097007719101384, 0.013355093455174938, 0.01324155175825581, 0.012860916554927826, 0.012404140084981918, 0.012865648488514125, 0.012140123260905966, 0.011897947872057557, 0.011453397559307632, 0.011744010786060244, 0.011784775895648636, 0.011633250629529357, 0.011350025233696215, 0.010846096156456042, 0.01079067109094467, 0.010871223952563014, 0.010674221601220779, 0.010605097020743415, 0.010088868759339675, 0.009867972796200775, 0.010053582867840305, 0.009669723731349222, 0.009710746438940987, 0.00914094208565075, 0.009246576533769257, 0.008865548472385854, 0.008862318738465547, 0.009120000235270709, 0.008371959002033691, 0.008262719526101137, 0.008542974450392649, 0.008357693819561973, 0.008329851130838506, 0.008255531909526326, 0.007743457885226235, 0.007660147981368937, 0.007769991498207673, 0.007365065204794519]"
3.0,1.0,256.0,256.0,,0.0008290641610808,removal,0.0,0.139236827457203,366.6,sum,SAGEConv,15.0,7.0,1.0,100.0,0.8529213100782155,0.9365193868349865,0.8430364879389245,0.8091298145506419,0.8799178282630077,"[4.116871029138565, 3.5290288031101227, 3.6479921638965607, 3.509158581495285, 3.484202265739441, 3.4630680680274963, 3.4766584932804108, 3.4935613870620728, 3.4459032118320465, 3.5803638994693756, 3.591435045003891, 3.4398154616355896, 3.5463796854019165, 3.388818472623825, 3.3073802292346954, 3.5082064270973206, 3.3643738925457, 3.3115800619125366, 3.32562056183815, 3.3785701394081116, 3.2777552604675293, 3.2585507929325104, 3.3885377049446106, 3.338337004184723, 3.3177329301834106, 3.2879006564617157, 3.3773074448108673, 3.229381650686264, 3.264424830675125, 3.2898018062114716, 3.228067070245743, 3.2931585907936096, 3.2596003711223602, 3.2750070095062256, 3.2072629928588867, 3.1336554884910583, 3.254674404859543, 3.1716322898864746, 3.2217406630516052, 3.2273058593273163, 3.1416620016098022, 3.262554496526718, 3.190609931945801, 3.1610907316207886, 3.1502107977867126, 3.1775259375572205, 3.1947836577892303, 3.143948554992676, 3.0199230909347534, 3.022370368242264, 3.048071265220642, 3.083290308713913, 3.0554122626781464, 3.0585723221302032, 3.0050056278705597, 2.9579104483127594, 3.029559165239334, 3.0760559737682343, 3.084212154150009, 3.041138172149658, 2.9824863374233246, 3.052739441394806, 3.048782140016556, 2.937377840280533, 2.9776108860969543, 2.8912055790424347, 2.9932522773742676, 2.8604319095611572, 2.87853342294693, 2.910915195941925, 2.8551630079746246, 2.960782825946808, 3.0218958258628845, 2.8814966082572937, 2.8547628819942474, 2.8235119581222534, 2.8437838554382324, 2.755256772041321, 2.789450228214264, 2.7837987542152405, 2.803297370672226, 2.7626781165599823, 2.7862686216831207, 2.787465751171112, 2.734487771987915, 2.7588587403297424, 2.7884710133075714, 2.747436672449112, 2.6519996225833893, 2.7244268357753754, 2.778093457221985, 2.676735579967499, 2.6758346259593964, 2.6794431805610657, 2.679597347974777, 2.7000445425510406, 2.6551640331745148, 2.5940153300762177, 2.702502518892288, 2.6463779509067535, 2.6591183245182037, 2.598224014043808, 2.5436683297157288, 2.6030165553092957, 2.563031107187271, 2.597397208213806, 2.5187064111232758, 2.6098729074001312, 2.4946126341819763, 2.479384034872055, 2.4106836766004562, 2.4558845460414886, 2.541331321001053, 2.4563413858413696, 2.452632337808609, 2.4254835844039917, 2.4969409704208374, 2.5421590209007263, 2.4244956225156784, 2.4619776904582977, 2.4186690151691437, 2.4743935018777847, 2.3962728679180145, 2.4083873331546783, 2.395864874124527, 2.4128419160842896, 2.381314218044281, 2.33783158659935, 2.3296287655830383, 2.5136472284793854, 2.3250066936016083, 2.3270289599895477, 2.2834781259298325, 2.315759688615799, 2.291980057954788, 2.3997058868408203, 2.316149592399597, 2.2644510716199875, 2.2834972739219666, 2.2939981818199158, 2.234678864479065, 2.292161136865616, 2.194989860057831, 2.1577829122543335, 2.230893850326538, 2.2515546083450317, 2.201262891292572, 2.2548142075538635, 2.116584822535515, 2.154772698879242, 2.1408723294734955, 2.163923218846321, 2.198851764202118, 2.1601682901382446, 2.195963755249977, 2.185799717903137, 2.077956646680832, 2.077902227640152, 2.061360403895378, 2.057068943977356, 2.0595631450414658, 2.0417386442422867, 2.0355314761400223, 2.0237934291362762, 2.0321309864521027, 2.000024139881134, 2.0751937478780746, 2.036538854241371, 2.019493356347084, 2.0175639539957047, 1.9706353396177292, 2.029410630464554, 1.9672998934984207, 1.9571808278560638, 1.920916125178337, 2.007852166891098, 1.9957920908927917, 1.933518499135971, 1.9088941812515259, 1.9233153313398361, 1.890607237815857, 1.88690185546875, 1.8688344061374664, 1.8814445734024048, 1.9137007892131805, 1.833286166191101, 1.8383836299180984, 1.8730879575014114, 1.891497641801834, 1.8274580240249634, 1.847919300198555, 1.8738875836133957, 1.7886627614498138, 1.7976355850696564, 1.7942559570074081, 1.8604233860969543, 1.727374255657196, 1.7949205487966537, 1.775594249367714, 1.7731814831495285, 1.7544789016246796, 1.7296913266181946, 1.75893335044384, 1.7644892036914825, 1.722091168165207, 1.744708612561226, 1.7595123797655106, 1.782567411661148, 1.7293094396591187, 1.6860052198171616, 1.6774019598960876, 1.7097152173519135, 1.6740592122077942, 1.6796755641698837, 1.6545062959194183, 1.6825078427791595, 1.672900140285492, 1.6854517608880997, 1.6358657479286194, 1.7411623299121857, 1.6397916376590729, 1.6155771166086197, 1.5827860683202744, 1.5919990688562393, 1.5996642410755157, 1.609806165099144, 1.7187380641698837, 1.6023258119821548, 1.5901941508054733, 1.5924264341592789, 1.5891588628292084, 1.5705524235963821, 1.5845925062894821, 1.549325555562973, 1.5549940913915634, 1.5491559356451035, 1.5120040625333786, 1.4826400429010391, 1.5169143825769424, 1.481678232550621, 1.5087638199329376, 1.5414421260356903, 1.4667065888643265, 1.4973839223384857, 1.4567855447530746, 1.4700893610715866, 1.5147503465414047, 1.4901988953351974, 1.4768734574317932, 1.505252480506897]"
7.0,1.0,256.0,256.0,,0.0074628237461058,removal,0.0,0.1274284526609649,366.6,mean,GATConv,15.0,5.0,1.0,100.0,0.8956529630220667,0.939765554553652,0.8510351323109264,0.8168330955777462,0.8883141854437484,"[5.350091367959976, 4.9257712960243225, 4.9917871952056885, 4.8412240743637085, 4.7308438420295715, 4.824109733104706, 4.643311679363251, 4.598477810621262, 4.474606513977051, 4.401302456855774, 4.299567639827728, 4.345234394073486, 4.252030611038208, 4.176308959722519, 4.06283500790596, 3.8380075693130493, 3.878909170627594, 3.688629627227783, 3.6508769094944, 3.4722039997577667, 3.398627758026123, 3.3404271602630615, 3.1120028495788574, 3.074542075395584, 2.9471189081668854, 2.9976193010807037, 2.8802196383476257, 2.6677900850772858, 2.6072015166282654, 2.518277943134308, 2.4329009354114532, 2.346646785736084, 2.263470083475113, 2.189171552658081, 2.059242084622383, 1.9922104477882385, 1.9582676887512207, 1.7882689982652664, 1.7629241347312927, 1.6529501080513, 1.6153406202793121, 1.5750569552183151, 1.5361956655979156, 1.4694083333015442, 1.3942431211471558, 1.3735955506563187, 1.311499148607254, 1.2620416432619095, 1.2260975241661072, 1.1917292922735214]"
7.0,1.0,256.0,256.0,,0.0083838503497989,removal,0.0,0.1134209126885066,366.6,mean,GATConv,10.0,5.0,1.0,100.0,0.8942934032163631,0.9382025849113316,0.8454830705801101,0.8022824536376605,0.8937924767869518,"[7.733025372028351, 7.004554033279419, 7.03345113992691, 6.839278429746628, 6.714821398258209, 6.545529842376709, 6.413791596889496, 6.267363101243973, 5.98931685090065, 5.965467005968094, 5.530044734477997, 5.519344210624695, 5.2089303731918335, 4.936030715703964, 4.619162678718567, 4.3819083869457245, 4.142633616924286, 3.8913676142692566, 3.7141571640968323, 3.5029176771640778, 3.335494428873062, 3.102142184972763, 2.841049388051033, 2.777772009372711, 2.5380924493074417, 2.532261535525322, 2.388083800673485, 2.1530620008707047, 2.0826084166765213, 1.9593277424573898, 1.9238613098859787, 1.7595949470996857, 1.6817037910223007, 1.6243276819586754, 1.5455811321735382, 1.4607401639223099, 1.3959774747490883, 1.3153019025921822, 1.2671124562621117, 1.17946195602417, 1.1479790210723877, 1.1104776337742805, 1.059042438864708, 1.0199624300003052, 0.9842148199677467, 0.9506722539663315, 0.8993806317448616, 0.8850681409239769, 0.8398992419242859, 0.8117387033998966]"
7.0,1.0,256.0,256.0,,0.0056409757141945,removal,0.0,0.1358847891310335,366.6,mean,GATConv,15.0,4.0,1.0,100.0,0.703765677503421,0.941809437932071,0.8562426528186468,0.8225392296718972,0.8929936139522529,"[4.383288890123367, 4.009426116943359, 4.081770896911621, 3.9670428335666656, 3.8981830775737762, 3.975492835044861, 3.845686584711075, 3.826223224401474, 3.742878556251526, 3.7049334049224854, 3.630769819021225, 3.691669315099716, 3.6476888060569763, 3.6074642837047577, 3.530024766921997, 3.3698056042194366, 3.444601207971573, 3.2978301346302032, 3.3009994626045227, 3.1774739921092987, 3.137650102376938, 3.133447617292404, 2.9513809084892273, 2.945422798395157, 2.877440392971039, 2.958262950181961, 2.893717497587204, 2.695920914411545, 2.687941253185272, 2.630431443452835, 2.5677821338176727, 2.514653831720352, 2.454313963651657, 2.404639482498169, 2.2874251008033752, 2.234866201877594, 2.2216356694698334, 2.048554450273514, 2.0388107001781464, 1.9311345517635345, 1.901377096772194, 1.8737407326698303, 1.8302485048770905, 1.7661257684230804, 1.6861366480588913, 1.6703476905822754, 1.6013239026069641, 1.5502441823482513, 1.5140529870986938, 1.4750286489725113]"
6.0,1.0,256.0,128.0,,0.005993977079,removal,0.0,0.1369862918252238,366.6,mean,GATConv,15.0,7.0,1.0,300.0,0.5299818037140062,0.939404869251578,0.8536178095237865,0.8385164051355207,0.8692807039815842,"[10.184385120868683, 9.330155104398727, 9.073670029640198, 8.695683687925339, 8.04529345035553, 7.84327244758606, 7.481051459908485, 7.28032460808754, 6.77116172015667, 6.132055088877678, 5.671889826655388, 5.317300364375114, 4.972787871956825, 4.713576376438141, 4.300739645957947, 3.873427100479603, 3.686085842549801, 3.2942729964852333, 3.1665119230747223, 2.881906069815159, 2.7220221906900406, 2.549605317413807, 2.3202202394604683, 2.1359432712197304, 2.0645742416381836, 1.9177881926298141, 1.8330119475722313, 1.7092927359044552, 1.6115619502961636, 1.5299315638840199, 1.4187523983418941, 1.3997108470648527, 1.302182175219059, 1.2455825507640839, 1.165083535015583, 1.0793595127761364, 1.0992040298879147, 0.9887186288833618, 0.9751566015183926, 0.9282371774315834, 0.9086956437677145, 0.8796572703868151, 0.8284459374845028, 0.7840850166976452, 0.7644635029137135, 0.7145191617310047, 0.6989944726228714, 0.6807689312845469, 0.6605197489261627, 0.6258769202977419]"
7.0,1.0,256.0,128.0,,0.0063761357957624,removal,0.0,0.1307001077931766,366.6,mean,GATConv,15.0,7.0,1.0,300.0,0.4298339253243789,0.9393447550345657,0.8528551128693623,0.8342368045649072,0.8724254964140922,"[9.238745957612991, 8.868164420127869, 8.352024972438812, 7.931140303611755, 7.553082957863808, 7.263859212398529, 7.0193376541137695, 6.807139411568642, 6.248026266694069, 5.69783952832222, 5.2344731986522675, 4.97636441886425, 4.607207328081131, 4.2992092072963715, 4.087562441825867, 3.5372554287314415, 3.3133191913366318, 3.083780139684677, 2.855129025876522, 2.6164360493421555, 2.3971664905548096, 2.3248002901673317, 2.1038207709789276, 1.9487764686346054, 1.8481460809707642, 1.72659432888031, 1.629312016069889, 1.5096306316554546, 1.4694453068077564, 1.3650633543729782, 1.2440719418227673, 1.261263981461525, 1.1539645697921515, 1.117469597607851, 1.0300021097064018, 0.9712635446339846, 0.9820409081876278, 0.8849764429032803, 0.8456729985773563, 0.8086305782198906, 0.7902472335845232, 0.7608716543763876, 0.7104118913412094, 0.6741690887138247, 0.6515498142689466, 0.6223054695874453, 0.600179853849113, 0.6045578364282846, 0.5681971050798893, 0.5511708529666066]"
6.0,1.0,256.0,128.0,,0.0065807442684313,removal,0.0,0.13741638810319,366.6,mean,GATConv,15.0,7.0,1.0,300.0,0.411030610922069,0.9379020138262699,0.850007905624768,0.8350927246790298,0.8654765823064714,"[8.390628427267075, 7.990045458078384, 7.517641752958298, 7.0997394323349, 6.751478165388107, 6.400823622941971, 6.141507104039192, 5.87588095664978, 5.333718165755272, 4.822759464383125, 4.375367172062397, 4.1295765191316605, 3.7712044715881348, 3.5060874596238136, 3.316710487008095, 2.853042557835579, 2.674282528460026, 2.4868892580270767, 2.2972406446933746, 2.112019643187523, 1.9356244765222073, 1.8789573907852173, 1.6968838572502136, 1.5818254761397839, 1.5017956122756004, 1.4069759547710419, 1.3292455077171326, 1.2344109173864126, 1.2031246908009052, 1.1221577860414982, 1.0246862135827541, 1.0401623919606209, 0.9522335287183523, 0.9244143180549145, 0.8556973729282618, 0.8050902672111988, 0.8138179332017899, 0.7379655744880438, 0.7043615244328976, 0.6731925215572119, 0.6591275297105312, 0.6350809037685394, 0.5948269851505756, 0.564218926243484, 0.5460221040993929, 0.5219684112817049, 0.5036391746252775, 0.5078085400164127, 0.47870778292417526, 0.4630750920623541]"
7.0,1.0,256.0,128.0,,0.0044917855403686,removal,0.0,0.1313383279495177,366.6,mean,GATConv,15.0,8.0,1.0,300.0,0.3412080174416462,0.9403666967237753,0.8544457498651935,0.8308131241084166,0.8795120489651984,"[8.202530950307846, 7.991956412792206, 7.641943633556366, 7.326530754566193, 7.026393458247185, 6.881892427802086, 6.751357525587082, 6.672208830714226, 6.292495757341385, 5.892855882644653, 5.531308442354202, 5.421199634671211, 5.2405897080898285, 5.019187688827515, 4.883460491895676, 4.409965433180332, 4.272805526852608, 4.061414077877998, 3.8724859952926636, 3.6519685834646225, 3.412804037332535, 3.3582515940070152, 3.0757409259676933, 2.9143878519535065, 2.788700193166733, 2.6423036754131317, 2.5165496096014977, 2.3500814139842987, 2.2985147684812546, 2.1540187150239944, 1.9787116721272469, 2.0072118639945984, 1.8459234721958637, 1.7942983731627464, 1.657480426132679, 1.564445599913597, 1.5812491327524185, 1.437495145946741, 1.37198069319129, 1.3153703399002552, 1.2813314571976662, 1.239201258867979, 1.1605332307517529, 1.1020552981644869, 1.0656880103051662, 1.0158825442194939, 0.9834696408361197, 0.9850851763039827, 0.928333830088377, 0.9016850190237164]"
5.0,1.0,256.0,128.0,,0.0032959049033379996,removal,0.0,0.1372365886695098,366.6,mean,GATConv,15.0,8.0,1.0,300.0,0.2719326573006158,0.9408476104598738,0.8569348010372103,0.8407988587731812,0.8737694002445936,"[6.319675803184509, 6.046535298228264, 5.840585649013519, 5.647665232419968, 5.481216698884964, 5.360224083065987, 5.278117328882217, 5.232908710837364, 4.994290426373482, 4.712813705205917, 4.456200152635574, 4.434432379901409, 4.300335168838501, 4.169934183359146, 4.108653694391251, 3.7462911531329155, 3.664008244872093, 3.5304617434740067, 3.4169965386390686, 3.258872613310814, 3.101210370659828, 3.085982523858547, 2.8783474043011665, 2.755380406975746, 2.6608021706342697, 2.57767853140831, 2.4777341410517693, 2.343260683119297, 2.3163670152425766, 2.200630947947502, 2.039286755025387, 2.075684115290642, 1.9428933411836624, 1.896199718117714, 1.7779149189591408, 1.68883016705513, 1.7153223603963852, 1.5859895832836628, 1.5140332020819187, 1.463194526731968, 1.4278888031840324, 1.395764634013176, 1.3166063725948334, 1.2550062574446201, 1.2183904871344566, 1.162030827254057, 1.131627768278122, 1.1377296559512615, 1.0816957280039787, 1.0528651606291533]"
