alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.5,19,1,256,128,,0.3,0.5,0.27,0.15,1,sum,1,0.9341749323715058,0.8439059158945118,0.8445078459343794,0.8433048433048433
0.5,19,1,256,128,,0.3,0.5,0.27,0.15,2,sum,1,0.9374812143071837,0.8526912181303116,0.8587731811697575,0.8466947960618847
0.5,19,1,256,128,,0.3,0.5,0.27,0.15,3,sum,1,0.9401863540727382,0.8585643212508884,0.8616262482168331,0.8555240793201133
0.5,19,1,256,128,,0.3,0.5,0.27,0.15,4,sum,1,0.9407874962428614,0.8583752695902228,0.8516405135520685,0.8652173913043478
0.5,19,1,256,128,,0.3,0.5,0.27,0.15,5,sum,1,0.9377817853922452,0.8524590163934426,0.8530670470756063,0.8518518518518519
0.5,19,1,256,128,,0.3,0.5,0.27,0.15,6,sum,1,0.939585211902615,0.8559139784946237,0.8516405135520685,0.8602305475504323
0.5,19,1,256,128,,0.3,0.5,0.27,0.15,7,sum,1,0.9335737902013826,0.8433734939759037,0.8487874465049928,0.8380281690140845
0.5,19,1,256,128,,0.3,0.5,0.27,0.15,8,sum,1,0.9320709347760745,0.8394886363636364,0.8430813124108416,0.8359264497878359
0.5,19,1,256,128,,0.3,0.5,0.27,0.15,9,sum,1,0.9344755034565675,0.8436154949784792,0.8388017118402282,0.8484848484848485
0.5,19,1,256,128,,0.3,0.5,0.27,0.15,10,sum,1,0.9383829275623685,0.8540925266903915,0.8559201141226819,0.8522727272727273
