K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,f1_std,reliable_mini_batch,sampling_k
3.0,1.0,128.0,256.0,,0.0060792628793884,removal,0.0,0.1457308596376297,366.6,mean,GATConv,1024.0,1.0,100.0,neighbor,100.0,nearest_neighbors,0.9460174331229336,0.8722422037353574,0.8744650499286732,0.8700994041591189,"[2.9329919815063477, 2.6585928797721863, 2.535469114780426, 2.6103415489196777, 2.647794723510742, 2.612944006919861, 2.480009973049164, 2.4976284503936768, 2.4367940425872803, 2.4674972891807556, 2.341576039791107, 2.4563472270965576, 2.4041632413864136, 2.2816389203071594, 2.3046796321868896, 2.203952372074127, 2.2641587257385254, 2.212482452392578, 2.1735257506370544, 2.1612022519111633, 2.027131676673889, 2.0382181107997894, 1.9918836951255798, 2.007351517677307, 1.9662508070468903, 1.9470487833023071, 1.8782702386379242, 1.8600981533527374, 1.841869980096817, 1.771732896566391, 1.7182200253009796, 1.749948114156723, 1.6971175968647003, 1.6752229630947113, 1.6614186465740204, 1.6515426933765411, 1.6125063300132751, 1.5950195789337158, 1.5428891479969025, 1.5296721756458282, 1.4696931838989258, 1.4871726334095001, 1.4968283474445343, 1.4427825808525085, 1.4219976365566254, 1.3685573637485504, 1.3434057533740997, 1.341928094625473, 1.3065087497234344, 1.271542876958847, 1.2834749519824982, 1.2490642368793488, 1.2510743737220764, 1.2313880622386932, 1.2140626311302185, 1.172222763299942, 1.1754236221313477, 1.155025690793991, 1.125665307044983, 1.1170085072517395, 1.0798735320568085, 1.0452505946159363, 1.0410602390766144, 1.0375531315803528, 1.022910624742508, 1.0182731747627258, 0.9669841080904007, 0.9619030952453613, 0.9567774385213852, 0.9290940761566162, 0.9097011834383011, 0.9084736108779907, 0.8814561665058136, 0.8864986598491669, 0.8893692493438721, 0.8736660480499268, 0.8330149799585342, 0.8353298902511597, 0.8097552508115768, 0.815971165895462, 0.7986510843038559, 0.7821993827819824, 0.7703108191490173, 0.74404276907444, 0.772632896900177, 0.7253641933202744, 0.7445900142192841, 0.7189642935991287, 0.7123984843492508, 0.7077465653419495, 0.6776567101478577, 0.671155259013176, 0.6883997172117233, 0.6663037985563278, 0.6611230671405792, 0.6335350871086121, 0.634865328669548, 0.6137612760066986, 0.6284180283546448, 0.63967564702034]",0.004125205167454823,,75.0
3.0,1.0,64.0,256.0,,0.0071082754641616,removal,0.0,0.1166479348717594,366.6,mean,GATConv,1024.0,1.0,100.0,neighbor,100.0,nearest_neighbors,0.9470393748121431,0.8711614146247932,0.8499286733238233,0.8935510137731282,"[2.948562264442444, 2.671817421913147, 2.537611186504364, 2.604414463043213, 2.636263072490692, 2.599653482437134, 2.4592092037200928, 2.4638604521751404, 2.404363214969635, 2.4300811290740967, 2.299425184726715, 2.397747039794922, 2.3452811241149902, 2.222364127635956, 2.233396053314209, 2.132319211959839, 2.186457633972168, 2.128221809864044, 2.0808436572551727, 2.0675712525844574, 1.9296062886714935, 1.9339188933372498, 1.8827202916145325, 1.8949425220489502, 1.847912609577179, 1.8249438107013702, 1.7540714740753174, 1.7323960065841675, 1.711134523153305, 1.639714539051056, 1.5913886725902557, 1.6068348288536072, 1.5571702122688293, 1.5318049192428589, 1.5129256546497345, 1.5001013576984406, 1.4564052522182465, 1.4379377663135529, 1.3897215723991394, 1.3752842843532562, 1.316137582063675, 1.3280764818191528, 1.3354537189006805, 1.2822455167770386, 1.257894217967987, 1.2127289474010468, 1.1849066615104675, 1.181738168001175, 1.147988110780716, 1.113241285085678, 1.1220597326755524, 1.0893356204032898, 1.0869201719760895, 1.06577467918396, 1.0497754663228989, 1.0127557069063187, 1.0121580809354782, 0.9929748177528381, 0.9682168066501617, 0.9590483009815216, 0.9245751798152924, 0.8934563994407654, 0.887536346912384, 0.8821540474891663, 0.8694777488708496, 0.8644216805696487, 0.8196662813425064, 0.8143351525068283, 0.8080893903970718, 0.782953068614006, 0.7655743062496185, 0.7647503465414047, 0.7425158321857452, 0.7440492063760757, 0.744148850440979, 0.7319335639476776, 0.6962369382381439, 0.6974355131387711, 0.6746439039707184, 0.6789565831422806, 0.6639746874570847, 0.6498626172542572, 0.6384856402873993, 0.617258757352829, 0.639085978269577, 0.5993493497371674, 0.6149423867464066, 0.5926659405231476, 0.5876079946756363, 0.5829379260540009, 0.5582533925771713, 0.5525208786129951, 0.5664083808660507, 0.5456666648387909, 0.5415963977575302, 0.5194277688860893, 0.5207456275820732, 0.5016447082161903, 0.5135264545679092, 0.5218876823782921]",0.006761958389682513,,75.0
3.0,1.0,64.0,256.0,,0.006375609561411299,removal,0.0,0.1379375543922938,366.6,mean,GATConv,1024.0,1.0,100.0,neighbor,100.0,nearest_neighbors,0.9455365193868349,0.8704341801145569,0.8681883024251069,0.8727736915423877,"[2.937455415725708, 2.6690739393234253, 2.541518270969391, 2.614526331424713, 2.6498183012008667, 2.6150163412094116, 2.476129651069641, 2.4918006658554077, 2.431805968284607, 2.4590409994125366, 2.3319491147994995, 2.4429678916931152, 2.3881335854530334, 2.268630623817444, 2.2879738807678223, 2.185713827610016, 2.24506938457489, 2.191606104373932, 2.149296283721924, 2.1366467475891113, 2.0029169619083405, 2.010805696249008, 1.9600418210029602, 1.976044476032257, 1.9348577857017517, 1.9131410717964172, 1.844632625579834, 1.8273853659629822, 1.8063649237155914, 1.7334720492362976, 1.6826450526714325, 1.7106058299541473, 1.6575370728969574, 1.6351882815361023, 1.6208657622337341, 1.6081394255161285, 1.5684981644153595, 1.549775779247284, 1.4991657137870789, 1.4874920845031738, 1.42652428150177, 1.4414218366146088, 1.4498869478702545, 1.3957929611206055, 1.37411630153656, 1.3236600458621979, 1.2973726391792297, 1.2954815328121185, 1.259935885667801, 1.2241776585578918, 1.2370064556598663, 1.2019004821777344, 1.2024050652980804, 1.1821354627609253, 1.1661174893379211, 1.1239315569400787, 1.1267192363739014, 1.1068735122680664, 1.0798470675945282, 1.0709360837936401, 1.0331048518419266, 0.9998883605003357, 0.9954096674919128, 0.9901130497455597, 0.9764686524868011, 0.9716024398803711, 0.9216534048318863, 0.9174578934907913, 0.9115999042987823, 0.8847039192914963, 0.8654331862926483, 0.864050418138504, 0.8396785706281662, 0.842858225107193, 0.8449404686689377, 0.8304077386856079, 0.7912608236074448, 0.7933074533939362, 0.7687416523694992, 0.7735861092805862, 0.7574654221534729, 0.7414385676383972, 0.7296516597270966, 0.7057896256446838, 0.7319801598787308, 0.6866126358509064, 0.704706534743309, 0.6796033084392548, 0.6735463440418243, 0.6695074439048767, 0.6403167545795441, 0.634608581662178, 0.6506610214710236, 0.6290222108364105, 0.6239238977432251, 0.5980889350175858, 0.5991428792476654, 0.5787937939167023, 0.5929957032203674, 0.6029477715492249]",0.0027626553500716823,,75.0
3.0,1.0,64.0,256.0,,0.006970877891751699,removal,0.0,0.115692215323922,366.6,mean,GATConv,1024.0,1.0,400.0,neighbor,100.0,nearest_neighbors,0.9467989179440938,0.8704326106382082,0.8479315263908702,0.8942578777575159,"[2.9519330263137817, 2.6777883768081665, 2.5428364872932434, 2.6096619367599487, 2.6405174136161804, 2.6045749187469482, 2.4686272740364075, 2.4710236191749573, 2.412403702735901, 2.437512755393982, 2.3092523217201233, 2.4102784395217896, 2.357280433177948, 2.234721004962921, 2.2459508776664734, 2.14633047580719, 2.1988766193389893, 2.1427924633026123, 2.0952879190444946, 2.084556132555008, 1.9463455080986023, 1.9517837762832642, 1.8997922837734222, 1.9136602580547333, 1.8676697611808777, 1.8430648148059845, 1.772445023059845, 1.7531689405441284, 1.731410175561905, 1.6593299210071564, 1.6110655665397644, 1.6282941699028015, 1.577674686908722, 1.5533630847930908, 1.53335702419281, 1.5221326053142548, 1.4778075516223907, 1.4599540829658508, 1.4131276309490204, 1.3982574939727783, 1.3387330770492554, 1.3511691689491272, 1.3580188751220703, 1.3049209415912628, 1.2808501422405243, 1.2347666025161743, 1.2063199281692505, 1.2042319476604462, 1.1701611578464508, 1.1343529224395752, 1.1444781422615051, 1.1118073761463165, 1.109195500612259, 1.0884027183055878, 1.0714136511087418, 1.034000039100647, 1.0335255861282349, 1.0152534246444702, 0.9890249818563461, 0.9800407588481903, 0.9448355287313461, 0.9132485687732697, 0.9078056961297989, 0.9020932763814926, 0.8899638205766678, 0.8846331387758255, 0.8390638679265976, 0.8337287604808807, 0.8273560851812363, 0.8017875552177429, 0.7839364409446716, 0.7830820977687836, 0.760779544711113, 0.7619114518165588, 0.76282998919487, 0.7505240887403488, 0.7139282524585724, 0.7152673453092575, 0.6919082552194595, 0.6961346864700317, 0.6806447207927704, 0.6664380431175232, 0.6552788764238358, 0.633471354842186, 0.6561291217803955, 0.6144587695598602, 0.6313409507274628, 0.608457162976265, 0.60371994972229, 0.5985877960920334, 0.5731694102287292, 0.5674031972885132, 0.5817478895187378, 0.5604439377784729, 0.5571296662092209, 0.5339573994278908, 0.5352100282907486, 0.515778623521328, 0.5278851091861725, 0.5366806834936142]",0.005031003317495084,,75.0
3.0,1.0,64.0,256.0,,0.0060752391476739,removal,0.0,0.1407488969903807,366.6,mean,GATConv,1024.0,1.0,100.0,neighbor,100.0,nearest_neighbors,0.9452960625187856,0.8704150132909587,0.8718972895863054,0.8690706232777169,"[2.936182141304016, 2.669817864894867, 2.5416337847709656, 2.61889386177063, 2.6560148000717163, 2.621537506580353, 2.48828387260437, 2.504181981086731, 2.4438939094543457, 2.4722366333007812, 2.3461711406707764, 2.4629340171813965, 2.4094055891036987, 2.2892951369285583, 2.3096299171447754, 2.2102174162864685, 2.271056056022644, 2.2185487747192383, 2.179146409034729, 2.167823851108551, 2.0316484570503235, 2.043007403612137, 1.9962455034255981, 2.011297106742859, 1.9731168150901794, 1.952735275030136, 1.8832687139511108, 1.866960197687149, 1.8485126495361328, 1.7762803137302399, 1.7230035066604614, 1.7555245757102966, 1.7025062441825867, 1.6796897649765015, 1.6677666902542114, 1.6563361883163452, 1.6178580522537231, 1.5979899168014526, 1.5474541187286377, 1.5354447960853577, 1.4756175577640533, 1.4924685657024384, 1.5014808177947998, 1.4474948048591614, 1.426065593957901, 1.3736160397529602, 1.346958488225937, 1.346267968416214, 1.3114836513996124, 1.2749361395835876, 1.287165880203247, 1.2529889047145844, 1.2538046538829803, 1.2353607416152954, 1.217972218990326, 1.1753777265548706, 1.179030865430832, 1.1588762402534485, 1.1304559409618378, 1.1215957999229431, 1.0841905176639557, 1.0497430562973022, 1.0454256236553192, 1.0411730408668518, 1.0260817408561707, 1.0214812606573105, 0.9693345427513123, 0.9658551961183548, 0.9606671780347824, 0.932545855641365, 0.9123685956001282, 0.9112800657749176, 0.8846111446619034, 0.8901209980249405, 0.8925807327032089, 0.8767326027154922, 0.8351874202489853, 0.8379821926355362, 0.812723383307457, 0.8189770579338074, 0.802422821521759, 0.7854033261537552, 0.7724826335906982, 0.7465044409036636, 0.7747640460729599, 0.7277847081422806, 0.7476633936166763, 0.7205944061279297, 0.7147584110498428, 0.710729792714119, 0.6795002669095993, 0.6733721196651459, 0.6916662901639938, 0.6684248745441437, 0.6637443602085114, 0.6356057077646255, 0.6374894380569458, 0.6158547848463058, 0.6311777830123901, 0.6414196938276291]",0.004381837408997961,,75.0
3.0,1.0,128.0,256.0,,0.0073807702058919,removal,0.0,0.1516928660473918,366.6,mean,GATConv,1024.0,1.0,100.0,neighbor,100.0,nearest_neighbors,0.9450556056507364,0.8703792891361232,0.8756062767475037,0.8652695964219896,"[2.9276105165481567, 2.6588831543922424, 2.52510803937912, 2.589421808719635, 2.620695948600769, 2.5749329328536987, 2.4387007355690002, 2.4485746026039124, 2.3804402947425842, 2.406185209751129, 2.273016333580017, 2.378328323364258, 2.3134170174598694, 2.1961947679519653, 2.2047958374023438, 2.1036607027053833, 2.151666581630707, 2.094107925891876, 2.0473098158836365, 2.0293275117874146, 1.8983822166919708, 1.898899406194687, 1.8476150333881378, 1.8534075319766998, 1.8077722191810608, 1.785445898771286, 1.7136760354042053, 1.689858853816986, 1.6691950857639313, 1.5978069305419922, 1.5451097190380096, 1.5658479630947113, 1.5121170282363892, 1.4856838881969452, 1.4690056145191193, 1.4567486345767975, 1.4141789674758911, 1.39439257979393, 1.3463764190673828, 1.327754408121109, 1.2712309658527374, 1.2801313400268555, 1.2857321798801422, 1.2364902198314667, 1.2149451076984406, 1.1675747632980347, 1.1404476761817932, 1.135215014219284, 1.103389024734497, 1.0699487924575806, 1.0757844150066376, 1.0426406264305115, 1.0434357970952988, 1.0242557376623154, 1.0076024532318115, 0.969594344496727, 0.9692924320697784, 0.9512552320957184, 0.9248596429824829, 0.9168614447116852, 0.8823399990797043, 0.8526746034622192, 0.8485146909952164, 0.843519926071167, 0.8293593525886536, 0.8234585225582123, 0.7808220088481903, 0.7758096605539322, 0.7703993320465088, 0.7460383176803589, 0.7294777631759644, 0.726723775267601, 0.7045335024595261, 0.7077554315328598, 0.7093529105186462, 0.6942733228206635, 0.66214719414711, 0.6620151102542877, 0.6421568691730499, 0.6442362815141678, 0.630788117647171, 0.6172547191381454, 0.6065511107444763, 0.5854321420192719, 0.6061354130506516, 0.5685703307390213, 0.5838139206171036, 0.561944916844368, 0.5571674555540085, 0.552762359380722, 0.5282271429896355, 0.5236994624137878, 0.5364794433116913, 0.5174732953310013, 0.5141366198658943, 0.49221204221248627, 0.49296727776527405, 0.47569306194782257, 0.48691944032907486, 0.4945858418941498]",0.005006105020501982,,25.0
3.0,1.0,128.0,256.0,,0.0065657005738182,removal,0.0,0.151196657986153,366.6,mean,GATConv,1024.0,1.0,100.0,neighbor,100.0,nearest_neighbors,0.9449353772167118,0.8703363330636474,0.8770328102710414,0.8637732114383784,"[2.936996102333069, 2.662279188632965, 2.5345789790153503, 2.60448682308197, 2.641800045967102, 2.5999165177345276, 2.4665632843971252, 2.481663942337036, 2.417836904525757, 2.4493404030799866, 2.317612588405609, 2.428683638572693, 2.371231973171234, 2.2512335777282715, 2.2676838636398315, 2.1703770756721497, 2.2229806780815125, 2.171842873096466, 2.127125918865204, 2.1143035888671875, 1.9824770987033844, 1.987567275762558, 1.9400891363620758, 1.9497713148593903, 1.9083081185817719, 1.8876671493053436, 1.8178168535232544, 1.7972503304481506, 1.776500016450882, 1.7072590589523315, 1.6530182659626007, 1.6823039054870605, 1.6274231970310211, 1.603900671005249, 1.5872248411178589, 1.5776324570178986, 1.536448359489441, 1.5181136429309845, 1.4683685898780823, 1.4523144364356995, 1.3941715359687805, 1.4075691103935242, 1.4146131873130798, 1.3630311489105225, 1.3415955603122711, 1.2904964685440063, 1.2634533047676086, 1.2622212767601013, 1.2274499237537384, 1.192949503660202, 1.2012139558792114, 1.1665820181369781, 1.168642282485962, 1.1491413116455078, 1.1331214904785156, 1.092132419347763, 1.0943115055561066, 1.0745144188404083, 1.045762300491333, 1.036632001399994, 1.000802367925644, 0.9684676676988602, 0.9646755158901215, 0.960056409239769, 0.9454440474510193, 0.9395899921655655, 0.8916532695293427, 0.8862490952014923, 0.8811800479888916, 0.8552858531475067, 0.8359000533819199, 0.8352215886116028, 0.8093922138214111, 0.8136602193117142, 0.8173275738954544, 0.8007131665945053, 0.7636360824108124, 0.7648120522499084, 0.7415813356637955, 0.7449629008769989, 0.7300592362880707, 0.714340478181839, 0.7032071650028229, 0.6784306317567825, 0.7036751508712769, 0.6606004685163498, 0.678381934762001, 0.6538543999195099, 0.6486872136592865, 0.6444275081157684, 0.6159584671258926, 0.6098935157060623, 0.6255488097667694, 0.6044890135526657, 0.6008502393960953, 0.5744462162256241, 0.5765487551689148, 0.5569114089012146, 0.5696932673454285, 0.5792913287878036]",0.007008598663261993,,75.0
3.0,1.0,128.0,256.0,,0.0074223612198141995,removal,0.0,0.1514900133845927,366.6,mean,GATConv,1024.0,1.0,100.0,neighbor,100.0,nearest_neighbors,0.9449954914337241,0.8702847645138533,0.8756062767475035,0.8651857919842983,"[2.932759165763855, 2.659614086151123, 2.5258578658103943, 2.5918641686439514, 2.6221537590026855, 2.577321767807007, 2.4403878450393677, 2.4481876492500305, 2.3824170231819153, 2.404430329799652, 2.2728652954101562, 2.377633571624756, 2.3134067058563232, 2.1935953497886658, 2.201633334159851, 2.1009339690208435, 2.147767186164856, 2.0914044976234436, 2.0443175435066223, 2.025434136390686, 1.8928587138652802, 1.8957767188549042, 1.842851161956787, 1.8493669629096985, 1.8024264574050903, 1.7793986201286316, 1.7074238657951355, 1.6857099831104279, 1.6635090112686157, 1.5930254757404327, 1.540037214756012, 1.5598000586032867, 1.5089344680309296, 1.482675462961197, 1.4640690088272095, 1.4525239765644073, 1.4099950194358826, 1.3885550796985626, 1.34168940782547, 1.3221160471439362, 1.2670267522335052, 1.276112288236618, 1.2807397842407227, 1.229486495256424, 1.2079360485076904, 1.163372129201889, 1.1342849135398865, 1.1313267052173615, 1.0989770889282227, 1.0650779902935028, 1.0710625052452087, 1.0388728082180023, 1.038927286863327, 1.0175876021385193, 1.0015770494937897, 0.9642115980386734, 0.9641932249069214, 0.9452787339687347, 0.9206780195236206, 0.9113366007804871, 0.8776735067367554, 0.8490362167358398, 0.843786209821701, 0.8384515196084976, 0.8251762390136719, 0.8193094730377197, 0.7755608707666397, 0.7713172733783722, 0.7659188061952591, 0.7417318373918533, 0.7248797118663788, 0.7231389135122299, 0.7002173960208893, 0.7030082941055298, 0.7040900737047195, 0.6905805915594101, 0.657719686627388, 0.6584002822637558, 0.6378972977399826, 0.6404281109571457, 0.626619502902031, 0.613449901342392, 0.6028448939323425, 0.5821293443441391, 0.6018311232328415, 0.5650206208229065, 0.5795323401689529, 0.5587156862020493, 0.5535174906253815, 0.5490844547748566, 0.5247129946947098, 0.5197460129857063, 0.5331752747297287, 0.5137640535831451, 0.5106479227542877, 0.48832447826862335, 0.4890943542122841, 0.4725895822048187, 0.4840138778090477, 0.49133408814668655]",0.003964631730701317,,75.0
3.0,1.0,64.0,256.0,,0.007405345109839101,removal,0.0,0.1126607251112175,366.6,mean,GATConv,1024.0,1.0,400.0,neighbor,100.0,nearest_neighbors,0.9469792605951307,0.8702456042121606,0.8436519258202567,0.8986699970094592,"[2.9465993642807007, 2.6738736629486084, 2.5352237224578857, 2.6025107502937317, 2.6305556893348694, 2.59267258644104, 2.453196346759796, 2.4522802233695984, 2.3925159573554993, 2.4155378937721252, 2.2853251695632935, 2.3810142874717712, 2.3261433243751526, 2.2033222913742065, 2.2129903435707092, 2.111221730709076, 2.1594223380088806, 2.1026059985160828, 2.0521727204322815, 2.0384272933006287, 1.9015134871006012, 1.9029974341392517, 1.8502607643604279, 1.8614185452461243, 1.8140386044979095, 1.7890298962593079, 1.7183083593845367, 1.6951830685138702, 1.6723697483539581, 1.6027644276618958, 1.5536122620105743, 1.5663551986217499, 1.5161460041999817, 1.4909720718860626, 1.4711726903915405, 1.4576793909072876, 1.414504498243332, 1.3934794962406158, 1.3493253886699677, 1.3322875797748566, 1.2745458781719208, 1.2840300798416138, 1.2910928130149841, 1.2388960421085358, 1.2147394716739655, 1.1694689393043518, 1.1425403654575348, 1.1378713250160217, 1.1052637994289398, 1.0702601969242096, 1.0790559351444244, 1.0472711324691772, 1.0436882972717285, 1.0236101001501083, 1.0077041983604431, 0.9714370518922806, 0.9693015962839127, 0.9513302147388458, 0.92681023478508, 0.9177179783582687, 0.883882150053978, 0.8540115356445312, 0.8483309745788574, 0.842921182513237, 0.8307761251926422, 0.8251788765192032, 0.7823107242584229, 0.7769127190113068, 0.7703247368335724, 0.7463049441576004, 0.7292860150337219, 0.7284251153469086, 0.7072593867778778, 0.7083127796649933, 0.708067998290062, 0.6965516209602356, 0.6623107939958572, 0.6628442257642746, 0.6412779688835144, 0.6449318677186966, 0.6304506808519363, 0.6170374900102615, 0.6065012067556381, 0.5860375910997391, 0.6062686443328857, 0.5681206732988358, 0.5833918452262878, 0.5619347840547562, 0.5576730072498322, 0.5524675101041794, 0.5287088453769684, 0.5240190550684929, 0.5366735756397247, 0.5167319178581238, 0.513318844139576, 0.4919712245464325, 0.493003286421299, 0.4751746505498886, 0.486205019056797, 0.4938947260379791]",0.006581374797572793,,75.0
3.0,1.0,128.0,256.0,,0.0061892840844765,removal,0.0,0.1513913851129049,366.6,mean,GATConv,1024.0,1.0,100.0,neighbor,100.0,nearest_neighbors,0.9449954914337241,0.870198574667033,0.8750356633380886,0.8655017420007198,"[2.9322893023490906, 2.6603822708129883, 2.534941017627716, 2.6058820486068726, 2.646984279155731, 2.608233392238617, 2.4747701287269592, 2.493885636329651, 2.4302961230278015, 2.4620755910873413, 2.3340036273002625, 2.451241374015808, 2.3935980796813965, 2.275145649909973, 2.2943243384361267, 2.1959069967269897, 2.2535656690597534, 2.202748417854309, 2.1618180871009827, 2.1480254530906677, 2.0170100033283234, 2.0269941091537476, 1.9797057211399078, 1.9915056824684143, 1.9520888328552246, 1.933238536119461, 1.8623661398887634, 1.8440077304840088, 1.8256675899028778, 1.754711538553238, 1.703368604183197, 1.7347145676612854, 1.6802199482917786, 1.6564039587974548, 1.6445209085941315, 1.6335305273532867, 1.5935731828212738, 1.5757128596305847, 1.527146816253662, 1.5111717581748962, 1.4524614810943604, 1.4675967991352081, 1.4755219519138336, 1.4226902723312378, 1.4029030799865723, 1.3522532880306244, 1.3226810097694397, 1.3232032358646393, 1.2879083156585693, 1.2523476779460907, 1.2630839049816132, 1.229007065296173, 1.2313746809959412, 1.2116733193397522, 1.1951116025447845, 1.1518712043762207, 1.1558957993984222, 1.1358234882354736, 1.1074999570846558, 1.0992993712425232, 1.059920608997345, 1.0264427363872528, 1.0227591395378113, 1.0193405598402023, 1.003643959760666, 0.9991857409477234, 0.9479226619005203, 0.9432142674922943, 0.9388430565595627, 0.9114356637001038, 0.891079917550087, 0.8905611783266068, 0.8641552478075027, 0.8683439046144485, 0.87225341796875, 0.8559079766273499, 0.8164642155170441, 0.8185424208641052, 0.7941461652517319, 0.7984099686145782, 0.7828602939844131, 0.7664457261562347, 0.7540036141872406, 0.727914109826088, 0.7548023909330368, 0.7089765220880508, 0.7282845228910446, 0.7028340846300125, 0.6973474770784378, 0.6927394717931747, 0.6623691320419312, 0.6563526690006256, 0.6736649721860886, 0.6505721062421799, 0.6464036554098129, 0.6186134219169617, 0.6212234795093536, 0.599704846739769, 0.6142737865447998, 0.6241895705461502]",0.0023688780445486786,,75.0
