K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision,f1_std
4.0,1.0,128.0,256.0,,0.005,removal,0.0,0.1612002130089388,366.6,mean,GATConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[2.976902961730957, 2.853541135787964, 2.798930525779724, 2.7785696983337402, 2.7669652700424194, 2.739411950111389, 2.706867218017578, 2.703157424926758, 2.68243145942688, 2.721981406211853, 2.7090373039245605, 2.6774266958236694, 2.729028820991516, 2.6345126628875732, 2.646161198616028, 2.6385658979415894, 2.5964651107788086, 2.6147185564041138, 2.638749837875366, 2.5776426792144775, 2.5855454206466675, 2.550169587135315, 2.628658175468445, 2.5714170932769775, 2.537718892097473, 2.515234112739563, 2.4759563207626343, 2.4862011671066284, 2.5944552421569824, 2.470482349395752, 2.4202054738998413, 2.439704656600952, 2.483104705810547, 2.403202772140503, 2.4407771825790405, 2.362441301345825, 2.38632071018219, 2.352458119392395, 2.3713676929473877, 2.3604382276535034, 2.312211513519287, 2.3291927576065063, 2.302763819694519, 2.3106108903884888, 2.3295233249664307, 2.287360191345215, 2.2572970390319824, 2.249234199523926, 2.2483878135681152, 2.2032439708709717]",0.9379240846489756,0.7492852740123463,0.7863247863247864,0.7159827425618666,0.006480287065184417
4.0,1.0,256.0,256.0,,0.005,removal,0.0,0.1423474099186075,366.6,mean,GATConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.1813944578170776, 3.054964780807495, 2.9972774982452393, 2.9742836952209473, 2.9610772132873535, 2.9334821701049805, 2.898350238800049, 2.8945775032043457, 2.8713144063949585, 2.9140456914901733, 2.900153875350952, 2.8666173219680786, 2.9213582277297974, 2.820816159248352, 2.8339232206344604, 2.8256564140319824, 2.77992582321167, 2.800015687942505, 2.8254036903381348, 2.7592118978500366, 2.769148588180542, 2.730717658996582, 2.8134844303131104, 2.7525049448013306, 2.716290831565857, 2.692749857902527, 2.6512601375579834, 2.6613428592681885, 2.778051972389221, 2.645923614501953, 2.5915236473083496, 2.612178921699524, 2.6588618755340576, 2.573275327682495, 2.614021897315979, 2.529753804206848, 2.5551435947418213, 2.519078850746155, 2.5388160943984985, 2.52727210521698, 2.4755260944366455, 2.4939401149749756, 2.465562582015991, 2.4738837480545044, 2.495297908782959, 2.4480443000793457, 2.4164657592773438, 2.407644271850586, 2.4067678451538086, 2.3584213256835938]",0.9398723547195165,0.7488254694786102,0.76011396011396,0.7381231483316737,0.004054042185261591
4.0,1.0,128.0,256.0,,0.005,removal,0.0,0.1527490112383261,366.6,mean,GATConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.0684272050857544, 2.9429447650909424, 2.8867597579956055, 2.8647048473358154, 2.852810263633728, 2.8251394033432007, 2.7922255992889404, 2.787731409072876, 2.7653366327285767, 2.8078418970108032, 2.7938952445983887, 2.761380434036255, 2.8147051334381104, 2.717128872871399, 2.7301337718963623, 2.7208956480026245, 2.6778345108032227, 2.6968826055526733, 2.7209134101867676, 2.6578638553619385, 2.6668174266815186, 2.6304054260253906, 2.71017587184906, 2.6518484354019165, 2.6170780658721924, 2.5939393043518066, 2.553549885749817, 2.5641859769821167, 2.675729274749756, 2.5479743480682373, 2.4970688819885254, 2.5158231258392334, 2.5606935024261475, 2.4788689613342285, 2.517509341239929, 2.436801552772522, 2.461290717124939, 2.42585551738739, 2.4449576139450073, 2.4340593814849854, 2.384652256965637, 2.4023505449295044, 2.3750391006469727, 2.383651375770569, 2.4028133153915405, 2.3587297201156616, 2.3282686471939087, 2.318745732307434, 2.318877696990967, 2.2710317373275757]",0.9380584481021164,0.7484008536672486,0.7811965811965813,0.7185249220902286,0.0042257391132277874
4.0,1.0,128.0,256.0,,0.005,removal,0.0,0.1497701579585786,366.6,mean,GATConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.096091628074646, 2.974478840827942, 2.917088031768799, 2.8959851264953613, 2.8830701112747192, 2.855111598968506, 2.821903347969055, 2.817117214202881, 2.795192003250122, 2.8370134830474854, 2.823023200035095, 2.7905925512313843, 2.844495177268982, 2.745914340019226, 2.758852005004883, 2.750251293182373, 2.705497980117798, 2.7253520488739014, 2.7500399351119995, 2.6862905025482178, 2.694680690765381, 2.658174991607666, 2.739309549331665, 2.6797465085983276, 2.6443084478378296, 2.6214804649353027, 2.580809473991394, 2.591530442237854, 2.7035824060440063, 2.5757187604904175, 2.523224115371704, 2.5422648191452026, 2.587852716445923, 2.5051242113113403, 2.5439658164978027, 2.4619463682174683, 2.4872559309005737, 2.452598452568054, 2.4714019298553467, 2.459908366203308, 2.4100669622421265, 2.427543878555298, 2.4004788398742676, 2.4089258909225464, 2.42782986164093, 2.3826866149902344, 2.3521779775619507, 2.343949556350708, 2.3426040410995483, 2.295752763748169]",0.9378569029224051,0.7454322366458288,0.7715099715099715,0.7213707005758264,0.008217154347685069
4.0,1.0,128.0,256.0,,0.005,removal,0.0,0.1542576746189642,366.6,mean,GATConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.0513840913772583, 2.925519824028015, 2.8701043128967285, 2.8479889631271362, 2.83643114566803, 2.8095513582229614, 2.7759697437286377, 2.7716667652130127, 2.750036358833313, 2.791002631187439, 2.7784922122955322, 2.745221734046936, 2.7982479333877563, 2.7007248401641846, 2.7142266035079956, 2.7058467864990234, 2.6630078554153442, 2.681674003601074, 2.705391764640808, 2.6428678035736084, 2.6515003442764282, 2.615333080291748, 2.6949323415756226, 2.63706374168396, 2.6020348072052, 2.579144239425659, 2.539041519165039, 2.5499837398529053, 2.6601792573928833, 2.534098744392395, 2.482498288154602, 2.5009695291519165, 2.546103358268738, 2.4646003246307373, 2.502998113632202, 2.422934412956238, 2.447472929954529, 2.412124752998352, 2.431185483932495, 2.420027017593384, 2.3709172010421753, 2.388439178466797, 2.3614861965179443, 2.3697075843811035, 2.3894439935684204, 2.3454421758651733, 2.3151321411132812, 2.3061777353286743, 2.3059386014938354, 2.25834584236145]",0.9373866308364125,0.7450042856603037,0.7754985754985755,0.7171707487301304,0.0092963277610457
4.0,1.0,256.0,256.0,,0.005,removal,0.0,0.1590213353733442,366.6,mean,GATConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.0004029273986816, 2.8767329454421997, 2.8220505714416504, 2.800854444503784, 2.789243459701538, 2.761683940887451, 2.7300140857696533, 2.7248435020446777, 2.703695058822632, 2.7445569038391113, 2.7314980030059814, 2.6993706226348877, 2.7511428594589233, 2.656129837036133, 2.6690138578414917, 2.659980535507202, 2.6177531480789185, 2.636443018913269, 2.6603857278823853, 2.5979644060134888, 2.6072638034820557, 2.571949601173401, 2.6497265100479126, 2.5928969383239746, 2.5583304166793823, 2.5361602306365967, 2.4965779781341553, 2.5065815448760986, 2.61609423160553, 2.4911508560180664, 2.4414889812469482, 2.459397077560425, 2.5034263134002686, 2.4230592250823975, 2.461272358894348, 2.382085680961609, 2.40617299079895, 2.372074604034424, 2.3909831047058105, 2.3795244693756104, 2.3317216634750366, 2.3486450910568237, 2.321686029434204, 2.330071806907654, 2.348958730697632, 2.3062210083007812, 2.2760565280914307, 2.267270803451538, 2.2669739723205566, 2.220286726951599]",0.9368491770238496,0.744924067137441,0.7817663817663818,0.7117081156522893,0.009145665988203405
4.0,1.0,256.0,256.0,,0.005,removal,0.0,0.1581814294238296,366.6,mean,GATConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.0117658376693726, 2.8870279788970947, 2.8316473960876465, 2.8100868463516235, 2.7980992794036865, 2.771070957183838, 2.738591194152832, 2.7341388463974, 2.7129907608032227, 2.7537120580673218, 2.7408058643341064, 2.7085741758346558, 2.7607409954071045, 2.6651116609573364, 2.6776394844055176, 2.669363498687744, 2.626542091369629, 2.6452776193618774, 2.669201135635376, 2.6072323322296143, 2.6148725748062134, 2.580278515815735, 2.658791661262512, 2.60150682926178, 2.5670993328094482, 2.5439374446868896, 2.5047494173049927, 2.5147289037704468, 2.6241438388824463, 2.499253034591675, 2.449661374092102, 2.4677493572235107, 2.5118759870529175, 2.4315165281295776, 2.469504237174988, 2.3897790908813477, 2.41420316696167, 2.3791353702545166, 2.3988431692123413, 2.387903928756714, 2.3392590284347534, 2.3565133810043335, 2.3299148082733154, 2.3381195068359375, 2.3568763732910156, 2.3131208419799805, 2.283517360687256, 2.2751357555389404, 2.274449944496155, 2.2280056476593018]",0.9368491770238496,0.7447024400268059,0.78005698005698,0.7129015498627154,0.01632303166719791
4.0,1.0,128.0,256.0,,0.005,removal,0.0,0.1488174623461721,366.6,mean,GATConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.1066360473632812, 2.983552575111389, 2.927340269088745, 2.9051953554153442, 2.8924388885498047, 2.865439534187317, 2.8320233821868896, 2.826685667037964, 2.8049312829971313, 2.8462618589401245, 2.8326908349990845, 2.799705982208252, 2.854013204574585, 2.7544384002685547, 2.7675693035125732, 2.7597343921661377, 2.7155234813690186, 2.7344703674316406, 2.7592967748641968, 2.6945204734802246, 2.7040356397628784, 2.6667773723602295, 2.7477834224700928, 2.688866972923279, 2.6533459424972534, 2.6298201084136963, 2.588862895965576, 2.599561333656311, 2.7124520540237427, 2.5833332538604736, 2.531685709953308, 2.5510858297348022, 2.5963398218154907, 2.513729691505432, 2.5523781776428223, 2.4709954261779785, 2.495902180671692, 2.460108995437622, 2.4791775941848755, 2.4682422876358032, 2.417824625968933, 2.4357945919036865, 2.4086939096450806, 2.4167847633361816, 2.4368104934692383, 2.390663981437683, 2.36010205745697, 2.351162075996399, 2.3510475158691406, 2.3032222986221313]",0.9377897211958348,0.7444405591497084,0.7680911680911681,0.7225308496664079,0.009012106547741792
4.0,1.0,128.0,256.0,,0.005,removal,0.0,0.1538109850430647,366.6,mean,GATConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.0559141635894775, 2.9301995038986206, 2.875258207321167, 2.853443145751953, 2.840646505355835, 2.8130522966384888, 2.780553698539734, 2.776497006416321, 2.754583477973938, 2.796343207359314, 2.7826114892959595, 2.7495702505111694, 2.803505301475525, 2.7056885957717896, 2.718942165374756, 2.7100995779037476, 2.6666126251220703, 2.6855045557022095, 2.7100318670272827, 2.647132635116577, 2.6551495790481567, 2.619717240333557, 2.69888699054718, 2.640976309776306, 2.606256604194641, 2.582743287086487, 2.542906403541565, 2.553795576095581, 2.6645435094833374, 2.5368731021881104, 2.486815094947815, 2.5051780939102173, 2.5501168966293335, 2.4689890146255493, 2.507286310195923, 2.4270416498184204, 2.4511996507644653, 2.415904402732849, 2.4349335432052612, 2.4244449138641357, 2.3749994039535522, 2.3929147720336914, 2.3655792474746704, 2.373847007751465, 2.3931143283843994, 2.349254608154297, 2.318808078765869, 2.3095436096191406, 2.3097022771835327, 2.2620961666107178]",0.9371850856567013,0.7444053641921381,0.7754985754985756,0.7159639550675599,0.007991681480063344
4.0,1.0,256.0,256.0,,0.005,removal,0.0,0.1587933865602056,366.6,mean,GATConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.0049593448638916, 2.8822561502456665, 2.8268187046051025, 2.805355429649353, 2.793636202812195, 2.7671815156936646, 2.7345967292785645, 2.7303807735443115, 2.708658814430237, 2.7497363090515137, 2.736319899559021, 2.7032114267349243, 2.7562355995178223, 2.661505937576294, 2.6728813648223877, 2.6654247045516968, 2.6227500438690186, 2.6415477991104126, 2.6655699014663696, 2.6030060052871704, 2.6115481853485107, 2.5766875743865967, 2.654902696609497, 2.597336769104004, 2.5626801252365112, 2.5401793718338013, 2.501223087310791, 2.5111918449401855, 2.6210319995880127, 2.4948947429656982, 2.44575035572052, 2.464187741279602, 2.5078171491622925, 2.4277379512786865, 2.4656325578689575, 2.3868945837020874, 2.410119414329529, 2.3756853342056274, 2.39520001411438, 2.38425874710083, 2.335649609565735, 2.3532294034957886, 2.3262776136398315, 2.3338345289230347, 2.353578209877014, 2.3103151321411133, 2.280243396759033, 2.2716137170791626, 2.2708317041397095, 2.224591374397278]",0.936580450117568,0.7437696320877644,0.78005698005698,0.7110277739980391,0.013364203494566344
