K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,reliable_mini_batch,clusters,pos_weight,accuracy,f1,recall,precision,losses,f1_std
9.0,2.0,128.0,128.0,,0.0047528126617896,removal,0.0,0.21953508533558433,366.6,mean,GCNConv,15.0,6.0,1.0,100.0,,0.9493353028064992,0.9152454984972687,0.9056234718826405,0.925114683177551,"[8.46787703037262, 9.080339789390564, 9.225038647651672, 9.112224876880646, 8.954759240150452, 8.381339013576508, 7.755806505680084, 7.904209077358246, 8.691074907779694, 8.490117907524109, 8.379791915416718, 7.951161324977875, 7.874067068099976, 7.888475835323334, 8.412718415260315, 7.1858426332473755, 8.234028995037079, 7.276908695697784, 7.374533116817474, 7.174120485782623, 7.090451121330261, 7.150248944759369, 7.206550061702728, 6.930386424064636, 6.939191401004791, 6.8220072984695435, 6.7214614152908325, 6.7474586963653564, 6.525042355060577, 6.598737597465515, 6.195843040943146, 6.298554837703705, 6.262558460235596, 6.051603674888611, 5.975241601467133, 5.826653599739075, 5.649694502353668, 5.574905753135681, 5.711667239665985, 5.551412045955658, 5.315649032592773, 5.2257789969444275, 5.202225029468536, 4.925275981426239, 4.855931222438812, 4.913145184516907, 4.675547659397125, 4.51408064365387, 4.616112947463989, 4.498147219419479]",0.0015020758842435075
9.0,2.0,128.0,128.0,,0.0054688991513465,removal,0.0,0.22725748158877393,366.6,mean,GCNConv,15.0,4.0,1.0,100.0,,0.949261447562777,0.9151423668966892,0.9058679706601467,0.9247208040167371,"[8.331558585166931, 8.92667829990387, 9.123639822006226, 8.89287257194519, 8.797834396362305, 8.248821139335632, 7.607611060142517, 7.7074116468429565, 8.477563083171844, 8.187785148620605, 8.114300549030304, 7.682845294475555, 7.5822166204452515, 7.651833355426788, 8.11625850200653, 6.960813343524933, 7.910046935081482, 6.9533169865608215, 7.0288039445877075, 6.823471665382385, 6.709425330162048, 6.769859075546265, 6.804991841316223, 6.510835647583008, 6.49061518907547, 6.387884795665741, 6.2396435141563416, 6.307020604610443, 6.085913956165314, 6.081697940826416, 5.697818279266357, 5.786347687244415, 5.699459671974182, 5.513391315937042, 5.408228576183319, 5.2570644319057465, 5.055977404117584, 4.984660387039185, 5.083953380584717, 4.938101887702942, 4.698130786418915, 4.601377427577972, 4.539979577064514, 4.300571113824844, 4.223574101924896, 4.250181555747986, 4.048367559909821, 3.871946334838867, 3.9453060626983643, 3.835779905319214]",0.0021495564694271247
9.0,2.0,128.0,128.0,,0.0055620475800185,removal,0.0,0.2290047197970373,366.6,mean,GCNConv,15.0,5.0,1.0,100.0,,0.9484490398818316,0.9143574940498391,0.9105134474327627,0.9183780465764382,"[8.304111063480377, 8.944101214408875, 9.109252572059631, 8.882188737392426, 8.78861117362976, 8.216387748718262, 7.595842242240906, 7.664724588394165, 8.450569927692413, 8.19007956981659, 8.080109894275665, 7.659593641757965, 7.558006286621094, 7.668419003486633, 8.09072995185852, 6.92285543680191, 7.879009127616882, 6.914396286010742, 6.99538642168045, 6.784629702568054, 6.684524893760681, 6.727541923522949, 6.765702664852142, 6.487017333507538, 6.435221910476685, 6.363316774368286, 6.1778876185417175, 6.242164254188538, 6.010481953620911, 6.020629167556763, 5.656363248825073, 5.731592833995819, 5.633539795875549, 5.448189854621887, 5.349420964717865, 5.186001896858215, 5.005512714385986, 4.936323940753937, 5.022663176059723, 4.8756325244903564, 4.627998054027557, 4.533004462718964, 4.458103597164154, 4.238317906856537, 4.1423603892326355, 4.177988171577454, 3.9819739758968353, 3.800607681274414, 3.871735095977783, 3.7585538625717163]",0.005750342523286967
9.0,2.0,128.0,128.0,,0.0055976726302431,removal,0.0,0.22693758374230208,366.6,mean,GCNConv,15.0,5.0,1.0,100.0,,0.9485967503692763,0.9142816370553172,0.9073349633251834,0.9213967023625184,"[8.389947235584259, 8.973759293556213, 9.158776760101318, 8.925361394882202, 8.809281945228577, 8.249416768550873, 7.616847336292267, 7.7221585512161255, 8.460693418979645, 8.205106735229492, 8.121564447879791, 7.665296137332916, 7.594897508621216, 7.63915890455246, 8.096961796283722, 6.94141697883606, 7.916150450706482, 6.948105156421661, 7.010353624820709, 6.819144189357758, 6.685817122459412, 6.741010308265686, 6.755511403083801, 6.459024906158447, 6.454245567321777, 6.3394211530685425, 6.202790796756744, 6.241451442241669, 6.018342673778534, 6.025891125202179, 5.64826112985611, 5.726947367191315, 5.63287353515625, 5.446545779705048, 5.33058375120163, 5.194113731384277, 4.982538223266602, 4.899484038352966, 5.008646547794342, 4.8532509207725525, 4.614569962024689, 4.519737124443054, 4.4561339020729065, 4.214760094881058, 4.135075926780701, 4.154814690351486, 3.9634536802768707, 3.7782437801361084, 3.8532978892326355, 3.7456492483615875]",0.006248754004049998
9.0,2.0,128.0,128.0,,0.0044212746771398,removal,0.0,0.21346627591830242,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,,0.9488183161004431,0.9141769222010465,0.902200488997555,0.9265831532999085,"[8.500597298145294, 9.130502104759216, 9.308379054069519, 9.130785703659058, 9.002078890800476, 8.445457577705383, 7.797187685966492, 7.952828228473663, 8.78576397895813, 8.583311557769775, 8.508772015571594, 8.053056836128235, 7.983145475387573, 8.066178023815155, 8.598782658576965, 7.29565292596817, 8.397668957710266, 7.375096082687378, 7.483147978782654, 7.312196373939514, 7.240069150924683, 7.314412534236908, 7.396575093269348, 7.0747711062431335, 7.149449467658997, 6.990956425666809, 6.890943467617035, 6.95650976896286, 6.72901576757431, 6.8397380113601685, 6.464480936527252, 6.527304470539093, 6.52297830581665, 6.307368874549866, 6.236367762088776, 6.103472888469696, 5.911776602268219, 5.833789825439453, 6.021472811698914, 5.856969475746155, 5.616949737071991, 5.529258847236633, 5.520950675010681, 5.218185484409332, 5.151864111423492, 5.2481430768966675, 4.989168465137482, 4.830191612243652, 4.951424300670624, 4.820054292678833]",0.004232661214833728
9.0,2.0,128.0,128.0,,0.0066875807682999,removal,0.0,0.21534744725769342,366.6,mean,GCNConv,15.0,3.0,1.0,100.0,,0.9487444608567207,0.9140275635151767,0.9019559902200488,0.9264321640042027,"[8.432208478450775, 9.014741659164429, 9.144623041152954, 8.901750326156616, 8.749215245246887, 8.151593148708344, 7.576688170433044, 7.609952092170715, 8.30186665058136, 8.0213063955307, 7.922202944755554, 7.443778157234192, 7.38919335603714, 7.387437999248505, 7.772845149040222, 6.660680651664734, 7.536372482776642, 6.631294846534729, 6.642713308334351, 6.411098062992096, 6.2902825474739075, 6.276681184768677, 6.214329898357391, 5.995572865009308, 5.913587808609009, 5.803360819816589, 5.625053763389587, 5.658667147159576, 5.3977068066596985, 5.3801252245903015, 5.016565024852753, 5.037240207195282, 4.908946990966797, 4.743012011051178, 4.6235122084617615, 4.461169719696045, 4.24771910905838, 4.1607652604579926, 4.202645301818848, 4.064860135316849, 3.8305737674236298, 3.7473593652248383, 3.6451644599437714, 3.4433286488056183, 3.3521373867988586, 3.3515635430812836, 3.181218445301056, 3.0156952142715454, 3.0827774107456207, 2.977242946624756]",0.004531488021361507
9.0,2.0,128.0,128.0,,0.0058255749754491,removal,0.0,0.22954985747690643,366.6,mean,GCNConv,15.0,6.0,1.0,200.0,,0.9477843426883309,0.9139420162233488,0.9178484107579463,0.9100762304169507,"[22.801353216171265, 22.64835500717163, 22.110299944877625, 22.07014435529709, 20.32226800918579, 20.022702038288116, 19.234718203544617, 18.374021351337433, 17.220635890960693, 16.853838324546814, 16.40507584810257, 15.650324404239655, 15.900693356990814, 13.97932642698288, 14.905170202255249, 13.04378229379654, 12.47844910621643, 12.57832396030426, 11.894166648387909, 11.711118578910828, 10.75110250711441, 10.56374341249466, 10.557498753070831, 9.9951810836792, 9.07090249657631, 9.302026450634003, 8.580817997455597, 8.2520831823349, 7.898577839136124, 7.342284560203552, 7.4400405287742615, 7.183610767126083, 6.713213860988617, 6.384928971529007, 6.255662679672241, 5.884480148553848, 5.746337354183197, 5.609548807144165, 5.245413839817047, 5.269793376326561, 4.85732538998127, 4.633330553770065, 4.516108721494675, 4.502185508608818, 4.126761436462402, 4.094424203038216, 3.8830163180828094, 3.765130952000618, 3.6224872171878815, 3.486979141831398]",0.006615157539459461
9.0,2.0,128.0,128.0,,0.0065613044784149,removal,0.0,0.2200934630039042,366.6,mean,GCNConv,15.0,7.0,1.0,100.0,,0.9482274741506647,0.9136169464489298,0.906356968215159,0.9209967497492182,"[8.374062180519104, 8.959164381027222, 9.096388816833496, 8.845830857753754, 8.720494031906128, 8.127325236797333, 7.539667189121246, 7.590847432613373, 8.292618215084076, 7.998719096183777, 7.910934507846832, 7.450984299182892, 7.38873952627182, 7.4087934494018555, 7.793316841125488, 6.661712050437927, 7.563100278377533, 6.638406693935394, 6.658716320991516, 6.4261234998703, 6.3198628425598145, 6.319022357463837, 6.279096603393555, 6.042555630207062, 5.961125195026398, 5.860499799251556, 5.682247638702393, 5.719076752662659, 5.465858161449432, 5.44680118560791, 5.077253043651581, 5.097347259521484, 4.9781593680381775, 4.807907521724701, 4.700747430324554, 4.526525378227234, 4.318537712097168, 4.23619943857193, 4.286702573299408, 4.147605091333389, 3.9119995534420013, 3.8226189017295837, 3.7260272800922394, 3.525196135044098, 3.4269171059131622, 3.436833143234253, 3.2602048814296722, 3.0954631865024567, 3.1598600447177887, 3.052550882101059]",0.00200228858114483
9.0,2.0,128.0,128.0,,0.0090302778919167,removal,0.0,0.228497468705743,366.6,mean,GCNConv,5.0,8.0,1.0,100.0,,0.9476366322008862,0.9135218684827893,0.9156479217603911,0.9114194873120361,"[26.48839569091797, 25.419988572597504, 24.341820180416107, 21.826392740011215, 20.316010683774948, 18.816600060090423, 16.741743445396423, 17.080065190792084, 15.866620033979416, 14.879591554403305, 13.394316047430038, 11.976107329130173, 10.73253282904625, 9.239238888025284, 8.150408517569304, 7.574249759316444, 7.170249193906784, 6.434528106823564, 5.5671159964986145, 5.286642715334892, 4.808916077017784, 4.552012890577316, 4.161749303340912, 3.8961810916662216, 3.791889138519764, 3.2951721623539925, 3.0941779017448425, 3.076672352850437, 2.915226936340332, 2.628141675144434, 2.3493160642683506, 2.27394238114357, 2.2663782462477684, 2.0918140932917595, 2.0053344294428825, 1.909009125083685, 1.8538116663694382, 1.7205978215206414, 1.5594434225931764, 1.5521672889590263, 1.4718480240553617, 1.3957504369318485, 1.2995891608297825, 1.3239638358354568, 1.2356084827333689, 1.2176037766039371, 1.178064800798893, 1.1168373860418797, 1.0824351385235786, 1.0523648895323277]",0.0018240338505447302
9.0,2.0,128.0,128.0,,0.0099330775530356,removal,0.0,0.2182878410068204,366.6,mean,GCNConv,15.0,4.0,1.0,100.0,,0.9483013293943869,0.9134235198804446,0.9026894865525673,0.9244715676680896,"[8.428346157073975, 8.934252500534058, 8.96555769443512, 8.672680854797363, 8.441340982913971, 7.795392692089081, 7.260684311389923, 7.1673643589019775, 7.741262793540955, 7.405804455280304, 7.216141760349274, 6.707578957080841, 6.580215632915497, 6.5603567361831665, 6.714033901691437, 5.800976753234863, 6.365275323390961, 5.567711234092712, 5.473097383975983, 5.181612193584442, 5.025096654891968, 4.9116833209991455, 4.7480312287807465, 4.537876665592194, 4.362985253334045, 4.225736349821091, 4.005601286888123, 3.975688487291336, 3.706494688987732, 3.611172318458557, 3.309918999671936, 3.2619665265083313, 3.0942462980747223, 2.9858118295669556, 2.8768630027770996, 2.7026676535606384, 2.5392638444900513, 2.4717296957969666, 2.462701052427292, 2.350402593612671, 2.1915983259677887, 2.1189754605293274, 2.0382398068904877, 1.9127512276172638, 1.8469060212373734, 1.8349685072898865, 1.736738920211792, 1.626671701669693, 1.6562666296958923, 1.5967884808778763]",0.0034055006217104796
