K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,reliable_mini_batch,clusters,accuracy,f1,recall,precision,losses,f1_std,sampling,sampling_k,num_epochs,anomaly_detector
9.0,2.0,128.0,128.0,,0.0047528126617896,removal,0.0,0.21953508533558433,366.6,mean,GCNConv,15.0,6.0,1.0,100.0,0.9493353028064992,0.9152454984972687,0.9056234718826405,0.925114683177551,"[8.46787703037262, 9.080339789390564, 9.225038647651672, 9.112224876880646, 8.954759240150452, 8.381339013576508, 7.755806505680084, 7.904209077358246, 8.691074907779694, 8.490117907524109, 8.379791915416718, 7.951161324977875, 7.874067068099976, 7.888475835323334, 8.412718415260315, 7.1858426332473755, 8.234028995037079, 7.276908695697784, 7.374533116817474, 7.174120485782623, 7.090451121330261, 7.150248944759369, 7.206550061702728, 6.930386424064636, 6.939191401004791, 6.8220072984695435, 6.7214614152908325, 6.7474586963653564, 6.525042355060577, 6.598737597465515, 6.195843040943146, 6.298554837703705, 6.262558460235596, 6.051603674888611, 5.975241601467133, 5.826653599739075, 5.649694502353668, 5.574905753135681, 5.711667239665985, 5.551412045955658, 5.315649032592773, 5.2257789969444275, 5.202225029468536, 4.925275981426239, 4.855931222438812, 4.913145184516907, 4.675547659397125, 4.51408064365387, 4.616112947463989, 4.498147219419479]",0.0015020758842435075,,,,
9.0,2.0,128.0,128.0,,0.0054688991513465,removal,0.0,0.22725748158877393,366.6,mean,GCNConv,15.0,4.0,1.0,100.0,0.949261447562777,0.9151423668966892,0.9058679706601467,0.9247208040167371,"[8.331558585166931, 8.92667829990387, 9.123639822006226, 8.89287257194519, 8.797834396362305, 8.248821139335632, 7.607611060142517, 7.7074116468429565, 8.477563083171844, 8.187785148620605, 8.114300549030304, 7.682845294475555, 7.5822166204452515, 7.651833355426788, 8.11625850200653, 6.960813343524933, 7.910046935081482, 6.9533169865608215, 7.0288039445877075, 6.823471665382385, 6.709425330162048, 6.769859075546265, 6.804991841316223, 6.510835647583008, 6.49061518907547, 6.387884795665741, 6.2396435141563416, 6.307020604610443, 6.085913956165314, 6.081697940826416, 5.697818279266357, 5.786347687244415, 5.699459671974182, 5.513391315937042, 5.408228576183319, 5.2570644319057465, 5.055977404117584, 4.984660387039185, 5.083953380584717, 4.938101887702942, 4.698130786418915, 4.601377427577972, 4.539979577064514, 4.300571113824844, 4.223574101924896, 4.250181555747986, 4.048367559909821, 3.871946334838867, 3.9453060626983643, 3.835779905319214]",0.0021495564694271247,,,,
4.0,1.0,128.0,256.0,,0.0030239522795754,removal,0.0,0.2621882684366268,366.6,mean,GATConv,256.0,1.0,,100.0,0.9479320531757756,0.9150370188561523,0.928361858190709,0.9021964200985921,"[10.717682480812073, 10.205856382846832, 9.997612118721008, 9.968365609645844, 9.715714991092682, 9.612230598926544, 9.406949043273926, 9.1338250041008, 8.927460491657257, 8.86792665719986, 8.691293835639954, 8.477694988250732, 8.386154472827911, 8.147364735603333, 8.06340217590332, 7.821124494075775, 7.8469438552856445, 7.627992272377014, 7.403746962547302, 7.2093095779418945, 7.110007226467133, 6.943422317504883, 6.768594264984131, 6.535868942737579, 6.43331903219223, 6.31137889623642, 6.192670583724976, 6.056966125965118, 5.934436559677124, 5.747118890285492, 5.658711194992065, 5.537630915641785, 5.339002072811127, 5.2100286185741425, 5.22923156619072, 5.070055037736893, 4.980314284563065, 4.83071294426918, 4.714097172021866, 4.638585954904556, 4.514516204595566, 4.486415088176727, 4.2839067578315735, 4.189380645751953, 4.157801598310471, 4.018197864294052, 3.9481526911258698, 3.821789026260376, 3.7688462138175964, 3.708511471748352, 3.621963232755661, 3.5403484106063843, 3.5081585943698883, 3.4643825590610504, 3.3653146624565125, 3.2773889899253845, 3.2369545996189117, 3.1555546820163727, 3.0636622607707977, 3.0040977001190186, 2.969275549054146, 2.8997995257377625, 2.8767593055963516, 2.7803042829036713, 2.740330994129181, 2.693955674767494, 2.635937377810478, 2.6265153884887695, 2.55914606153965, 2.48368638753891, 2.447405159473419, 2.425358310341835, 2.3934349566698074, 2.346184402704239, 2.3057108223438263, 2.271102398633957, 2.205093950033188, 2.184892863035202, 2.1623033434152603, 2.0796332955360413, 2.0860855281352997, 2.0004526674747467, 1.9834704548120499, 1.969006523489952, 1.9380281418561935, 1.8870537132024765, 1.8591282665729523, 1.8410699963569641, 1.7745582163333893, 1.7856080830097198, 1.7495143413543701, 1.716123878955841, 1.7137453854084015, 1.685526818037033, 1.6559876799583435, 1.6384454518556595, 1.6061615943908691, 1.5610776543617249, 1.536426916718483, 1.5481561571359634]",0.006266865869977989,neighbor,25.0,100.0,nearest_neighbors
9.0,2.0,128.0,128.0,,0.0055620475800185,removal,0.0,0.2290047197970373,366.6,mean,GCNConv,15.0,5.0,1.0,100.0,0.9484490398818316,0.9143574940498391,0.9105134474327627,0.9183780465764382,"[8.304111063480377, 8.944101214408875, 9.109252572059631, 8.882188737392426, 8.78861117362976, 8.216387748718262, 7.595842242240906, 7.664724588394165, 8.450569927692413, 8.19007956981659, 8.080109894275665, 7.659593641757965, 7.558006286621094, 7.668419003486633, 8.09072995185852, 6.92285543680191, 7.879009127616882, 6.914396286010742, 6.99538642168045, 6.784629702568054, 6.684524893760681, 6.727541923522949, 6.765702664852142, 6.487017333507538, 6.435221910476685, 6.363316774368286, 6.1778876185417175, 6.242164254188538, 6.010481953620911, 6.020629167556763, 5.656363248825073, 5.731592833995819, 5.633539795875549, 5.448189854621887, 5.349420964717865, 5.186001896858215, 5.005512714385986, 4.936323940753937, 5.022663176059723, 4.8756325244903564, 4.627998054027557, 4.533004462718964, 4.458103597164154, 4.238317906856537, 4.1423603892326355, 4.177988171577454, 3.9819739758968353, 3.800607681274414, 3.871735095977783, 3.7585538625717163]",0.005750342523286967,,,,
9.0,2.0,128.0,128.0,,0.0055976726302431,removal,0.0,0.22693758374230208,366.6,mean,GCNConv,15.0,5.0,1.0,100.0,0.9485967503692763,0.9142816370553172,0.9073349633251834,0.9213967023625184,"[8.389947235584259, 8.973759293556213, 9.158776760101318, 8.925361394882202, 8.809281945228577, 8.249416768550873, 7.616847336292267, 7.7221585512161255, 8.460693418979645, 8.205106735229492, 8.121564447879791, 7.665296137332916, 7.594897508621216, 7.63915890455246, 8.096961796283722, 6.94141697883606, 7.916150450706482, 6.948105156421661, 7.010353624820709, 6.819144189357758, 6.685817122459412, 6.741010308265686, 6.755511403083801, 6.459024906158447, 6.454245567321777, 6.3394211530685425, 6.202790796756744, 6.241451442241669, 6.018342673778534, 6.025891125202179, 5.64826112985611, 5.726947367191315, 5.63287353515625, 5.446545779705048, 5.33058375120163, 5.194113731384277, 4.982538223266602, 4.899484038352966, 5.008646547794342, 4.8532509207725525, 4.614569962024689, 4.519737124443054, 4.4561339020729065, 4.214760094881058, 4.135075926780701, 4.154814690351486, 3.9634536802768707, 3.7782437801361084, 3.8532978892326355, 3.7456492483615875]",0.006248754004049998,,,,
4.0,1.0,64.0,256.0,,0.0051027267736046,removal,0.0,0.2478587686336843,366.6,mean,GATConv,256.0,1.0,,200.0,0.9477104874446084,0.9142333609996026,0.9229828850855746,0.9058915505091154,"[10.572269678115845, 10.04777866601944, 9.728865265846252, 9.583028078079224, 9.220999538898468, 8.992549777030945, 8.684245884418488, 8.306672275066376, 7.984049141407013, 7.80503249168396, 7.530952990055084, 7.22154176235199, 7.024891972541809, 6.703998863697052, 6.524922013282776, 6.224237143993378, 6.108224093914032, 5.847689509391785, 5.58752715587616, 5.355782866477966, 5.17917674779892, 4.991547346115112, 4.779376178979874, 4.5366963148117065, 4.401926249265671, 4.25348162651062, 4.117222458124161, 3.9698466062545776, 3.8417217135429382, 3.675794839859009, 3.5623518526554108, 3.4444049894809723, 3.2804418206214905, 3.169603079557419, 3.1423180401325226, 3.0207819044589996, 2.9254382848739624, 2.817241370677948, 2.7233699411153793, 2.6588694751262665, 2.561289817094803, 2.5251410454511642, 2.390611931681633, 2.3202197402715683, 2.2848759293556213, 2.196956530213356, 2.1426503360271454, 2.054905042052269, 2.0125221610069275, 1.9705153405666351, 1.912154957652092, 1.856887310743332, 1.8316446393728256, 1.799648866057396, 1.737658903002739, 1.6843581050634384, 1.6538634300231934, 1.6078155636787415, 1.5525563806295395, 1.5164200812578201, 1.492068998515606, 1.4531878530979156, 1.4344907030463219, 1.3796138614416122, 1.3563645854592323, 1.3265673592686653, 1.2952795624732971, 1.2852797731757164, 1.248350940644741, 1.2079071179032326, 1.1854512244462967, 1.1724064499139786, 1.1536437720060349, 1.1278602108359337, 1.1052294597029686, 1.0862196236848831, 1.0522120296955109, 1.0388190001249313, 1.0268674343824387, 0.983694314956665, 0.9859699457883835, 0.9425579980015755, 0.9329169020056725, 0.9237643033266068, 0.9071797952055931, 0.8815574795007706, 0.8678811863064766, 0.8568382039666176, 0.8241556957364082, 0.827885203063488, 0.8102816715836525, 0.7937491312623024, 0.790147140622139, 0.7763459086418152, 0.7622289806604385, 0.752169594168663, 0.7367513403296471, 0.7149058319628239, 0.7026978693902493, 0.7069980278611183]",0.005971251092489123,neighbor,25.0,100.0,nearest_neighbors
9.0,2.0,128.0,128.0,,0.0044212746771398,removal,0.0,0.21346627591830242,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,0.9488183161004431,0.9141769222010465,0.902200488997555,0.9265831532999085,"[8.500597298145294, 9.130502104759216, 9.308379054069519, 9.130785703659058, 9.002078890800476, 8.445457577705383, 7.797187685966492, 7.952828228473663, 8.78576397895813, 8.583311557769775, 8.508772015571594, 8.053056836128235, 7.983145475387573, 8.066178023815155, 8.598782658576965, 7.29565292596817, 8.397668957710266, 7.375096082687378, 7.483147978782654, 7.312196373939514, 7.240069150924683, 7.314412534236908, 7.396575093269348, 7.0747711062431335, 7.149449467658997, 6.990956425666809, 6.890943467617035, 6.95650976896286, 6.72901576757431, 6.8397380113601685, 6.464480936527252, 6.527304470539093, 6.52297830581665, 6.307368874549866, 6.236367762088776, 6.103472888469696, 5.911776602268219, 5.833789825439453, 6.021472811698914, 5.856969475746155, 5.616949737071991, 5.529258847236633, 5.520950675010681, 5.218185484409332, 5.151864111423492, 5.2481430768966675, 4.989168465137482, 4.830191612243652, 4.951424300670624, 4.820054292678833]",0.004232661214833728,,,,
9.0,2.0,128.0,128.0,,0.0066875807682999,removal,0.0,0.21534744725769342,366.6,mean,GCNConv,15.0,3.0,1.0,100.0,0.9487444608567207,0.9140275635151767,0.9019559902200488,0.9264321640042027,"[8.432208478450775, 9.014741659164429, 9.144623041152954, 8.901750326156616, 8.749215245246887, 8.151593148708344, 7.576688170433044, 7.609952092170715, 8.30186665058136, 8.0213063955307, 7.922202944755554, 7.443778157234192, 7.38919335603714, 7.387437999248505, 7.772845149040222, 6.660680651664734, 7.536372482776642, 6.631294846534729, 6.642713308334351, 6.411098062992096, 6.2902825474739075, 6.276681184768677, 6.214329898357391, 5.995572865009308, 5.913587808609009, 5.803360819816589, 5.625053763389587, 5.658667147159576, 5.3977068066596985, 5.3801252245903015, 5.016565024852753, 5.037240207195282, 4.908946990966797, 4.743012011051178, 4.6235122084617615, 4.461169719696045, 4.24771910905838, 4.1607652604579926, 4.202645301818848, 4.064860135316849, 3.8305737674236298, 3.7473593652248383, 3.6451644599437714, 3.4433286488056183, 3.3521373867988586, 3.3515635430812836, 3.181218445301056, 3.0156952142715454, 3.0827774107456207, 2.977242946624756]",0.004531488021361507,,,,
9.0,2.0,128.0,128.0,,0.0058255749754491,removal,0.0,0.22954985747690643,366.6,mean,GCNConv,15.0,6.0,1.0,200.0,0.9477843426883309,0.9139420162233488,0.9178484107579463,0.9100762304169507,"[22.801353216171265, 22.64835500717163, 22.110299944877625, 22.07014435529709, 20.32226800918579, 20.022702038288116, 19.234718203544617, 18.374021351337433, 17.220635890960693, 16.853838324546814, 16.40507584810257, 15.650324404239655, 15.900693356990814, 13.97932642698288, 14.905170202255249, 13.04378229379654, 12.47844910621643, 12.57832396030426, 11.894166648387909, 11.711118578910828, 10.75110250711441, 10.56374341249466, 10.557498753070831, 9.9951810836792, 9.07090249657631, 9.302026450634003, 8.580817997455597, 8.2520831823349, 7.898577839136124, 7.342284560203552, 7.4400405287742615, 7.183610767126083, 6.713213860988617, 6.384928971529007, 6.255662679672241, 5.884480148553848, 5.746337354183197, 5.609548807144165, 5.245413839817047, 5.269793376326561, 4.85732538998127, 4.633330553770065, 4.516108721494675, 4.502185508608818, 4.126761436462402, 4.094424203038216, 3.8830163180828094, 3.765130952000618, 3.6224872171878815, 3.486979141831398]",0.006615157539459461,,,,
4.0,1.0,64.0,256.0,,0.0050512510946203,removal,0.0,0.2592775098987794,366.6,mean,GATConv,256.0,1.0,,200.0,0.9470457902511079,0.9136745244704556,0.9278728606356967,0.9000262773837896,"[10.566586673259735, 10.036667168140411, 9.705581426620483, 9.576824605464935, 9.21678763628006, 8.990670680999756, 8.678486406803131, 8.30964183807373, 7.988221883773804, 7.80477511882782, 7.540263891220093, 7.228974878787994, 7.037131309509277, 6.716761231422424, 6.542744696140289, 6.247235536575317, 6.131236910820007, 5.872287541627884, 5.610617101192474, 5.377785235643387, 5.2083821296691895, 5.01978212594986, 4.812188535928726, 4.566894769668579, 4.428300648927689, 4.280669778585434, 4.148106902837753, 3.9995889961719513, 3.872318685054779, 3.7059524059295654, 3.5946820974349976, 3.4779419004917145, 3.311661958694458, 3.198067367076874, 3.1709691286087036, 3.0494256913661957, 2.9530656933784485, 2.843546748161316, 2.750048279762268, 2.6873302310705185, 2.5883571803569794, 2.5514887869358063, 2.4177372753620148, 2.3476035594940186, 2.3100113421678543, 2.223192721605301, 2.167613372206688, 2.076819121837616, 2.0371100157499313, 1.9951919615268707, 1.9327915161848068, 1.8790210634469986, 1.8540104031562805, 1.822036549448967, 1.7595961838960648, 1.7062394171953201, 1.675277590751648, 1.6282964199781418, 1.5714931339025497, 1.5354333817958832, 1.510545700788498, 1.4717601090669632, 1.4537137523293495, 1.3970516845583916, 1.3747221007943153, 1.3439408168196678, 1.3120767027139664, 1.3016097694635391, 1.265044741332531, 1.2222794815897942, 1.201401263475418, 1.1873183622956276, 1.1692326739430428, 1.1423151269555092, 1.120147965848446, 1.1009520441293716, 1.06491219997406, 1.0525486171245575, 1.0408879593014717, 0.9972468614578247, 1.0003642141819, 0.9556475505232811, 0.945400781929493, 0.9368280246853828, 0.9196991473436356, 0.8935768306255341, 0.8798813596367836, 0.8684623837471008, 0.8352845758199692, 0.8398558646440506, 0.8217611163854599, 0.8048343881964684, 0.8010114505887032, 0.7875916063785553, 0.7729533761739731, 0.7632905468344688, 0.746741272509098, 0.7257252112030983, 0.7128354087471962, 0.7164389044046402]",0.009103894434429936,neighbor,25.0,100.0,nearest_neighbors
