K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision,f1_std
17.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2384358378187369,384.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.42259681224823, 3.3724725246429443, 3.2952513694763184, 3.466934561729431, 3.1889023780822754, 3.2571297883987427, 3.3633073568344116, 3.2335922718048096, 3.370275616645813, 3.3506476879119873, 3.4413868188858032, 3.354203224182129, 3.2562899589538574, 3.2482303380966187, 3.403259754180908, 3.334057569503784, 3.083870053291321, 3.1933722496032715, 3.201502203941345, 3.2090258598327637, 3.1896724700927734, 3.1717950105667114, 3.25478196144104, 3.2794495820999146, 3.19315767288208, 3.182124972343445, 3.2492101192474365, 3.1257508993148804, 3.259452223777771, 3.2282893657684326, 3.212796211242676, 3.056115746498108, 3.1171261072158813, 3.0377267599105835, 3.2062149047851562, 3.151199460029602, 3.088001012802124, 3.061006784439087, 3.028615117073059, 3.1746960878372192, 3.1181411743164062, 2.9603147506713867, 2.9592894315719604, 3.072961688041687, 3.140026807785034, 3.0465002059936523, 2.978053092956543, 3.1434801816940308, 3.075879693031311, 2.989009976387024]",0.9347542409743366,0.8124176746235494,0.7946210268948656,0.8310547386048459,0.03104684370771147
15.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2280023707609018,384.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.382176160812378, 3.332707643508911, 3.253830671310425, 3.4111558198928833, 3.169265627861023, 3.234340190887451, 3.323171019554138, 3.1984978914260864, 3.336416006088257, 3.3216136693954468, 3.3975486755371094, 3.3148303031921387, 3.2206149101257324, 3.2088029384613037, 3.357749104499817, 3.3051401376724243, 3.0593607425689697, 3.156185030937195, 3.1589436531066895, 3.173837900161743, 3.1455235481262207, 3.1443538665771484, 3.2150449752807617, 3.244906187057495, 3.1598756313323975, 3.15292489528656, 3.2052085399627686, 3.093396306037903, 3.2098408937454224, 3.19331431388855, 3.1672435998916626, 3.0222480297088623, 3.0677757263183594, 2.996708869934082, 3.161953330039978, 3.0991010665893555, 3.0523711442947388, 3.0127638578414917, 2.983339548110962, 3.125881314277649, 3.064141869544983, 2.9260523319244385, 2.915321707725525, 3.034500479698181, 3.084056854248047, 2.9937669038772583, 2.9379208087921143, 3.0935274362564087, 3.032498002052307, 2.948266386985779]",0.9356241844280121,0.8101796377658447,0.7726161369193154,0.851611543827017,0.028228901317506067
17.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2292684979609657,264.3333333333333,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.304992914199829, 3.1567968130111694, 3.431136131286621, 3.4239299297332764, 3.14364755153656, 3.2516791820526123, 3.452940583229065, 3.3701601028442383, 3.2173033952713013, 3.3328949213027954, 3.2257336378097534, 3.2489376068115234, 3.3184913396835327, 3.3578314781188965, 3.1745675802230835, 3.437426805496216, 3.203071713447571, 3.189560294151306, 3.139577031135559, 3.2700982093811035, 3.229721426963806, 3.2715965509414673, 3.156154990196228, 3.1263885498046875, 2.996966242790222, 3.1073161363601685, 3.1732620000839233, 3.0947965383529663, 3.220526099205017, 3.1656877994537354, 3.2107415199279785, 3.1596964597702026, 3.1498254537582397, 3.0938950777053833, 3.0576757192611694, 3.185858726501465, 3.1497217416763306, 3.1885287761688232, 3.066771388053894, 3.0832384824752808, 3.0540369749069214, 3.073153495788574, 2.9775807857513428, 3.015382766723633, 2.994450092315674, 3.0043156147003174, 2.9764479398727417, 3.005028486251831, 3.0698509216308594, 3.00589919090271]",0.9340292880962738,0.809910550290115,0.788916055419723,0.8326579560595805,0.01964036970380481
17.0,2.0,256.0,256.0,,0.005,removal,0.0,0.23207831621847,264.3333333333333,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.277044653892517, 3.135427236557007, 3.4046331644058228, 3.400713562965393, 3.122104287147522, 3.2266417741775513, 3.430386781692505, 3.345888376235962, 3.195810556411743, 3.3095784187316895, 3.2036855220794678, 3.2290772199630737, 3.296246647834778, 3.3298624753952026, 3.151906967163086, 3.4179073572158813, 3.17929208278656, 3.168036699295044, 3.1185739040374756, 3.245714783668518, 3.2079484462738037, 3.2470016479492188, 3.128597855567932, 3.096046805381775, 2.977370858192444, 3.084593892097473, 3.1504334211349487, 3.072751045227051, 3.196991801261902, 3.1441304683685303, 3.1870089769363403, 3.1366779804229736, 3.1296685934066772, 3.0735249519348145, 3.0365915298461914, 3.163816213607788, 3.128392219543457, 3.1659616231918335, 3.0425033569335938, 3.064053535461426, 3.0308001041412354, 3.053920030593872, 2.96010959148407, 2.985276937484741, 2.970323085784912, 2.9838982820510864, 2.9568371772766113, 2.9827502965927124, 3.051524043083191, 2.9859131574630737]",0.9338842975206613,0.809034613408873,0.7864710676446617,0.8333337067357895,0.023451862166644306
16.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2340626978700979,264.3333333333333,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.2091609239578247, 3.0704253911972046, 3.331061840057373, 3.319344997406006, 3.0616917610168457, 3.1576606035232544, 3.353928565979004, 3.2607327699661255, 3.1280133724212646, 3.237924098968506, 3.1375457048416138, 3.1630996465682983, 3.2237197160720825, 3.2613919973373413, 3.0920345783233643, 3.336910605430603, 3.1157636642456055, 3.1002140045166016, 3.059349298477173, 3.1672775745391846, 3.1359604597091675, 3.171286702156067, 3.069124460220337, 3.0387802124023438, 2.919167399406433, 3.0182833671569824, 3.08014976978302, 3.0113366842269897, 3.1265528202056885, 3.073652505874634, 3.1120322942733765, 3.0628589391708374, 3.065275549888611, 3.0073492527008057, 2.964195966720581, 3.089240312576294, 3.0550659894943237, 3.0899990797042847, 2.9725942611694336, 2.989027738571167, 2.9602131843566895, 2.9827977418899536, 2.893921971321106, 2.935805916786194, 2.9030977487564087, 2.9118603467941284, 2.8862931728363037, 2.9142017364501953, 2.9806113243103027, 2.911900043487549]",0.9324343917645352,0.8088283895689797,0.8019559902200489,0.8167490135446777,0.02715591406093743
16.0,2.0,256.0,256.0,,0.005,removal,0.0,0.237853118738179,384.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.3683431148529053, 3.31837797164917, 3.2422534227371216, 3.4051676988601685, 3.1473597288131714, 3.212029814720154, 3.3115758895874023, 3.183443069458008, 3.3203468322753906, 3.3002318143844604, 3.385156750679016, 3.301517367362976, 3.2062370777130127, 3.198096513748169, 3.3469318151474, 3.287443518638611, 3.0431331396102905, 3.1423407793045044, 3.1481587886810303, 3.160609722137451, 3.1367961168289185, 3.1279983520507812, 3.2033352851867676, 3.2299418449401855, 3.1446750164031982, 3.137445569038391, 3.1964261531829834, 3.078753709793091, 3.2048959732055664, 3.177747964859009, 3.1598265171051025, 3.00864040851593, 3.0619728565216064, 2.988226890563965, 3.154797077178955, 3.0943033695220947, 3.0406023263931274, 3.005747437477112, 2.9806172847747803, 3.1192946434020996, 3.06165874004364, 2.9148523807525635, 2.908956289291382, 3.022759437561035, 3.080811023712158, 2.9904282093048096, 2.9279271364212036, 3.088548183441162, 3.0249627828598022, 2.939789295196533]",0.9336668116572423,0.8078050701827387,0.7836185819070904,0.8335328733766234,0.01888487050170251
16.0,2.0,256.0,256.0,,0.005,removal,0.0,0.236054979807864,384.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.382370710372925, 3.3322402238845825, 3.254042387008667, 3.4218814373016357, 3.1617454290390015, 3.2276053428649902, 3.327552556991577, 3.198567271232605, 3.3363571166992188, 3.3184272050857544, 3.4012256860733032, 3.3183010816574097, 3.2217912673950195, 3.2144711017608643, 3.360716223716736, 3.3007360696792603, 3.057033061981201, 3.1564431190490723, 3.1627668142318726, 3.177203893661499, 3.1490073204040527, 3.1437877416610718, 3.2185975313186646, 3.245483160018921, 3.1581668853759766, 3.151626944541931, 3.211137294769287, 3.089287757873535, 3.217706561088562, 3.189500093460083, 3.172581434249878, 3.0248358249664307, 3.077117919921875, 3.0026068687438965, 3.1707282066345215, 3.1091235876083374, 3.0542428493499756, 3.0195289850234985, 2.991133213043213, 3.1347144842147827, 3.0730273723602295, 2.9289335012435913, 2.9231549501419067, 3.034147024154663, 3.0954465866088867, 3.005103588104248, 2.941580653190613, 3.1031107902526855, 3.040428638458252, 2.954261541366577]",0.9336668116572422,0.8077037921767691,0.7836185819070904,0.8334043704756106,0.022380805854217332
15.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2287527793565247,384.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.3760517835617065, 3.3260645866394043, 3.2472318410873413, 3.404523253440857, 3.16229784488678, 3.224862813949585, 3.319366216659546, 3.1931744813919067, 3.3307167291641235, 3.316389560699463, 3.3887287378311157, 3.30937397480011, 3.2119860649108887, 3.201867699623108, 3.3496456146240234, 3.2995814085006714, 3.051259994506836, 3.14747154712677, 3.152768850326538, 3.168030619621277, 3.136941909790039, 3.1394455432891846, 3.208393096923828, 3.237739324569702, 3.1523032188415527, 3.1467725038528442, 3.199249029159546, 3.0856211185455322, 3.2024998664855957, 3.1819783449172974, 3.159795045852661, 3.0140793323516846, 3.0634106397628784, 2.988327741622925, 3.1571879386901855, 3.0920491218566895, 3.048365831375122, 3.007477283477783, 2.9807863235473633, 3.1186918020248413, 3.061884045600891, 2.919477105140686, 2.906448245048523, 3.028277039527893, 3.0768094062805176, 2.9888675212860107, 2.9301390647888184, 3.0858625173568726, 3.024930000305176, 2.944646716117859]",0.9347542409743368,0.8076923076923077,0.7701711491442543,0.8490566037735849,0.036261886214694776
17.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2275222927073545,366.6,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.313493490219116, 3.163835287094116, 3.4416083097457886, 3.4301161766052246, 3.1540476083755493, 3.2598613500595093, 3.4624499082565308, 3.3731191158294678, 3.226736068725586, 3.3423643112182617, 3.2293466329574585, 3.259231925010681, 3.3272427320480347, 3.3689762353897095, 3.1816136837005615, 3.44678795337677, 3.2103302478790283, 3.1982427835464478, 3.148184299468994, 3.276378035545349, 3.2372065782546997, 3.276383399963379, 3.1657263040542603, 3.137125253677368, 3.005223274230957, 3.113785982131958, 3.181358575820923, 3.0992943048477173, 3.228076934814453, 3.177132487297058, 3.2189531326293945, 3.1706281900405884, 3.15855610370636, 3.10163950920105, 3.066167116165161, 3.1964093446731567, 3.1556522846221924, 3.193867325782776, 3.072695016860962, 3.089000940322876, 3.05770480632782, 3.079129219055176, 2.9831074476242065, 3.0198217630386353, 3.0036230087280273, 3.0131436586380005, 2.9853174686431885, 3.012496590614319, 3.0778110027313232, 3.013741970062256]",0.9340582862113962,0.807578373671997,0.7775061124694377,0.8408665725116073,0.011509662725715485
17.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2503730681564781,388.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.1531388759613037, 3.021872878074646, 3.285729765892029, 3.2721548080444336, 3.0085718631744385, 3.109489321708679, 3.305750846862793, 3.2161742448806763, 3.0829739570617676, 3.1878424882888794, 3.0848236083984375, 3.1118783950805664, 3.1794402599334717, 3.209779143333435, 3.035314917564392, 3.287004590034485, 3.0613988637924194, 3.0538384914398193, 3.0074539184570312, 3.122926115989685, 3.0916649103164673, 3.1261491775512695, 3.019532084465027, 2.9874788522720337, 2.8693822622299194, 2.9715418815612793, 3.031559467315674, 2.95973002910614, 3.0801303386688232, 3.032304048538208, 3.0700948238372803, 3.0244675874710083, 3.0128304958343506, 2.962576985359192, 2.921271800994873, 3.0511521100997925, 3.009015202522278, 3.043856978416443, 2.9288946390151978, 2.9477901458740234, 2.916132926940918, 2.940492272377014, 2.845892906188965, 2.8816020488739014, 2.861343502998352, 2.875875234603882, 2.8501869440078735, 2.8747758865356445, 2.937354564666748, 2.8739261627197266]",0.9313832100913441,0.8073150151739312,0.8074572127139364,0.8074911158709929,0.019822646648483336
