dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1
citeseer,SCAR,naive,MLP,0.4,0.046304221823852305,0.006369748365797732
citeseer,SCAR,naive,GATConv,0.4,0.20795660560704288,0.03308821941683781
citeseer,SCAR,naive,GCNConv,0.4,0.12488986917977603,0.09190064746073236
citeseer,SCAR,naive,MLP,0.3,0.006764073725929957,0.0019085045903494164
citeseer,SCAR,naive,GATConv,0.3,0.07332079767706615,0.01642672849039031
citeseer,SCAR,naive,GCNConv,0.3,0.002704530087897228,0.0038247831301503584
citeseer,SCAR,naive,MLP,0.2,0.0023724792408066427,0.0016775961593986893
citeseer,SCAR,naive,GATConv,0.2,0.02552552956700549,0.014132284533626293
citeseer,SCAR,naive,GCNConv,0.2,0.0,0.0
citeseer,SCAR,NNIF,MLP,0.4,0.22598506587151113,0.018264120650436717
citeseer,SCAR,NNIF,MLP,0.3,0.19086381994085455,0.043462151505521976
citeseer,SCAR,NNIF,MLP,0.2,0.10353729633618847,0.029751978496163654
citeseer,SCAR,two_nnif,MLP,0.4,0.18729819098846057,0.04137795618164838
citeseer,SCAR,two_nnif,GATConv,0.4,0.37266481082581665,0.016798279690584016
citeseer,SCAR,two_nnif,GCNConv,0.4,0.3741728041463879,0.07104562170232628
citeseer,SCAR,two_nnif,MLP,0.3,0.1220963684193157,0.008778589831421402
citeseer,SCAR,two_nnif,GATConv,0.3,0.2857073637798396,0.04480750125021369
citeseer,SCAR,two_nnif,GCNConv,0.3,0.16805351201085836,0.11969968633961141
citeseer,SCAR,two_nnif,MLP,0.2,0.024458380117972616,0.017663308519688913
citeseer,SCAR,two_nnif,GATConv,0.2,0.1197284214396792,0.05783688386618329
citeseer,SCAR,two_nnif,GCNConv,0.2,0.004711425206124852,0.006662961424608222
citeseer,SCAR,spy,MLP,0.4,0.5146694218288793,0.011962837535075389
citeseer,SCAR,spy,GATConv,0.4,0.5873738045974517,0.01886440604107355
citeseer,SCAR,spy,GCNConv,0.4,0.5857331438494658,0.027468143349606143
citeseer,SCAR,spy,MLP,0.3,0.5151798983427622,0.018667115204411295
citeseer,SCAR,spy,GATConv,0.3,0.5958078358870739,0.0037434361355043145
citeseer,SCAR,spy,GCNConv,0.3,0.6015016517922628,0.01671694022470855
citeseer,SCAR,spy,MLP,0.2,0.4593785026979971,0.019517456720249425
citeseer,SCAR,spy,GATConv,0.2,0.5053397031634334,0.008333783638639155
citeseer,SCAR,spy,GCNConv,0.2,0.5120074119554087,0.03427268593600909
citeseer,SCAR,nnpu,MLP,0.4,0.6781040564248437,0.0048237978975796715
citeseer,SCAR,nnpu,GATConv,0.4,0.7159851216874804,0.013549974557700612
citeseer,SCAR,nnpu,GCNConv,0.4,0.7337464468053705,0.015305611653475376
citeseer,SCAR,nnpu,MLP,0.3,0.652877864325374,0.010384024345263159
citeseer,SCAR,nnpu,GATConv,0.3,0.731044845889012,0.01444028215370951
citeseer,SCAR,nnpu,GCNConv,0.3,0.7392544862633628,0.012683312993190018
citeseer,SCAR,nnpu,MLP,0.2,0.6016839188469275,0.01714429187413678
citeseer,SCAR,nnpu,GATConv,0.2,0.6940915551518808,0.03693930643190933
citeseer,SCAR,nnpu,GCNConv,0.2,0.7223296890293301,0.02334489002223201
citeseer,SCAR,imbnnpu,MLP,0.4,0.39934497458646706,0.014007422358141041
citeseer,SCAR,imbnnpu,GATConv,0.4,0.6527682198698743,0.01473682304795273
citeseer,SCAR,imbnnpu,GCNConv,0.4,0.6882579919018726,0.017775192042885968
citeseer,SCAR,imbnnpu,MLP,0.3,0.26132937310421617,0.023998707586440442
citeseer,SCAR,imbnnpu,GATConv,0.3,0.5872784678142738,0.0017812906467734111
citeseer,SCAR,imbnnpu,GCNConv,0.3,0.6670566634173746,0.013709419999986656
