dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1
citeseer,SCAR,NNIF,MLP,0.4,0.4051306010472291,0.03241380636193946
citeseer,SCAR,NNIF,MLP,0.3,0.36515818129144645,0.03635257499703016
citeseer,SCAR,NNIF,MLP,0.2,0.2156071543009351,0.06115038561355447
citeseer,SCAR,two_nnif,MLP,0.4,0.40765432827232573,0.012853870666193533
citeseer,SCAR,two_nnif,GATConv,0.4,0.5041789900846453,0.013200159671438658
citeseer,SCAR,two_nnif,GCNConv,0.4,0.5175234738791418,0.04144306399085796
citeseer,SCAR,two_nnif,MLP,0.3,0.22340518484586283,0.06861540743930475
citeseer,SCAR,two_nnif,GATConv,0.3,0.419080946621521,0.04977700266981144
citeseer,SCAR,two_nnif,GCNConv,0.3,0.39090669174372744,0.09753524982506671
citeseer,SCAR,two_nnif,MLP,0.2,0.05286585806516483,0.020691248354297836
citeseer,SCAR,two_nnif,GATConv,0.2,0.18243163939064808,0.11656953128061999
citeseer,SCAR,two_nnif,GCNConv,0.2,0.06031233171782444,0.08529451749369232
citeseer,SCAR,ours,GATConv,0.4,0.7436256567273007,0.014727882852079472
citeseer,SCAR,ours,GATConv,0.3,0.731721939121886,0.000850129033924252
citeseer,SCAR,ours,GATConv,0.2,0.6450181870508606,0.03944987408359586
citeseer,SAR,NNIF,MLP,0.4,0.3704359764876271,0.057664749086762015
citeseer,SAR,NNIF,MLP,0.3,0.28997160576533354,0.026895135211774463
citeseer,SAR,NNIF,MLP,0.2,0.15963718820861678,0.06302564144176823
citeseer,SAR,two_nnif,MLP,0.4,0.3769485320188544,0.0897029407876819
citeseer,SAR,two_nnif,GATConv,0.4,0.48083466712921447,0.044155903394680326
citeseer,SAR,two_nnif,GCNConv,0.4,0.5090452350773685,0.020948526004135656
citeseer,SAR,two_nnif,MLP,0.3,0.1945362178230586,0.07214187478348194
citeseer,SAR,two_nnif,GATConv,0.3,0.34387192479275713,0.02308713765402219
citeseer,SAR,two_nnif,GCNConv,0.3,0.37666487052165937,0.038302154413982374
citeseer,SAR,two_nnif,MLP,0.2,0.040250456105661664,0.028743063164216487
citeseer,SAR,two_nnif,GATConv,0.2,0.16259150430381086,0.048112996992511745
citeseer,SAR,two_nnif,GCNConv,0.2,0.0,0.0
citeseer,SAR,ours,GATConv,0.4,0.7252710639494341,0.0035707226537231946
citeseer,SAR,ours,GATConv,0.3,0.7116672275520314,0.006848759842469823
citeseer,SAR,ours,GATConv,0.2,0.6642765180199873,0.04250364490984272
cora,SCAR,NNIF,MLP,0.4,0.4159155954479811,0.08312378906427632
cora,SCAR,NNIF,MLP,0.3,0.30461594643176076,0.04296940119714768
cora,SCAR,NNIF,MLP,0.2,0.21407789604906755,0.059452734555427454
cora,SCAR,two_nnif,MLP,0.4,0.3644456692262798,0.061149217992261334
cora,SCAR,two_nnif,GATConv,0.4,0.5605781805041815,0.05763084444533307
cora,SCAR,two_nnif,GCNConv,0.4,0.5880241390853148,0.020217139465412662
cora,SCAR,two_nnif,MLP,0.3,0.2474508980578217,0.03160687134951321
cora,SCAR,two_nnif,GATConv,0.3,0.3032378339060246,0.11917658210086683
cora,SCAR,two_nnif,GCNConv,0.3,0.11247880818120858,0.1349391025297332
cora,SCAR,two_nnif,MLP,0.2,0.06641351590476437,0.04818918545033444
cora,SCAR,two_nnif,GATConv,0.2,0.09151472047519023,0.05069443752712187
cora,SCAR,two_nnif,GCNConv,0.2,0.006075980647677296,0.00655328164598173
cora,SCAR,ours,GCNConv,0.4,0.7909859980656909,0.006978385722093062
cora,SCAR,ours,GCNConv,0.3,0.7648183898183899,0.012550579466310798
cora,SCAR,ours,GCNConv,0.2,0.6675444668738866,0.03463396658541546
cora,SAR,NNIF,MLP,0.4,0.3921870019588973,0.0574209930024753
cora,SAR,NNIF,MLP,0.3,0.3249385100257759,0.10431411078319151
