K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,f1_std,reliable_mini_batch,test_accuracy,test_f1,test_recall,test_precision
4.0,1.0,128.0,128.0,,0.0033245734871396,removal,0.0455331481578691,0.0189607700076492,654.0,mean,GCNConv,20.0,6.0,500.0,cluster,100.0,nearest_neighbors,0.9550725882656128,0.7249539836970813,0.6066006600660065,0.9006860503103561,"[32.81826087832451, 30.25543323159218, 27.446922034025192, 25.549724906682968, 24.642349183559418, 23.37973666191101, 21.023497253656387, 20.468739449977875, 18.2478556483984, 16.618105500936508, 16.19350776076317, 15.283922970294952, 14.331679075956345, 13.415960043668747, 12.83730012178421, 11.941691249608994, 11.466433733701706, 10.947287678718567, 10.155598044395447, 9.466274842619896, 8.821478560566902, 8.709602624177933, 8.169223546981812, 7.723382234573364, 7.245179072022438, 6.955803647637367, 6.535489276051521, 6.101803198456764, 6.153057053685188, 5.652589447796345, 5.520369753241539, 5.250504106283188, 5.013029456138611, 4.756462678313255, 4.600490838289261, 4.379390500485897, 4.4000178426504135, 4.130356974899769, 3.8248907327651978, 3.769837073981762, 3.6222572661936283, 3.4617837257683277, 3.3196721002459526, 3.31109981238842, 3.234345071017742, 3.049336016178131, 2.9761060178279877, 2.8105923011898994, 2.7661148235201836, 2.6305769234895706, 2.6204041726887226, 2.49850232899189, 2.3960542529821396, 2.3556643314659595, 2.2530262544751167, 2.192068075761199, 2.142777420580387, 2.0917544662952423, 2.0249985344707966, 2.038676179945469, 1.9321921654045582, 1.8460689447820187, 1.774229932576418, 1.752685621380806, 1.68039271235466, 1.6901587098836899, 1.598075196146965, 1.5549834035336971, 1.5290679670870304, 1.5166260190308094, 1.4747316967695951, 1.4399858247488737, 1.4164205193519592, 1.387426920235157, 1.347046609967947, 1.3156751561909914, 1.281170403584838, 1.2505847327411175, 1.22381229698658, 1.1919658333063126, 1.1900398507714272, 1.133574714884162, 1.110675984993577, 1.0984135568141937, 1.0642226040363312, 1.0481071062386036, 1.0048399697989225, 0.9827718995511532, 0.9897344689816236, 0.94791872613132, 0.9258918277919292, 0.9032680597156286, 0.8869040636345744, 0.8591893948614597, 0.864028325304389, 0.8541218489408493, 0.8061166554689407, 0.8089655693620443, 0.8070214278995991, 0.7839809097349644]",,,,,,
4.0,1.0,128.0,128.0,,0.0024463327373149,removal,0.0274849920297848,0.016857169881523,654.0,mean,GCNConv,20.0,6.0,500.0,cluster,100.0,nearest_neighbors,0.9552443948114424,0.7247027741083223,0.6035203520352035,0.9067768595041322,"[31.85285574197769, 30.757211923599243, 28.336091846227646, 26.687131643295288, 25.533823609352112, 24.140483289957047, 23.11360490322113, 22.719587445259094, 20.62502507865429, 19.125701546669006, 19.597938537597656, 17.821612492203712, 17.599275648593903, 16.920603811740875, 15.472708761692047, 14.842945605516434, 14.606496781110764, 14.234761148691177, 13.292138367891312, 12.540537506341934, 11.820599921047688, 11.835404634475708, 11.236810773611069, 10.714445427060127, 10.153643935918808, 9.858232781291008, 9.309442684054375, 8.76748563349247, 8.933611199259758, 8.255285531282425, 8.122169867157936, 7.760763615369797, 7.466224163770676, 7.1100504621863365, 6.917400553822517, 6.619522392749786, 6.690160557627678, 6.30688713490963, 5.857981160283089, 5.793607458472252, 5.590004574507475, 5.359231032431126, 5.1573337242007256, 5.158332198858261, 5.047702804207802, 4.777099847793579, 4.674325503408909, 4.424300618469715, 4.366344533860683, 4.163268703967333, 4.155568636953831, 3.969927877187729, 3.818490609526634, 3.7611222341656685, 3.6004592031240463, 3.5099584870040417, 3.4351902455091476, 3.3615150824189186, 3.2611642256379128, 3.2886695712804794, 3.1196705996990204, 2.984256025403738, 2.872943740338087, 2.841558638960123, 2.7288653925061226, 2.748036816716194, 2.6012274138629436, 2.533023379743099, 2.4930335246026516, 2.477202422916889, 2.411020953208208, 2.3564245104789734, 2.321363840252161, 2.275697998702526, 2.2121014818549156, 2.1620410680770874, 2.1070915311574936, 2.0586280450224876, 2.0153918415308, 1.9652023762464523, 1.9645202718675137, 1.871995959430933, 1.8360620215535164, 1.8168068192899227, 1.7619513981044292, 1.7364695854485035, 1.665579505264759, 1.630526814609766, 1.6432021148502827, 1.5747077018022537, 1.5390600990504026, 1.50246462225914, 1.4758423250168562, 1.4311931990087032, 1.4400834310799837, 1.4246237240731716, 1.3452427219599485, 1.350376807153225, 1.3482049629092216, 1.3103205971419811]",,,,,,
5.0,1.0,128.0,128.0,,0.0031410793280128,removal,0.0287301275226414,0.0204419905424926,654.0,mean,GCNConv,20.0,6.0,500.0,cluster,100.0,nearest_neighbors,0.9546215960828108,0.724475159733994,0.6112211221122112,0.8892445582586428,"[38.34771782159805, 34.266251385211945, 31.130743443965912, 28.14296406507492, 26.994775712490082, 25.944096565246582, 23.380332827568054, 22.700244575738907, 20.990992307662964, 19.640632450580597, 18.966015458106995, 17.581040799617767, 17.013789802789688, 16.25182205438614, 15.084243088960648, 14.377788573503494, 14.067676901817322, 13.514090687036514, 12.570393085479736, 11.719094708561897, 10.970979899168015, 10.8627108335495, 10.202122032642365, 9.63428483903408, 9.044225990772247, 8.696034833788872, 8.16139069199562, 7.621116973459721, 7.691565230488777, 7.060060933232307, 6.8896660804748535, 6.5447933077812195, 6.253102585673332, 5.922092333436012, 5.7261867225170135, 5.446976482868195, 5.472285330295563, 5.134121753275394, 4.749528765678406, 4.675529271364212, 4.489403124898672, 4.287942655384541, 4.109516456723213, 4.0951249822974205, 3.9951154068112373, 3.7657021209597588, 3.6738243848085403, 3.4670206755399704, 3.410169593989849, 3.2422034293413162, 3.226974532008171, 3.0752619206905365, 2.9492459446191788, 2.8972966000437737, 2.769182510674, 2.6932851299643517, 2.63035224378109, 2.5679272413253784, 2.4851368702948093, 2.500519707798958, 2.368895463645458, 2.2622236534953117, 2.173732027411461, 2.146685693413019, 2.0578414127230644, 2.068812258541584, 1.9554799795150757, 1.9020059946924448, 1.8693920373916626, 1.853990100324154, 1.8023327142000198, 1.7591918539255857, 1.7301066555082798, 1.6939689479768276, 1.6445501893758774, 1.6056921519339085, 1.5630797818303108, 1.5255684833973646, 1.4922234304249287, 1.4533319808542728, 1.4507060274481773, 1.3815001603215933, 1.3535787649452686, 1.3380698934197426, 1.2964144311845303, 1.2764138840138912, 1.2235627304762602, 1.1965880393981934, 1.2047497890889645, 1.1537234615534544, 1.1266961172223091, 1.0991242313757539, 1.0788686154410243, 1.0451789051294327, 1.0508117973804474, 1.038651404902339, 0.9802874121814966, 0.983432449400425, 0.9809425119310617, 0.9527943599969149]",,,,,,
4.0,1.0,128.0,128.0,,0.0028710510073451,removal,0.0468020596346223,0.018195301036302,654.0,mean,GCNConv,20.0,8.0,500.0,cluster,100.0,nearest_neighbors,0.9554162013572716,0.7243759957514604,0.6002200220022003,0.913290927351858,"[32.01149332523346, 29.426467388868332, 27.063889741897583, 26.02491521835327, 24.380833506584167, 23.741614162921906, 21.515416234731674, 21.6466706097126, 19.781729325652122, 17.772455632686615, 17.741045713424683, 16.568485632538795, 15.957079142332077, 15.039457857608795, 14.137488454580307, 13.397376269102097, 13.0220967233181, 12.488261669874191, 11.661042273044586, 11.016295686364174, 10.24557375907898, 10.180161863565445, 9.597519770264626, 9.10430508852005, 8.579256907105446, 8.281610921025276, 7.795924261212349, 7.308177657425404, 7.402243733406067, 6.818971551954746, 6.681332319974899, 6.369017511606216, 6.098536714911461, 5.797027193009853, 5.6222283244133, 5.363987922668457, 5.401477128267288, 5.080018423497677, 4.710398502647877, 4.650161296129227, 4.474969927221537, 4.282895885407925, 4.113120384514332, 4.10732127726078, 4.015096463263035, 3.790476255118847, 3.704154185950756, 3.501314230263233, 3.4507333263754845, 3.284577500075102, 3.2753665670752525, 3.1249100640416145, 3.0004509314894676, 2.952037811279297, 2.8246220126748085, 2.7505008168518543, 2.689540345221758, 2.628503195941448, 2.546499866992235, 2.566100411117077, 2.432673867791891, 2.325555693358183, 2.2364416532218456, 2.210206288844347, 2.120656568557024, 2.134185180068016, 2.01873891800642, 1.9648850224912167, 1.9328393079340458, 1.9185795485973358, 1.8663116805255413, 1.8228859510272741, 1.7940876334905624, 1.7579492628574371, 1.7080008760094643, 1.6683405302464962, 1.6251335889101028, 1.5871189925819635, 1.5533469952642918, 1.513628862798214, 1.5120493099093437, 1.440331032499671, 1.4118486680090427, 1.3966019935905933, 1.3538248278200626, 1.3335465285927057, 1.2788658887147903, 1.2510669715702534, 1.2603963688015938, 1.2074506282806396, 1.1796232648193836, 1.1512043923139572, 1.1305035073310137, 1.0955346655100584, 1.1020043715834618, 1.0897870026528835, 1.028671219944954, 1.0324410125613213, 1.0303542409092188, 1.0010930802673101]",,,,,,
4.0,1.0,128.0,128.0,,0.002796354531446,removal,0.0217955696519505,0.0162170795651767,654.0,mean,GCNConv,20.0,8.0,500.0,cluster,100.0,nearest_neighbors,0.9552229189932137,0.7238776321017084,0.6013201320132013,0.909181636726547,"[32.85923534631729, 30.086311429739, 27.46901375055313, 26.122822135686874, 24.67225021123886, 24.041259437799454, 21.915910184383392, 22.267559111118317, 19.929634019732475, 18.019760936498642, 17.969059228897095, 17.240139991044998, 16.10455071926117, 15.195428267121315, 14.741787701845169, 13.566655844449997, 13.287196576595306, 12.758758217096329, 11.9195287078619, 11.196183532476425, 10.476985327899456, 10.44800215959549, 9.854438185691833, 9.354843750596046, 8.823946058750153, 8.52279308438301, 8.031799882650375, 7.536697790026665, 7.638552621006966, 7.039625599980354, 6.90118795633316, 6.5816317945718765, 6.307720959186554, 5.996061138808727, 5.817145109176636, 5.553877010941505, 5.596288815140724, 5.266832523047924, 4.8823820650577545, 4.821460515260696, 4.640691004693508, 4.443980291485786, 4.26871832460165, 4.263121820986271, 4.16936981678009, 3.936398833990097, 3.848442494869232, 3.639409989118576, 3.585077181458473, 3.4136810190975666, 3.404554583132267, 3.249155379831791, 3.120335064828396, 3.0701816603541374, 2.938054285943508, 2.862103682011366, 2.79872402921319, 2.73569817841053, 2.6509275659918785, 2.6718468070030212, 2.5328695960342884, 2.4213817045092583, 2.3289736211299896, 2.3019754104316235, 2.208862140774727, 2.223362263292074, 2.103212557733059, 2.047451689839363, 2.0139153376221657, 1.9995231702923775, 1.9451374858617783, 1.9001761060208082, 1.8706228360533714, 1.8329621516168118, 1.7807207852602005, 1.739657973870635, 1.6945886239409447, 1.6550207398831844, 1.6199434325098991, 1.5788425393402576, 1.5773329213261604, 1.502484416589141, 1.4731134660542011, 1.4572094529867172, 1.4125299230217934, 1.391472289338708, 1.3343012146651745, 1.305710470303893, 1.315428663045168, 1.2601506412029266, 1.2311547957360744, 1.2016043197363615, 1.1799965538084507, 1.143663339316845, 1.1504902001470327, 1.1377963721752167, 1.0739769330248237, 1.0780317056924105, 1.0758940614759922, 1.0453982502222061]",,,,,,
4.0,1.0,128.0,128.0,,0.0046499127101063,removal,0.0237306717342085,0.018489332828102,654.0,mean,GCNConv,20.0,10.0,500.0,cluster,100.0,nearest_neighbors,0.9550725882656128,0.7234267583289264,0.601980198019802,0.906260351109639,"[33.04756325483322, 29.437436312437057, 26.570568919181824, 23.47988051176071, 22.07966560125351, 20.06632360816002, 17.846840023994446, 17.03675401210785, 14.810316875576973, 13.329326152801514, 12.551894813776016, 11.411548748612404, 10.7181835770607, 9.892207831144333, 8.973447889089584, 8.38696314394474, 7.990438684821129, 7.537210643291473, 6.90611957013607, 6.3784089386463165, 5.873876802623272, 5.729669511318207, 5.323403015732765, 4.9988080114126205, 4.648928441107273, 4.424522489309311, 4.135995365679264, 3.838441763073206, 3.8438125774264336, 3.5150054916739464, 3.4172354266047478, 3.2365107387304306, 3.0743673890829086, 2.910483293235302, 2.80466553196311, 2.659619312733412, 2.6620743721723557, 2.4925336688756943, 2.303293015807867, 2.265841342508793, 2.17126177623868, 2.0708790719509125, 1.981194857507944, 1.9731489568948746, 1.9254046119749546, 1.8105473071336746, 1.764735959470272, 1.6641831770539284, 1.6350815333425999, 1.5522418431937695, 1.5446764007210732, 1.4707677103579044, 1.4081111513078213, 1.3831123616546392, 1.3217608481645584, 1.284584417939186, 1.254693180322647, 1.2232253700494766, 1.1828080769628286, 1.1899349428713322, 1.1268150303512812, 1.0755527522414923, 1.0329760182648897, 1.0197565834969282, 0.9766139127314091, 0.9816388636827469, 0.9275123439729214, 0.9021208053454757, 0.8866691552102566, 0.878676101565361, 0.8538877665996552, 0.8332132296636701, 0.8188651669770479, 0.8018499556928873, 0.7778310310095549, 0.7595986919477582, 0.7392202727496624, 0.7212026109918952, 0.7056441307067871, 0.686809690669179, 0.6853347048163414, 0.6525599369779229, 0.6389802321791649, 0.6316748363897204, 0.6117308968678117, 0.6022571222856641, 0.5771953044459224, 0.5641593364998698, 0.5680024242028594, 0.5438063647598028, 0.5309380711987615, 0.5178313311189413, 0.5083223823457956, 0.4922145865857601, 0.4947757236659527, 0.4889681385830045, 0.4612592966295779, 0.4628367153927684, 0.461557911708951, 0.4482695246115327]",,,,,,
4.0,1.0,128.0,128.0,,0.0032913667920326,removal,0.0406780150231174,0.0220277476147116,654.0,mean,GCNConv,20.0,5.0,500.0,cluster,100.0,nearest_neighbors,0.955394725539043,0.7228819212808539,0.596039603960396,0.9183050847457628,"[32.15746799111366, 30.675028771162033, 27.661957174539566, 24.876341104507446, 24.059711515903473, 22.76065769791603, 20.833125948905945, 20.11831843852997, 18.46823614835739, 16.64401486515999, 16.454048693180084, 15.602904990315437, 14.510604739189148, 14.033064395189285, 13.074332296848297, 12.021194159984589, 11.682601511478424, 11.146806359291077, 10.306672424077988, 9.63683570921421, 8.945319809019566, 8.849009543657303, 8.289128705859184, 7.846962556242943, 7.3465961664915085, 7.071383133530617, 6.636928953230381, 6.211046561598778, 6.259455755352974, 5.744413584470749, 5.611288979649544, 5.33846278488636, 5.095617741346359, 4.8372829258441925, 4.677286647260189, 4.452385701239109, 4.475315049290657, 4.201635651290417, 3.8926414102315903, 3.8370145931839943, 3.686034668236971, 3.5238416828215122, 3.379382647573948, 3.3691034987568855, 3.2911601588129997, 3.1032068580389023, 3.03009095788002, 2.8611946627497673, 2.81686107814312, 2.6783268339931965, 2.668669529259205, 2.5437356904149055, 2.439496360719204, 2.3985189720988274, 2.2945340797305107, 2.2325331699103117, 2.182381074875593, 2.1302071288228035, 2.0621970258653164, 2.07608050853014, 1.9677993953227997, 1.8799832351505756, 1.8072740081697702, 1.785202207043767, 1.7118564322590828, 1.721490491181612, 1.6280065663158894, 1.584125286899507, 1.557672020047903, 1.544986654073, 1.5025137290358543, 1.467028671875596, 1.4430467579513788, 1.4134054072201252, 1.3723152969032526, 1.340465733781457, 1.3053120374679565, 1.2742543704807758, 1.2469637989997864, 1.2145712990313768, 1.212592113763094, 1.1551159340888262, 1.13185391202569, 1.1192204281687737, 1.0844781454652548, 1.0680280979722738, 1.0240639261901379, 1.0015086326748133, 1.0087125729769468, 0.9660259112715721, 0.9436280224472284, 0.9205964067950845, 0.9038971532136202, 0.8757036719471216, 0.8805661061778665, 0.8705386687070131, 0.8216517427936196, 0.8245124537497759, 0.8224809430539608, 0.79910459369421]",,,,,,
4.0,1.0,128.0,128.0,,0.0029297186788707,removal,0.0274849152676346,0.0161847559985544,654.0,mean,GCNConv,20.0,8.0,500.0,cluster,100.0,nearest_neighbors,0.9549866849926982,0.722457627118644,0.6002200220022003,0.9072164948453608,"[31.276518911123276, 30.33897140622139, 27.869074672460556, 26.30372804403305, 24.5555779337883, 23.658729255199432, 21.883376210927963, 21.6332326233387, 19.291808381676674, 17.694121718406677, 17.421005815267563, 16.489460051059723, 15.698193550109863, 14.745518490672112, 13.72393986582756, 13.057700335979462, 12.787358582019806, 12.277065873146057, 11.466262593865395, 10.761865332722664, 10.024559400975704, 9.955545455217361, 9.381286904215813, 8.896040990948677, 8.378763273358345, 8.075959622859955, 7.603842049837112, 7.120675273239613, 7.212892919778824, 6.6388217359781265, 6.503240704536438, 6.194488972425461, 5.931234672665596, 5.635102175176144, 5.461352683603764, 5.2089613527059555, 5.244748443365097, 4.9307617247104645, 4.571205772459507, 4.512939617037773, 4.340284936130047, 4.153088919818401, 3.988516256213188, 3.9815631210803986, 3.891713112592697, 3.6742109283804893, 3.5889918729662895, 3.3922334983944893, 3.341896153986454, 3.1805725060403347, 3.1707249581813812, 3.0252643451094627, 2.904311329126358, 2.8574343472719193, 2.7336884066462517, 2.6614135801792145, 2.6027949787676334, 2.5429628118872643, 2.463744129985571, 2.4818373173475266, 2.3528278432786465, 2.249323144555092, 2.162768755108118, 2.1373708471655846, 2.050146259367466, 2.0630804523825645, 1.9514876492321491, 1.8992403857409954, 1.8681579865515232, 1.8544762954115868, 1.8035958893597126, 1.761897126212716, 1.733885295689106, 1.698732253164053, 1.6498552188277245, 1.612091951072216, 1.5700257830321789, 1.5331861972808838, 1.5006112642586231, 1.4620624706149101, 1.4605000168085098, 1.3913748767226934, 1.3636181950569153, 1.3487217091023922, 1.3072895221412182, 1.2877827230840921, 1.234758673235774, 1.207985758781433, 1.2169726490974426, 1.1657110136002302, 1.1388318352401257, 1.1112658586353064, 1.0914153261110187, 1.0575782526284456, 1.0637110136449337, 1.0519003048539162, 0.9928072728216648, 0.9966009967029095, 0.9944605119526386, 0.9661728926002979]",,,,,,
4.0,1.0,128.0,128.0,,0.0022505718583126,removal,0.0661475834294096,0.0176929149321753,654.0,mean,GCNConv,20.0,8.0,500.0,cluster,100.0,nearest_neighbors,0.9550511124473844,0.7222295952222959,0.5986798679867987,0.9100334448160536,"[31.71928170323372, 31.520420372486115, 28.196869045495987, 27.55363991856575, 26.158342480659485, 25.004458874464035, 23.53274917602539, 23.459930658340454, 21.64605475962162, 19.962283223867416, 20.03417393565178, 18.596893921494484, 18.324306041002274, 17.480169504880905, 16.014413356781006, 15.460653334856033, 15.38871106505394, 14.989136457443237, 14.086913585662842, 13.317301660776138, 12.634617663919926, 12.699397802352905, 12.096969187259674, 11.556111454963684, 10.988764703273773, 10.703218132257462, 10.136350154876709, 9.574761554598808, 9.78194573521614, 9.058090329170227, 8.931079089641571, 8.547716483473778, 8.247072711586952, 7.860308855772018, 7.663480371236801, 7.34635902941227, 7.438655257225037, 7.025124326348305, 6.53299081325531, 6.466943934559822, 6.247818950563669, 5.998115263879299, 5.7798076793551445, 5.7862154096364975, 5.664821952581406, 5.369053348898888, 5.258122131228447, 4.982325315475464, 4.921386457979679, 4.696853771805763, 4.690654069185257, 4.485536061227322, 4.31903987377882, 4.2565522491931915, 4.076893888413906, 3.97712978720665, 3.8940922617912292, 3.814012162387371, 3.702496662735939, 3.735485576093197, 3.545793890953064, 3.394478313624859, 3.268514785915613, 3.233993697911501, 3.108297809958458, 3.13176616281271, 2.9655719473958015, 2.8886744808405638, 2.8440212048590183, 2.827486142516136, 2.7532190643250942, 2.6917782835662365, 2.652835961431265, 2.6016464978456497, 2.5304496958851814, 2.4735498763620853, 2.4121507108211517, 2.3568805530667305, 2.307612832635641, 2.2512271255254745, 2.251368634402752, 2.145373120903969, 2.1053624898195267, 2.084067191928625, 2.02156950160861, 1.9928475618362427, 1.911846149712801, 1.8723311088979244, 1.8873237185180187, 1.8091618493199348, 1.7686064317822456, 1.7270746137946844, 1.6966577339917421, 1.6456931643188, 1.656342301517725, 1.6391211338341236, 1.548217985779047, 1.5542112737894058, 1.5521736219525337, 1.5088612772524357]",,,,,,
4.0,1.0,128.0,128.0,,0.003043952229295,removal,0.022569460408672,0.018199826140379,654.0,mean,GCNConv,20.0,6.0,500.0,cluster,100.0,nearest_neighbors,0.9549007817197837,0.7222222222222222,0.6006600660066007,0.9054726368159204,"[32.69638878107071, 30.14375925064087, 27.718073964118958, 25.962084144353867, 25.0488840341568, 24.076772958040237, 21.804024934768677, 21.46025860309601, 19.163361340761185, 17.23427739739418, 17.226742655038834, 15.982571631669998, 15.172347843647003, 14.34541042149067, 13.626090705394745, 12.715052545070648, 12.372941642999649, 11.858423054218292, 11.060113802552223, 10.33697721362114, 9.667150616645813, 9.583299934864044, 9.021955102682114, 8.543864101171494, 8.041017651557922, 7.7419411689043045, 7.284063994884491, 6.816749840974808, 6.894544154405594, 6.34144701063633, 6.204970866441727, 5.90834279358387, 5.65201173722744, 5.367852061986923, 5.199500158429146, 4.954811699688435, 4.986248098313808, 4.686610534787178, 4.342133715748787, 4.283369034528732, 4.119735363870859, 3.9399945586919785, 3.7812776044011116, 3.7750703170895576, 3.6882839128375053, 3.480912946164608, 3.3993087336421013, 3.211867541074753, 3.163602687418461, 3.0098852142691612, 2.9996477030217648, 2.861544691026211, 2.746049463748932, 2.701015155762434, 2.5837792679667473, 2.5151873882859945, 2.4588962495326996, 2.402074806392193, 2.3263330794870853, 2.3430316373705864, 2.22131035476923, 2.1226981952786446, 2.040969332680106, 2.016999777406454, 1.9343556351959705, 1.9461083002388477, 1.840517994016409, 1.7913712225854397, 1.7617244608700275, 1.7483476214110851, 1.7003044076263905, 1.6606275718659163, 1.634028684347868, 1.6008214503526688, 1.554478868842125, 1.5185990072786808, 1.4791257679462433, 1.4440537597984076, 1.4133468195796013, 1.3768696561455727, 1.375225942581892, 1.309844570234418, 1.2838241718709469, 1.2696972712874413, 1.2305489405989647, 1.2120854407548904, 1.1621551234275103, 1.136797022074461, 1.1450828276574612, 1.0968811102211475, 1.0715682730078697, 1.0455689039081335, 1.0267304480075836, 0.9947906602174044, 1.0005709612742066, 0.9892767649143934, 0.9337822366505861, 0.9371109362691641, 0.9350871127098799, 0.9084499087184668]",,,,,,
