dataset,mechanism,methodology,model_type,train_pct,avg_f1,f1_std
citeseer,SCAR,naive,MLP,0.2,0.0024,0.0017
citeseer,SCAR,naive,GATConv,0.2,0.0255,0.0141
citeseer,SCAR,naive,GCNConv,0.2,0,0
citeseer,SCAR,NNIF,MLP,0.2,0.1035,0.0298
citeseer,SCAR,two_nnif,MLP,0.2,0.0245,0.0177
citeseer,SCAR,two_nnif,GATConv,0.2,0.1197,0.0578
citeseer,SCAR,two_nnif,GCNConv,0.2,0.0047,0.0067
citeseer,SCAR,spy,MLP,0.2,0.4594,0.0195
citeseer,SCAR,spy,GATConv,0.2,0.5053,0.0083
citeseer,SCAR,spy,GCNConv,0.2,0.512,0.0343
citeseer,SCAR,nnpu,MLP,0.2,0.6017,0.0171
citeseer,SCAR,nnpu,GATConv,0.2,0.6941,0.0369
citeseer,SCAR,nnpu,GCNConv,0.2,0.7223,0.0233
citeseer,SCAR,imbnnpu,MLP,0.2,0.1182,0.018
citeseer,SCAR,imbnnpu,GATConv,0.2,0.4251,0.0385
citeseer,SCAR,imbnnpu,GCNConv,0.2,0.5352,0.0231
citeseer,SCAR,ours,GATConv,0.2,0.458,0.0377
citeseer,SAR,naive,MLP,0.2,0.0012,0.0017
citeseer,SAR,naive,GATConv,0.2,0.0357,0.0262
citeseer,SAR,naive,GCNConv,0.2,0,0
citeseer,SAR,NNIF,MLP,0.2,0.0872,0.0423
citeseer,SAR,two_nnif,MLP,0.2,0.0187,0.0135
citeseer,SAR,two_nnif,GATConv,0.2,0.1219,0.0641
citeseer,SAR,two_nnif,GCNConv,0.2,0.0082,0.0116
citeseer,SAR,spy,MLP,0.2,0.4231,0.0436
citeseer,SAR,spy,GATConv,0.2,0.5337,0.0294
citeseer,SAR,spy,GCNConv,0.2,0.4923,0.0348
citeseer,SAR,nnpu,MLP,0.2,0.6107,0.0334
citeseer,SAR,nnpu,GATConv,0.2,0.718,0.0224
citeseer,SAR,nnpu,GCNConv,0.2,0.7262,0.0158
citeseer,SAR,imbnnpu,MLP,0.2,0.1542,0.0244
citeseer,SAR,imbnnpu,GATConv,0.2,0.5007,0.0162
citeseer,SAR,imbnnpu,GCNConv,0.2,0.5758,0.023
citeseer,SAR,ours,GATConv,0.2,0.4382,0.0535
cora,SCAR,naive,MLP,0.2,0.001,0.0014
cora,SCAR,naive,GATConv,0.2,0.0353,0.0377
cora,SCAR,naive,GCNConv,0.2,0.001,0.0014
cora,SCAR,NNIF,MLP,0.2,0.0977,0.034
cora,SCAR,two_nnif,MLP,0.2,0.0665,0.0097
cora,SCAR,two_nnif,GATConv,0.2,0.1037,0.0475
cora,SCAR,two_nnif,GCNConv,0.2,0.0274,0.0387
cora,SCAR,spy,MLP,0.2,0.4625,0.0376
cora,SCAR,spy,GATConv,0.2,0.5819,0.0166
cora,SCAR,spy,GCNConv,0.2,0.6271,0.0301
cora,SCAR,nnpu,MLP,0.2,0.6244,0.0173
cora,SCAR,nnpu,GATConv,0.2,0.7767,0.0178
cora,SCAR,nnpu,GCNConv,0.2,0.8407,0.0151
cora,SCAR,imbnnpu,MLP,0.2,0.3172,0.0162
cora,SCAR,imbnnpu,GATConv,0.2,0.6197,0.0218
cora,SCAR,imbnnpu,GCNConv,0.2,0.7565,0.0137
cora,SCAR,ours,GCNConv,0.2,0.3852,0.0663
cora,SAR,naive,MLP,0.2,0,0
cora,SAR,naive,GATConv,0.2,0.002,0.0014
cora,SAR,naive,GCNConv,0.2,0,0
cora,SAR,NNIF,MLP,0.2,0.1149,0.031
cora,SAR,two_nnif,MLP,0.2,0.001,0.0014
cora,SAR,two_nnif,GATConv,0.2,0.0141,0.014
cora,SAR,two_nnif,GCNConv,0.2,0.0081,0.0093
cora,SAR,spy,MLP,0.2,0.4374,0.0072
cora,SAR,spy,GATConv,0.2,0.5856,0.0376
cora,SAR,spy,GCNConv,0.2,0.5791,0.0145
cora,SAR,nnpu,MLP,0.2,0.651,0.0189
cora,SAR,nnpu,GATConv,0.2,0.811,0.015
cora,SAR,nnpu,GCNConv,0.2,0.8328,0.0131
cora,SAR,imbnnpu,MLP,0.2,0.3375,0.0218
cora,SAR,imbnnpu,GATConv,0.2,0.6488,0.0296
cora,SAR,imbnnpu,GCNConv,0.2,0.7668,0.0166
cora,SAR,ours,GCNConv,0.2,0.3326,0.0767
pubmed,SCAR,naive,MLP,0.2,0.0058,0.0082
pubmed,SCAR,naive,GATConv,0.2,0.0056,0.0023
pubmed,SCAR,naive,GCNConv,0.2,0,0
pubmed,SCAR,NNIF,MLP,0.2,0.5936,0.0068
pubmed,SCAR,two_nnif,MLP,0.2,0.623,0.008
pubmed,SCAR,two_nnif,GATConv,0.2,0.6095,0.0074
pubmed,SCAR,two_nnif,GCNConv,0.2,0.6274,0.0073
pubmed,SCAR,spy,MLP,0.2,0.7557,0.0053
pubmed,SCAR,spy,GATConv,0.2,0.7896,0.0043
pubmed,SCAR,spy,GCNConv,0.2,0.7946,0.0041
pubmed,SCAR,nnpu,MLP,0.2,0.5474,0.0482
pubmed,SCAR,nnpu,GATConv,0.2,0.6328,0.0268
pubmed,SCAR,nnpu,GCNConv,0.2,0.6251,0.0279
pubmed,SCAR,imbnnpu,MLP,0.2,0.7183,0.0094
pubmed,SCAR,imbnnpu,GATConv,0.2,0.7427,0.0085
