dataset,mechanism,methodology,model_type,mult,avg_f1,std_f1,avg_ap,std_ap
elliptic-bitcoin,SAR2,ours,GATConv,0.75,0.14515987304955538,0.05210308516827635,0.1271200344960591,0.04126598402604793
elliptic-bitcoin,SAR2,ours,GATConv,1.0,0.2104644082290661,0.02131012406928473,0.17332821013725122,0.03721797893516306
elliptic-bitcoin,SAR2,ours,GATConv,1.25,0.21652954557822937,0.03783448954939356,0.18035845039231713,0.04963954712580861
elliptic-bitcoin,SAR2,ours,GATConv,1.5,0.2345239992042155,0.0398115856511146,0.20006124476511292,0.04801630863822341
elliptic-bitcoin,SAR2,ours,GATConv,1.75,0.22260307327189324,0.08935264611995987,0.19058905537992196,0.08725433071965949
elliptic-bitcoin,SAR2,ours,GATConv,2.0,0.21555935504856474,0.031620030093524314,0.17647919625264893,0.02765882412767784
elliptic-bitcoin,SAR2,nnpu,MLP,0.75,0.0014234281068703466,0.0002560808130282553,0.06501336700612674,0.0011021141088371183
elliptic-bitcoin,SAR2,nnpu,GATConv,0.75,0.0,0.0,0.07377022043036967,0.001278352059658305
elliptic-bitcoin,SAR2,nnpu,GCNConv,0.75,0.0029507073593458915,0.0002054641613306814,0.06785598902176783,0.00025708280445611506
elliptic-bitcoin,SAR2,nnpu,MLP,1.0,0.002315304400883759,0.0005070236080584403,0.06619092786178833,0.0003736666160148534
elliptic-bitcoin,SAR2,nnpu,GATConv,1.0,0.0,0.0,0.07477042282466574,0.0014827821351628219
elliptic-bitcoin,SAR2,nnpu,GCNConv,1.0,0.0028130910851039467,0.00020247711876445368,0.0680750902784565,0.00022054742903931859
elliptic-bitcoin,SAR2,nnpu,MLP,1.25,0.003210910666084,1.4441214563971375e-05,0.0671750073102344,0.0003199879623156923
elliptic-bitcoin,SAR2,nnpu,GATConv,1.25,0.0,0.0,0.07536580298253968,0.0011899987971126641
elliptic-bitcoin,SAR2,nnpu,GCNConv,1.25,0.0031115731407584525,0.00035281468394426555,0.0684999167194384,0.00021083679479985408
elliptic-bitcoin,SAR2,nnpu,MLP,1.5,0.003955697441905485,0.00028413221280745003,0.0683907960782517,0.00043279342150336195
elliptic-bitcoin,SAR2,nnpu,GATConv,1.5,0.0,0.0,0.07662492036669206,0.0008949676932164428
elliptic-bitcoin,SAR2,nnpu,GCNConv,1.5,0.0034106580035269756,0.00041236298377935637,0.06908772056691113,0.00022733864755160869
elliptic-bitcoin,SAR2,nnpu,MLP,1.75,0.007878739946690846,0.00030042447220822807,0.0699910857702289,0.00044628101595452387
elliptic-bitcoin,SAR2,nnpu,GATConv,1.75,0.0,0.0,0.07856636775593263,0.0005711375451170413
elliptic-bitcoin,SAR2,nnpu,GCNConv,1.75,0.003996847291759171,0.00035033252037103665,0.06989294008150387,0.00023829240865161887
elliptic-bitcoin,SAR2,nnpu,MLP,2.0,0.013715659524602866,0.00034194123987636694,0.07235563359226374,0.0004516110076731345
elliptic-bitcoin,SAR2,nnpu,GATConv,2.0,0.0,0.0,0.0812816737364985,0.001980157141207123
elliptic-bitcoin,SAR2,nnpu,GCNConv,2.0,0.004584760985308598,0.0002001705064483695,0.07096164872993167,0.0003383336493183754
elliptic-bitcoin,SAR2,imbnnpu,MLP,0.75,0.20499153635642364,0.010681779639448928,0.10837961681330627,0.005126990694881344
elliptic-bitcoin,SAR2,imbnnpu,GATConv,0.75,0.1494170237157618,0.004539396488015476,0.08513476505903851,0.0014449279956679946
elliptic-bitcoin,SAR2,imbnnpu,GCNConv,0.75,0.14460071374385577,0.0014931450343873406,0.08240354722544994,0.0009039397328898589
elliptic-bitcoin,SAR2,imbnnpu,MLP,1.0,0.2049918224699598,0.010685991702890146,0.10837906737944918,0.005128552681477195
elliptic-bitcoin,SAR2,imbnnpu,GATConv,1.0,0.14919931699932423,0.004517886006484856,0.08506382642313322,0.0014622376351010637
elliptic-bitcoin,SAR2,imbnnpu,GCNConv,1.0,0.14460486116700247,0.001491160026762996,0.08240278587013394,0.000903561228077619
elliptic-bitcoin,SAR2,imbnnpu,MLP,1.25,0.2049981864409267,0.010683947522891674,0.10838470673365415,0.0051321772103053815
elliptic-bitcoin,SAR2,imbnnpu,GATConv,1.25,0.1491876189521546,0.004582327309825728,0.08503716535427978,0.0014600886371312605
elliptic-bitcoin,SAR2,imbnnpu,GCNConv,1.25,0.14460071374385577,0.0014931450343873406,0.08240481083209641,0.0009061562925081872
elliptic-bitcoin,SAR2,imbnnpu,MLP,1.5,0.2049918224699598,0.010685991702890146,0.10838211536469573,0.005134492190964022
elliptic-bitcoin,SAR2,imbnnpu,GATConv,1.5,0.1493464797353086,0.004531859948564062,0.08510802351705515,0.0014461758738979061
elliptic-bitcoin,SAR2,imbnnpu,GCNConv,1.5,0.14460486116700247,0.001491160026762996,0.08240325700399644,0.0009036592388116816
elliptic-bitcoin,SAR2,imbnnpu,MLP,1.75,0.2049854597044046,0.010688042681276289,0.10838251579601636,0.005131530489817784
elliptic-bitcoin,SAR2,imbnnpu,GATConv,1.75,0.1494506680097036,0.004510335171402414,0.08513415839302359,0.0014454765454036836
elliptic-bitcoin,SAR2,imbnnpu,GCNConv,1.75,0.14460071374385577,0.0014931450343873406,0.08240299071220836,0.0009032059146192454
elliptic-bitcoin,SAR2,imbnnpu,MLP,2.0,0.2049981864409267,0.010683947522891674,0.10838100818116912,0.005131249535389444
elliptic-bitcoin,SAR2,imbnnpu,GATConv,2.0,0.14917992699564417,0.004495749868976384,0.08505595726643127,0.001469513857887467
elliptic-bitcoin,SAR2,imbnnpu,GCNConv,2.0,0.14454651357813347,0.001417749160313355,0.08240322503246762,0.0009036935696673701
