dataset,mechanism,treatment,anomaly_detector,methodology,model_type,avg_f1,std_f1
pubmed,SCAR,removal,nearest_neighbors,NNIF,MLP,0.7967654976533401,0.005230602576800282
pubmed,SCAR,removal,nearest_neighbors,two_nnif,MLP,0.7566063444634415,0.004263866179131443
pubmed,SCAR,removal,nearest_neighbors,two_nnif,GATConv,0.7840381482433081,0.003655222716453342
pubmed,SCAR,removal,nearest_neighbors,two_nnif,GCNConv,0.7878563413309344,0.004675979430972879
pubmed,SCAR,removal,nearest_neighbors,ours,GCNConv,0.7424283717158559,0.005670751681055385
pubmed,SCAR,removal,unweighted,NNIF,MLP,0.517764909409542,0.0044174603253933796
pubmed,SCAR,removal,unweighted,two_nnif,MLP,0.7566063444634415,0.004263866179131443
pubmed,SCAR,removal,unweighted,two_nnif,GATConv,0.7841234356314816,0.003781251096135769
pubmed,SCAR,removal,unweighted,two_nnif,GCNConv,0.7878563413309344,0.004675979430972879
pubmed,SCAR,removal,unweighted,ours,GCNConv,0.4070424530976912,0.016148019263467886
pubmed,SCAR,relabeling,nearest_neighbors,NNIF,MLP,0.6965339149768344,0.00408183654658039
pubmed,SCAR,relabeling,nearest_neighbors,two_nnif,MLP,0.7566063444634415,0.004263866179131443
pubmed,SCAR,relabeling,nearest_neighbors,two_nnif,GATConv,0.7841341694008234,0.0035531431830394962
pubmed,SCAR,relabeling,nearest_neighbors,two_nnif,GCNConv,0.7878563413309344,0.004675979430972879
pubmed,SCAR,relabeling,nearest_neighbors,ours,GCNConv,0.6679920378821819,0.0014603615805151785
pubmed,SCAR,relabeling,unweighted,NNIF,MLP,0.4010393802882939,0.003932253269223847
pubmed,SCAR,relabeling,unweighted,two_nnif,MLP,0.7566063444634415,0.004263866179131443
pubmed,SCAR,relabeling,unweighted,two_nnif,GATConv,0.7842641058002252,0.0034541957990870246
pubmed,SCAR,relabeling,unweighted,two_nnif,GCNConv,0.7878563413309344,0.004675979430972879
pubmed,SCAR,relabeling,unweighted,ours,GCNConv,0.335010146188867,0.006252349459527767
pubmed,SAR,removal,nearest_neighbors,NNIF,MLP,0.7837911324898564,0.007888195789576653
pubmed,SAR,removal,nearest_neighbors,two_nnif,MLP,0.7523087367865987,0.0028747385752253742
pubmed,SAR,removal,nearest_neighbors,two_nnif,GATConv,0.7858157606773789,0.0016865229883354783
pubmed,SAR,removal,nearest_neighbors,two_nnif,GCNConv,0.780387607920869,0.0006283250252358748
pubmed,SAR,removal,nearest_neighbors,ours,GCNConv,0.7411833429901193,0.005793329191020677
pubmed,SAR,removal,unweighted,NNIF,MLP,0.5251718676424388,0.009306685135011752
pubmed,SAR,removal,unweighted,two_nnif,MLP,0.7523087367865987,0.0028747385752253742
pubmed,SAR,removal,unweighted,two_nnif,GATConv,0.7855864889704852,0.001893157352273502
pubmed,SAR,removal,unweighted,two_nnif,GCNConv,0.780387607920869,0.0006283250252358748
pubmed,SAR,removal,unweighted,ours,GCNConv,0.3732859311600265,0.010599224816706478
pubmed,SAR,relabeling,nearest_neighbors,NNIF,MLP,0.6894588654417735,0.006969134224575763
pubmed,SAR,relabeling,nearest_neighbors,two_nnif,MLP,0.7523087367865987,0.0028747385752253742
pubmed,SAR,relabeling,nearest_neighbors,two_nnif,GATConv,0.7856799811836176,0.0016531980428698672
pubmed,SAR,relabeling,nearest_neighbors,two_nnif,GCNConv,0.780387607920869,0.0006283250252358748
pubmed,SAR,relabeling,nearest_neighbors,ours,GCNConv,0.6539332723371586,0.004573227135656409
pubmed,SAR,relabeling,unweighted,NNIF,MLP,0.4036910815545805,0.0055625255848986066
pubmed,SAR,relabeling,unweighted,two_nnif,MLP,0.7523087367865987,0.0028747385752253742
pubmed,SAR,relabeling,unweighted,two_nnif,GATConv,0.7856186246724057,0.0016662777548220955
pubmed,SAR,relabeling,unweighted,two_nnif,GCNConv,0.780387607920869,0.0006283250252358748
