K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,reliable_mini_batch,clusters,accuracy,f1,recall,precision,losses,f1_std
7.0,2.0,128.0,256.0,,0.0037398392315945,removal,0.0,0.2566884547976302,366.6,sum,GATConv,10.0,7.0,1.0,500.0,0.8987979915808694,0.8697667244743016,0.8461206349206349,0.894779586752968,"[53.74618089199066, 51.19909358024597, 47.59403759241104, 43.83698147535324, 38.88057905435562, 34.476355105638504, 30.040116757154465, 26.31690141558647, 22.78761339187622, 20.441320046782494, 17.762432634830475, 15.373445838689804, 13.970819413661957, 12.455541998147964, 11.287510469555855, 10.084618642926216, 9.15422584861517, 8.385072886943817, 7.742107547819614, 7.010972857475281, 6.460971921682358, 6.0505092442035675, 5.636734783649445, 5.187850542366505, 4.889470778405666, 4.512291181832552, 4.253080248832703, 4.045048218220472, 3.755445398390293, 3.4876701943576336, 3.3210589587688446, 3.1465326845645905, 2.9549862407147884, 2.828426267951727, 2.6872037164866924, 2.548307105898857, 2.4190140292048454, 2.300594385713339, 2.2392777428030968, 2.109127739444375, 1.995818180963397, 1.9297369681298733, 1.8222778551280499, 1.7337190564721823, 1.7006668392568827, 1.6159137021750212, 1.5286182686686516, 1.47375070117414, 1.4209692422300577, 1.3640706166625023]",0.0016440930310296766
8.0,2.0,128.0,256.0,,0.0039165511017915,removal,0.0,0.2550210540333426,366.6,sum,GATConv,10.0,7.0,1.0,500.0,0.8989501445453163,0.8697441391036103,0.8446984126984127,0.8963233740146503,"[55.939280450344086, 53.593082785606384, 49.92161417007446, 45.98266738653183, 40.64829194545746, 35.79256635904312, 30.877167612314224, 26.805495411157608, 22.983495116233826, 20.428304567933083, 17.604158878326416, 15.150977835059166, 13.68324026465416, 12.126690044999123, 10.951474830508232, 9.752782560884953, 8.822893850505352, 8.065839394927025, 7.436399832367897, 6.720613807439804, 6.186380863189697, 5.7743842378258705, 5.382797792553902, 4.944113343954086, 4.659144818782806, 4.294744793325663, 4.043377254158258, 3.8431232683360577, 3.567587908357382, 3.3147565312683582, 3.149385966360569, 2.982350155711174, 2.8007457442581654, 2.675058327615261, 2.545235238969326, 2.4108781293034554, 2.2842802219092846, 2.1740374211221933, 2.1126353796571493, 1.9934196900576353, 1.8838054034858942, 1.821523116901517, 1.720085622742772, 1.636493943631649, 1.6041547693312168, 1.523600421845913, 1.4415781423449516, 1.3899938110262156, 1.3406370542943478, 1.2871248610317707]",0.0035476450310676123
8.0,2.0,128.0,256.0,,0.0042595322072097,removal,0.0,0.2549039861884422,366.6,sum,GATConv,10.0,6.0,1.0,500.0,0.8987269868641274,0.8697365773904231,0.8465015873015872,0.8942876430675593,"[55.828895926475525, 53.136748909950256, 49.03595274686813, 44.53078293800354, 38.6915345788002, 33.44590190052986, 28.39203804731369, 24.315907031297684, 20.633169561624527, 18.202504381537437, 15.59951363503933, 13.35415893793106, 12.032063335180283, 10.660709545016289, 9.586041316390038, 8.5314422249794, 7.709575839340687, 7.042236126959324, 6.487365022301674, 5.851209960877895, 5.389595083892345, 5.025653183460236, 4.684800378978252, 4.30134417116642, 4.046972807496786, 3.729833822697401, 3.5131267681717873, 3.3439616821706295, 3.0950323529541492, 2.877284536138177, 2.733071804046631, 2.5891464352607727, 2.4282441064715385, 2.321836195886135, 2.204975411295891, 2.0949937850236893, 1.9868624098598957, 1.8852661903947592, 1.8340859785676003, 1.7270225882530212, 1.6339259166270494, 1.5788543932139874, 1.4895945750176907, 1.420493971556425, 1.3901661522686481, 1.3215822353959084, 1.2496095728129148, 1.2032853551208973, 1.1615642802789807, 1.1134657077491283]",0.0024036561349715306
8.0,2.0,128.0,256.0,,0.0042284566187351,removal,0.0,0.2561914268306318,366.6,sum,GATConv,10.0,7.0,1.0,500.0,0.8985038291829387,0.8694999504775666,0.8466031746031746,0.8936764118971489,"[55.83849036693573, 53.16435515880585, 49.100300788879395, 44.62722885608673, 38.865928649902344, 33.67600175738335, 28.61822682619095, 24.54528057575226, 20.822496592998505, 18.392780736088753, 15.776229843497276, 13.513675138354301, 12.173528611660004, 10.780455246567726, 9.702417597174644, 8.637262277305126, 7.808558188378811, 7.127721279859543, 6.56703444570303, 5.9285478219389915, 5.45675053447485, 5.088543839752674, 4.741587273776531, 4.352639205753803, 4.0970995500683784, 3.7776895835995674, 3.5564863942563534, 3.3829684779047966, 3.1340083368122578, 2.912395317107439, 2.7686292454600334, 2.622411400079727, 2.462571829557419, 2.3514938689768314, 2.232739094644785, 2.1204542443156242, 2.011293448507786, 1.9084001928567886, 1.8574122469872236, 1.7494005262851715, 1.6536106932908297, 1.5983102172613144, 1.5086769293993711, 1.4373454675078392, 1.407710338011384, 1.3369237296283245, 1.266150614246726, 1.218195172958076, 1.1758978394791484, 1.1278891963884234]",0.002747232867677088
8.0,2.0,128.0,256.0,,0.0042547096199211,removal,0.0,0.2567991167749735,366.6,sum,GATConv,10.0,7.0,1.0,500.0,0.898311102094639,0.8693547681418623,0.8471111111111111,0.8928003911087148,"[55.85938745737076, 53.17556309700012, 49.07301914691925, 44.606245160102844, 38.76272106170654, 33.512566953897476, 28.44566112756729, 24.384207606315613, 20.683364182710648, 18.24795864522457, 15.642597407102585, 13.395718589425087, 12.065137520432472, 10.689355567097664, 9.605274200439453, 8.559427358210087, 7.723100610077381, 7.061866253614426, 6.500400446355343, 5.868362404406071, 5.4012449234724045, 5.038281716406345, 4.696937657892704, 4.3112301006913185, 4.061050985008478, 3.738785821944475, 3.5220695436000824, 3.3498204723000526, 3.1050915867090225, 2.885777309536934, 2.738661739975214, 2.5956609807908535, 2.4345496520400047, 2.3269890062510967, 2.2108557634055614, 2.0992340967059135, 1.9912286698818207, 1.8914230912923813, 1.8380954694002867, 1.731740953400731, 1.6387229524552822, 1.5825257878750563, 1.49239712767303, 1.4232794661074877, 1.393154315650463, 1.324191179126501, 1.252462476491928, 1.2066956050693989, 1.163870308548212, 1.1160211088135839]",0.0015230271540658024
8.0,2.0,128.0,256.0,,0.0041044778211365,removal,0.0,0.2665198798944443,366.6,sum,GATConv,10.0,3.0,1.0,500.0,0.8979256479180403,0.8693366155338278,0.850184126984127,0.8893737239188948,"[55.81945329904556, 53.267014026641846, 49.4307986497879, 45.133722841739655, 39.52646905183792, 34.44854113459587, 29.434216052293777, 25.373956739902496, 21.636916637420654, 19.143317818641663, 16.435104116797447, 14.10652144253254, 12.728930339217186, 11.270775318145752, 10.152916669845581, 9.03172056376934, 8.186191007494926, 7.459290079772472, 6.88589233905077, 6.211945720016956, 5.725536823272705, 5.339664280414581, 4.97208122164011, 4.573145814239979, 4.301773678511381, 3.9668679609894753, 3.736756432801485, 3.55484364554286, 3.2871951647102833, 3.056160442531109, 2.9083646796643734, 2.7548645474016666, 2.585363406687975, 2.469791803508997, 2.3476269263774157, 2.224243748933077, 2.113342123106122, 2.0063975751399994, 1.9525868855416775, 1.8371611386537552, 1.7374231852591038, 1.679802544414997, 1.58645954541862, 1.5117846950888634, 1.481043891981244, 1.4070372376590967, 1.329891113564372, 1.281392840668559, 1.2370947357267141, 1.1847141971811652]",0.0012622908614833273
8.0,2.0,128.0,256.0,,0.003320072345402,removal,0.0,0.2631449442005928,366.6,sum,GATConv,10.0,7.0,1.0,500.0,0.8980372267586347,0.8691478830999861,0.847847619047619,0.8915509196716835,"[55.9970378279686, 54.226133704185486, 51.35587292909622, 48.313988983631134, 43.870913565158844, 39.84015792608261, 35.416630774736404, 31.55481430888176, 27.653045922517776, 25.09550255537033, 21.923225730657578, 19.06832081079483, 17.36390909552574, 15.518319800496101, 14.0705286860466, 12.595337584614754, 11.449071034789085, 10.471758514642715, 9.694642469286919, 8.76568940281868, 8.089003659784794, 7.559548035264015, 7.047461457550526, 6.493118658661842, 6.116436459124088, 5.64143318682909, 5.323496401309967, 5.0703733786940575, 4.69512389972806, 4.362892113626003, 4.157557435333729, 3.9395410008728504, 3.6942028142511845, 3.531047560274601, 3.360303871333599, 3.1854639761149883, 3.027145452797413, 2.8757970482110977, 2.8015464022755623, 2.6350979022681713, 2.495552185922861, 2.4147009663283825, 2.2809651978313923, 2.1712603718042374, 2.129459163174033, 2.021518563851714, 1.912927819415927, 1.844916008412838, 1.7826504725962877, 1.7078062053769827]",0.0010329500826797662
8.0,2.0,128.0,256.0,,0.0040713580106179,removal,0.0,0.252877098818341,366.6,sum,GATConv,10.0,8.0,1.0,500.0,0.8985646903687174,0.8691188031031389,0.8432507936507937,0.8966270483823351,"[55.93415814638138, 53.39403164386749, 49.5923867225647, 45.37749511003494, 39.792754769325256, 34.74481675028801, 29.764494478702545, 25.659773886203766, 21.880676805973053, 19.381896555423737, 16.67365588247776, 14.304932087659836, 12.906835451722145, 11.441392168402672, 10.305323958396912, 9.175284340977669, 8.303773052990437, 7.575682170689106, 6.987762957811356, 6.31202694773674, 5.807584293186665, 5.4194237515330315, 5.052163645625114, 4.637344464659691, 4.366584528237581, 4.025276731699705, 3.7899654135107994, 3.6061325520277023, 3.3420654460787773, 3.1052694357931614, 2.952638905495405, 2.7955095656216145, 2.6250506937503815, 2.5092897191643715, 2.3812716361135244, 2.2605666778981686, 2.1448601819574833, 2.03529217466712, 1.9818459749221802, 1.8659185506403446, 1.7641764786094427, 1.705274399369955, 1.6098835337907076, 1.533280873671174, 1.5022522807121277, 1.4267956502735615, 1.3504477683454752, 1.3001175578683615, 1.2547768522053957, 1.20494319871068]",0.0021602871055099405
7.0,2.0,128.0,256.0,,0.003767338463637,removal,0.0,0.2517068761637631,366.6,sum,GATConv,10.0,7.0,1.0,500.0,0.898615408023533,0.8691129231392472,0.8427936507936508,0.897131782617451,"[53.818075299263, 51.23932945728302, 47.596707820892334, 43.784376323223114, 38.785550355911255, 34.34174206852913, 29.896189391613007, 26.17499077320099, 22.610364973545074, 20.29476898908615, 17.613155722618103, 15.25226080417633, 13.826958760619164, 12.344674408435822, 11.16702976822853, 9.991684392094612, 9.062026046216488, 8.300119392573833, 7.667773738503456, 6.945263296365738, 6.396688900887966, 5.98168072104454, 5.580704033374786, 5.133228175342083, 4.842595513910055, 4.4618486650288105, 4.206742983311415, 4.00136399269104, 3.716463230550289, 3.4557139687240124, 3.2862194254994392, 3.113435711711645, 2.9254600815474987, 2.7948466800153255, 2.659254353493452, 2.5222852490842342, 2.39407267421484, 2.276146315038204, 2.213955892249942, 2.0862847343087196, 1.9761096630245447, 1.9066894613206387, 1.800182806327939, 1.7153216358274221, 1.679935235530138, 1.597239213064313, 1.5124368201941252, 1.4568921476602554, 1.405143091455102, 1.3478743974119425]",0.0026638664889756963
8.0,2.0,128.0,256.0,,0.0041217490189787,removal,0.0,0.2669877517425518,366.6,sum,GATConv,10.0,3.0,1.0,500.0,0.8976416290510727,0.8690876378066694,0.8506920634920636,0.8883026222028507,"[55.79989117383957, 53.24219506978989, 49.38062846660614, 45.07118231058121, 39.42438215017319, 34.35290950536728, 29.342127978801727, 25.272247791290283, 21.513054728507996, 19.019623205065727, 16.33726741373539, 14.025930359959602, 12.638377919793129, 11.19809803366661, 10.088302493095398, 8.976615458726883, 8.125307850539684, 7.410758063197136, 6.840262562036514, 6.172543801367283, 5.682052493095398, 5.304952681064606, 4.939709693193436, 4.535692177712917, 4.268702771514654, 3.936834678053856, 3.7113440819084644, 3.5286194533109665, 3.2633224055171013, 3.035255454480648, 2.8871793188154697, 2.7323263809084892, 2.5681892819702625, 2.4520263224840164, 2.328548589721322, 2.2101029474288225, 2.09570618160069, 1.9917724318802357, 1.9375459924340248, 1.824259778484702, 1.7251148913055658, 1.6674407348036766, 1.5737909618765116, 1.5007061567157507, 1.4687638506293297, 1.3965681176632643, 1.3205212131142616, 1.2714660130441189, 1.2284004800021648, 1.1779227582737803]",0.0012619099526685836
