K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,sampling_k,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,f1_std,reliable_mini_batch
12.0,2.0,256.0,256.0,,0.0086925505099265,removal,0.0,0.2440139106126788,366.6,mean,GATConv,5.0,3.0,100.0,,,,,0.9067099457321094,0.8799741426716741,0.8562285714285714,0.9050748938558328,"[25.59938246011734, 26.38034325838089, 25.314106106758118, 24.30223560333252, 22.219754815101624, 20.214903354644775, 17.712438642978668, 16.293152928352356, 14.153268575668335, 11.987688779830933, 10.46296301484108, 8.619906067848206, 7.872925251722336, 6.794735699892044, 6.024264857172966, 5.339519888162613, 4.797158092260361, 4.488942995667458, 3.97153639793396, 3.6673914939165115, 3.4614221304655075, 3.0773074328899384, 2.990415409207344, 2.660285711288452, 2.4826183766126633, 2.3286502361297607, 2.2195926681160927, 2.116831861436367, 2.085886664688587, 1.8817571327090263, 1.7574922069907188, 1.6509633138775826, 1.5617712885141373, 1.5192281194031239, 1.4386773593723774, 1.3692322112619877, 1.353371538221836, 1.2483890689909458, 1.2395908385515213, 1.1369326747953892, 1.0895744822919369, 1.0185980796813965, 1.0209701992571354, 0.974342230707407, 0.9353227689862251, 0.9114735312759876, 0.8736995086073875, 0.8418809380382299, 0.821959774941206, 0.7906209267675877]",0.0013261762964361685,1.0
14.0,2.0,256.0,256.0,,0.0080779175377245,removal,0.0,0.2343828319616021,366.6,mean,GATConv,5.0,3.0,100.0,,,,,0.9069736775371506,0.8793209058307419,0.8485587301587302,0.9123976697555399,"[26.13716834783554, 27.11927592754364, 26.291985988616943, 25.74278473854065, 23.952859222888947, 22.29818683862686, 19.96541714668274, 18.82252186536789, 16.621706664562225, 14.166063487529755, 12.392805397510529, 10.186639100313187, 9.31648674607277, 7.994230508804321, 7.075202494859695, 6.239806085824966, 5.592538416385651, 5.226797103881836, 4.593342483043671, 4.229257971048355, 4.0032501965761185, 3.5406951755285263, 3.439882665872574, 3.050723746418953, 2.8366590216755867, 2.666284091770649, 2.541151702404022, 2.4183352068066597, 2.383301943540573, 2.144136466085911, 1.9923666194081306, 1.8768564313650131, 1.777654267847538, 1.7246250957250595, 1.6350353136658669, 1.5552882254123688, 1.5270527862012386, 1.4150143414735794, 1.4043615497648716, 1.28597292304039, 1.2343195155262947, 1.1508164294064045, 1.1559962630271912, 1.1021688990294933, 1.0582235381007195, 1.0292549282312393, 0.9879673272371292, 0.9520335122942924, 0.928690817207098, 0.8933713287115097]",0.0008708996017199488,1.0
14.0,2.0,256.0,256.0,,0.0080348578744821,removal,0.0,0.2350171766378469,366.6,mean,GATConv,5.0,3.0,100.0,,,,,0.9065780798295886,0.8789433972497985,0.8491428571428571,0.9109177689474158,"[26.091298282146454, 27.085623562335968, 26.267444968223572, 25.70005565881729, 23.915323972702026, 22.287353932857513, 19.985788583755493, 18.882443845272064, 16.681778609752655, 14.241999566555023, 12.46446293592453, 10.251459687948227, 9.38226056098938, 8.055460512638092, 7.127035349607468, 6.288810670375824, 5.637355104088783, 5.270675003528595, 4.623421266674995, 4.259002864360809, 4.038947626948357, 3.569559335708618, 3.468852609395981, 3.0780415162444115, 2.859748847782612, 2.6884421706199646, 2.5627319142222404, 2.434288404881954, 2.404104471206665, 2.161256156861782, 2.008885197341442, 1.8911863192915916, 1.792815163731575, 1.7381306290626526, 1.6482615284621716, 1.5687399581074715, 1.5400525443255901, 1.4262906350195408, 1.4157872572541237, 1.2955544702708721, 1.2446400821208954, 1.1600306555628777, 1.1654318235814571, 1.1103205420076847, 1.0665191449224949, 1.0373114235699177, 0.9967327304184437, 0.9596219137310982, 0.9361366927623749, 0.9004502892494202]",0.0010373237075122514,1.0
14.0,2.0,256.0,256.0,,0.0074380250522737,removal,0.0,0.2254429308428191,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.9072171222802657,0.8789110448541833,0.8430730158730159,0.9179324595796252,"[12.540437936782837, 12.772928714752197, 12.85077679157257, 12.834361791610718, 12.368467569351196, 12.16722059249878, 11.883105635643005, 11.985994577407837, 11.58456552028656, 11.775385022163391, 11.066024005413055, 10.451236844062805, 10.267742455005646, 10.113199651241302, 9.412397503852844, 8.82690978050232, 8.340551793575287, 7.959585905075073, 7.220821857452393, 6.809279143810272, 6.57783567905426, 5.919864237308502, 5.7206712663173676, 5.194897353649139, 4.911605507135391, 4.579116940498352, 4.31632474064827, 4.039762496948242, 3.8511771857738495, 3.588634431362152, 3.3808928728103638, 3.1737127900123596, 3.0012294352054596, 2.899709790945053, 2.8055670261383057, 2.6442476511001587, 2.4898353219032288, 2.373300790786743, 2.282875195145607, 2.1710595041513443, 2.0714187175035477, 1.9642186909914017, 1.9182068407535553, 1.8410773277282715, 1.7716719508171082, 1.7100213021039963, 1.6817118674516678, 1.574544072151184, 1.529834121465683, 1.4809848293662071]",0.002103296594324505,1.0
14.0,2.0,256.0,256.0,,0.007711555292748999,removal,0.0,0.2231457403764879,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.9073692752447127,0.8788606729270121,0.8412952380952381,0.9199390367847657,"[12.533140420913696, 12.756486296653748, 12.838340520858765, 12.820658564567566, 12.336567521095276, 12.128605604171753, 11.842156767845154, 11.927277565002441, 11.510841965675354, 11.672130942344666, 10.94385427236557, 10.303756177425385, 10.08625990152359, 9.892703235149384, 9.169330477714539, 8.567864060401917, 8.059986054897308, 7.660894393920898, 6.924203991889954, 6.5100319385528564, 6.265121161937714, 5.6254642605781555, 5.422883868217468, 4.914388656616211, 4.639972060918808, 4.321467071771622, 4.070591300725937, 3.8054927587509155, 3.6249759197235107, 3.3756071627140045, 3.1800951957702637, 2.9833834171295166, 2.822154551744461, 2.7256498634815216, 2.6348659098148346, 2.4855207949876785, 2.3388506025075912, 2.2305349707603455, 2.1458164900541306, 2.0403018444776535, 1.9462253600358963, 1.8456063866615295, 1.8028508722782135, 1.7280661910772324, 1.6644192785024643, 1.606876626610756, 1.58116614818573, 1.480011135339737, 1.439223200082779, 1.3921547010540962]",0.0013809723187222143,1.0
14.0,2.0,256.0,256.0,,0.007347661009097199,removal,0.0,0.2227393416567111,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.9073489881827864,0.8788219652255205,0.8411682539682539,0.9200092622333511,"[12.53984785079956, 12.770195245742798, 12.85783326625824, 12.84528112411499, 12.369857668876648, 12.176069021224976, 11.896127223968506, 12.00804352760315, 11.612491011619568, 11.812594771385193, 11.1092928647995, 10.503218173980713, 10.330438733100891, 10.192121684551239, 9.497027933597565, 8.923827052116394, 8.44316691160202, 8.073907911777496, 7.328440010547638, 6.920896470546722, 6.690405309200287, 6.026786506175995, 5.828722953796387, 5.295644819736481, 5.012980192899704, 4.672211199998856, 4.407876133918762, 4.125761777162552, 3.9339069724082947, 3.6651423275470734, 3.4546004235744476, 3.24259290099144, 3.0682193338871, 2.963702440261841, 2.864836573600769, 2.703013077378273, 2.543370559811592, 2.4253563582897186, 2.332844629883766, 2.218292072415352, 2.11630617082119, 2.00673870742321, 1.9604568034410477, 1.878723219037056, 1.8095165491104126, 1.747081071138382, 1.7187525480985641, 1.608497902750969, 1.5641852766275406, 1.5124624595046043]",0.0009762445236513678,1.0
14.0,2.0,256.0,256.0,,0.007440329695914799,removal,0.0,0.2256764303936117,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.9069533904752243,0.8787540461244013,0.8442412698412698,0.9162104703627527,"[12.544865489006042, 12.782307982444763, 12.856820464134216, 12.838375210762024, 12.37321650981903, 12.17118215560913, 11.889560222625732, 11.992061734199524, 11.591264128684998, 11.779896855354309, 11.073785066604614, 10.461175799369812, 10.274849236011505, 10.12226289510727, 9.419981002807617, 8.841451644897461, 8.346202671527863, 7.9691683650016785, 7.226637780666351, 6.816492736339569, 6.581818103790283, 5.925510406494141, 5.7273752093315125, 5.199842423200607, 4.916937321424484, 4.582184284925461, 4.319249272346497, 4.0416772067546844, 3.854157954454422, 3.589980274438858, 3.382148176431656, 3.176134467124939, 3.0026824474334717, 2.9015780091285706, 2.8054703176021576, 2.6456045359373093, 2.4900220930576324, 2.3744740933179855, 2.2827580720186234, 2.170793041586876, 2.0722790360450745, 1.964533656835556, 1.917672038078308, 1.8407094180583954, 1.771189033985138, 1.7103324234485626, 1.6830900013446808, 1.574781522154808, 1.5305016785860062, 1.4808094948530197]",0.0017895110992467989,1.0
14.0,2.0,256.0,256.0,,0.0080450875042997,removal,0.0,0.23668822119478553,366.6,mean,GATConv,5.0,3.0,100.0,,,,,0.9062940609626212,0.8787469393806134,0.8501587301587301,0.9093250422555308,"[26.148466765880585, 27.161507189273834, 26.33747160434723, 25.739856898784637, 23.975554943084717, 22.330120503902435, 19.99767929315567, 18.880013346672058, 16.683205246925354, 14.235071241855621, 12.449104905128479, 10.238368183374405, 9.371898114681244, 8.040359258651733, 7.117631822824478, 6.277700036764145, 5.630147635936737, 5.262475028634071, 4.619079530239105, 4.256081268191338, 4.035197988152504, 3.5667678117752075, 3.4658215641975403, 3.0736428946256638, 2.8533052429556847, 2.6853479966521263, 2.559931866824627, 2.4365692660212517, 2.401890851557255, 2.160232327878475, 2.0030866637825966, 1.8911106586456299, 1.7902439311146736, 1.7389601171016693, 1.648927267640829, 1.5677382573485374, 1.536660946905613, 1.4253926239907742, 1.415158685296774, 1.2941863909363747, 1.2445181868970394, 1.159660130739212, 1.1638496480882168, 1.1096434071660042, 1.0659245625138283, 1.0359363928437233, 0.9958072304725647, 0.9593872651457787, 0.9350439459085464, 0.9014725796878338]",0.0015182898110080842,1.0
14.0,2.0,256.0,256.0,,0.0068114005096768,removal,0.0,0.2177488439738214,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.9075620023330121,0.8786369822538654,0.8377904761904762,0.9236715869232273,"[12.55463707447052, 12.791762948036194, 12.885706186294556, 12.878312826156616, 12.417277455329895, 12.23995590209961, 11.977234482765198, 12.126089453697205, 11.765254139900208, 12.022012591362, 11.342669308185577, 10.783228576183319, 10.683015167713165, 10.62190854549408, 9.963343024253845, 9.436390101909637, 9.008173525333405, 8.68320506811142, 7.936119377613068, 7.550045013427734, 7.356916844844818, 6.659458339214325, 6.475588917732239, 5.9103120267391205, 5.614119708538055, 5.252377539873123, 4.9689763486385345, 4.65979677438736, 4.451221197843552, 4.154519110918045, 3.9196736812591553, 3.6808124780654907, 3.4878446757793427, 3.3695591390132904, 3.260835498571396, 3.074364274740219, 2.89422807097435, 2.7628848254680634, 2.655649781227112, 2.5236848294734955, 2.4090408980846405, 2.2839962542057037, 2.2306236177682877, 2.1396372467279434, 2.0598610937595367, 1.9887589365243912, 1.955907940864563, 1.8308087438344955, 1.7793772220611572, 1.7205056846141815]",0.0016155602895041475,1.0
14.0,2.0,256.0,256.0,,0.007380059851546899,removal,0.0,0.2242652449828541,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.906922959882335,0.8785352436440672,0.8427682539682539,0.9174744546140259,"[12.53557276725769, 12.76647663116455, 12.846344351768494, 12.833108186721802, 12.366333246231079, 12.167688727378845, 11.88905644416809, 11.997140645980835, 11.60185980796814, 11.792869091033936, 11.095446944236755, 10.484332382678986, 10.314611315727234, 10.16317230463028, 9.47103363275528, 8.890351414680481, 8.406737208366394, 8.033220827579498, 7.289846420288086, 6.88173371553421, 6.649659872055054, 5.988967657089233, 5.785932838916779, 5.257273852825165, 4.9750893115997314, 4.640140801668167, 4.375351309776306, 4.093863397836685, 3.9036575853824615, 3.637239456176758, 3.428074985742569, 3.2161924242973328, 3.0441077053546906, 2.940965712070465, 2.8413010090589523, 2.6802920550107956, 2.5237972289323807, 2.406072735786438, 2.3141404688358307, 2.20048651099205, 2.099212035536766, 1.9905043244361877, 1.9439388066530228, 1.8631458282470703, 1.7949438691139221, 1.7320816218852997, 1.7053287029266357, 1.5958141088485718, 1.5511864125728607, 1.5004348456859589]",0.001418738643191328,1.0
