K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision,f1_std
12.0,2.0,256.0,128.0,,0.005,removal,0.0,0.3399350695065621,654.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[17.002890825271606, 16.91305696964264, 16.537933826446533, 16.416895627975464, 16.245584726333618, 15.932265520095825, 15.74959933757782, 15.46113383769989, 15.122629284858704, 14.83888328075409, 14.543261885643005, 14.263152956962585, 14.004447102546692, 13.721362948417664, 13.415337562561035, 12.960966944694519, 12.728141903877258, 12.37214708328247, 12.003677248954773, 11.734492421150208, 11.306468725204468, 10.995182633399963, 10.672012567520142, 10.335018754005432, 9.997107207775116, 9.700963854789734, 9.40615576505661, 9.012435555458069, 8.771152973175049, 8.439365923404694, 8.190961420536041, 7.86075621843338, 7.6242401003837585, 7.316242158412933, 7.072954177856445, 6.825551450252533, 6.578938245773315, 6.346087872982025, 6.100479066371918, 5.888260364532471, 5.671191453933716, 5.5174866914749146, 5.296736121177673, 5.122222125530243, 4.988038122653961, 4.797794729471207, 4.617995262145996, 4.495758920907974, 4.342937350273132, 4.228634208440781]",0.8658977121490589,0.7443209279845336,0.7823215646431293,0.7098409771836829,
9.0,2.0,128.0,256.0,,0.005,removal,0.0,0.3792611731412326,654.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[14.713966488838196, 14.639148950576782, 14.335800766944885, 14.156590342521667, 13.894055724143982, 13.607304811477661, 13.270098209381104, 13.030150294303894, 12.785516381263733, 12.424275040626526, 12.158189296722412, 11.883254766464233, 11.594218611717224, 11.284351229667664, 11.017764687538147, 10.674182534217834, 10.388622045516968, 10.072430729866028, 9.847709834575653, 9.453703701496124, 9.16831248998642, 8.929987609386444, 8.662501990795135, 8.337648451328278, 8.035843133926392, 7.7262221574783325, 7.492693543434143, 7.233224451541901, 6.993461191654205, 6.750109851360321, 6.536871075630188, 6.3123727440834045, 6.040701687335968, 5.87152373790741, 5.667114019393921, 5.452827274799347, 5.298797607421875, 5.102374315261841, 4.95833295583725, 4.7772510051727295, 4.6163047552108765, 4.47819858789444, 4.316825866699219, 4.187156766653061, 4.056290417909622, 3.917363613843918, 3.8028551936149597, 3.6887119710445404, 3.572883427143097, 3.465084880590439]",0.8620951898092402,0.7423632488752072,0.7962915925831852,0.6952761144377911,
9.0,2.0,128.0,256.0,,0.005,removal,0.0,0.4025869728016228,654.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[14.410069346427917, 14.31654953956604, 14.017671346664429, 13.841307878494263, 13.578312039375305, 13.299821615219116, 12.956962943077087, 12.720906019210815, 12.496867656707764, 12.135569453239441, 11.873190522193909, 11.601974606513977, 11.310508131980896, 11.02510118484497, 10.758653163909912, 10.424008667469025, 10.14173811674118, 9.829634010791779, 9.622164189815521, 9.233922898769379, 8.959972441196442, 8.71574592590332, 8.462271928787231, 8.146949768066406, 7.854869842529297, 7.549540579319, 7.322839021682739, 7.0690606236457825, 6.837508916854858, 6.599413812160492, 6.389904499053955, 6.173809885978699, 5.9089367389678955, 5.743014454841614, 5.543956398963928, 5.335274577140808, 5.184374392032623, 4.991618722677231, 4.853324264287949, 4.675116539001465, 4.519292920827866, 4.383571118116379, 4.227667182683945, 4.100149244070053, 3.974638342857361, 3.836447149515152, 3.7242837250232697, 3.612250655889511, 3.5009616017341614, 3.393517017364502]",0.8589897965650548,0.7416095691557311,0.8110236220472441,0.6831407787762088,
7.0,2.0,128.0,256.0,,0.005,removal,0.0,0.3722994979618388,654.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[13.253023624420166, 13.13653016090393, 12.838299632072449, 12.620856046676636, 12.366974234580994, 12.078736305236816, 11.741141200065613, 11.499805688858032, 11.26261019706726, 10.907270073890686, 10.65316379070282, 10.369499564170837, 10.086967825889587, 9.800371706485748, 9.531465470790863, 9.214548230171204, 8.938391089439392, 8.654400169849396, 8.445247173309326, 8.091120600700378, 7.839781045913696, 7.61720484495163, 7.380343675613403, 7.100216448307037, 6.842969357967377, 6.57497251033783, 6.379270315170288, 6.155226171016693, 5.953830599784851, 5.74862676858902, 5.570912718772888, 5.386678695678711, 5.160080194473267, 5.0212176740169525, 4.855367660522461, 4.676932215690613, 4.548927664756775, 4.3864739537239075, 4.268246173858643, 4.120391845703125, 3.9864494800567627, 3.8711490631103516, 3.738140791654587, 3.6314189732074738, 3.5254357755184174, 3.4090268313884735, 3.312711238861084, 3.2195456326007843, 3.1204353868961334, 3.0332657992839813]",0.8628556942772039,0.7415810843085742,0.7886715773431547,0.6997971602434077,
25.0,2.0,256.0,256.0,,0.005,removal,0.0,0.3590682883660017,654.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[22.334110260009766, 22.10562801361084, 21.661556482315063, 21.317930936813354, 20.925178050994873, 20.674073100090027, 20.43789231777191, 20.072490692138672, 19.81125247478485, 19.54489243030548, 19.089761972427368, 19.085047841072083, 18.66166913509369, 18.5175119638443, 18.128405332565308, 18.021369099617004, 17.792218327522278, 17.46878230571747, 17.233466625213623, 16.97233259677887, 16.76464033126831, 16.455770254135132, 16.230775833129883, 15.969366431236267, 15.69362187385559, 15.499295353889465, 15.259036660194397, 14.931891202926636, 14.665425419807434, 14.27658760547638, 13.957570791244507, 13.740094304084778, 13.320308685302734, 13.113340377807617, 12.727682828903198, 12.502157926559448, 12.132461547851562, 11.83931589126587, 11.467353105545044, 11.114915490150452, 10.882469654083252, 10.551971554756165, 10.235833168029785, 9.927894532680511, 9.545231640338898, 9.24757832288742, 8.945623397827148, 8.642628729343414, 8.349366903305054, 8.086248338222504]",0.8638063248621586,0.7408657904256601,0.7802895605791211,0.7052341597796143,
9.0,2.0,128.0,256.0,,0.005,removal,0.0,0.3979741088984928,654.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[14.431347608566284, 14.368243932723999, 14.071421146392822, 13.888928890228271, 13.62289297580719, 13.343148589134216, 13.006646037101746, 12.764314532279968, 12.535904049873352, 12.181208610534668, 11.91461706161499, 11.650319457054138, 11.35718047618866, 11.066892385482788, 10.797264695167542, 10.4650799036026, 10.179719865322113, 9.86046677827835, 9.651659429073334, 9.262891173362732, 8.990067899227142, 8.746863901615143, 8.493796944618225, 8.174516797065735, 7.88303816318512, 7.574532091617584, 7.348994016647339, 7.092854201793671, 6.862021446228027, 6.625890851020813, 6.411334455013275, 6.194451928138733, 5.928583145141602, 5.7654553055763245, 5.562650799751282, 5.353540897369385, 5.202209532260895, 5.008191108703613, 4.8695855140686035, 4.69143933057785, 4.53323557972908, 4.3984761238098145, 4.240042805671692, 4.115323692560196, 3.9856787025928497, 3.849263310432434, 3.735919952392578, 3.624395728111267, 3.510776251554489, 3.405279815196991]",0.8589897965650548,0.7405852862306168,0.8067056134112268,0.6844827586206896,
10.0,2.0,128.0,256.0,,0.005,removal,0.0,0.3838852962598097,654.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[15.264283061027527, 15.237173557281494, 14.932046294212341, 14.763724565505981, 14.502881526947021, 14.219781160354614, 13.881090641021729, 13.631126046180725, 13.402567028999329, 13.046151518821716, 12.769638776779175, 12.50843095779419, 12.210856795310974, 11.912950992584229, 11.636319398880005, 11.285869121551514, 11.004852294921875, 10.675071954727173, 10.451509237289429, 10.043501198291779, 9.751233518123627, 9.498430132865906, 9.228327810764313, 8.883294641971588, 8.567920565605164, 8.24063903093338, 7.991057932376862, 7.715011894702911, 7.4598376750946045, 7.1984721422195435, 6.973412871360779, 6.735537886619568, 6.440409362316132, 6.25992876291275, 6.037632942199707, 5.805988907814026, 5.639402091503143, 5.427492737770081, 5.272493600845337, 5.0729584991931915, 4.900935024023056, 4.752627670764923, 4.5783083736896515, 4.436992704868317, 4.295105576515198, 4.14701321721077, 4.02230367064476, 3.8976854979991913, 3.774144470691681, 3.657160669565201]",0.8610178084796248,0.7404426559356136,0.7945135890271781,0.6932624113475178,
10.0,2.0,128.0,256.0,,0.005,removal,0.0,0.3481896740928152,654.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[15.806560158729553, 15.803524017333984, 15.479358911514282, 15.305378198623657, 15.048107624053955, 14.76276683807373, 14.411275625228882, 14.167724609375, 13.927385926246643, 13.558182716369629, 13.273340702056885, 12.991359949111938, 12.700031995773315, 12.380236983299255, 12.100545167922974, 11.729079604148865, 11.43524169921875, 11.097100257873535, 10.862697124481201, 10.439625859260559, 10.135075390338898, 9.871605515480042, 9.585582911968231, 9.230874419212341, 8.903478741645813, 8.561869502067566, 8.305354058742523, 8.01042115688324, 7.745989680290222, 7.474897801876068, 7.237387239933014, 6.989023804664612, 6.6826629638671875, 6.490880846977234, 6.262998998165131, 6.022934854030609, 5.848976731300354, 5.625985026359558, 5.464284896850586, 5.259759247303009, 5.078761488199234, 4.923751592636108, 4.741761267185211, 4.593458384275436, 4.448964208364487, 4.291500300168991, 4.16319665312767, 4.035927891731262, 3.905358850955963, 3.785535156726837]",0.8651372076810951,0.7404244937789705,0.7708915417830836,0.7122741140577329,
23.0,2.0,256.0,256.0,,0.005,removal,0.0,0.3460406572759733,384.0,mean,GCNConv,4096.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[11.553540706634521, 11.586045742034912, 11.527182579040527, 11.761819124221802, 11.324282169342041, 11.32634973526001, 11.002026796340942, 10.983290433883667, 10.898089408874512, 10.786144733428955, 10.833764553070068, 10.764076948165894, 10.584320068359375, 10.471990823745728, 10.348932266235352, 10.345492839813232, 10.238986253738403, 10.138488292694092, 10.100563764572144, 10.108549356460571, 9.905099391937256, 9.928031921386719, 9.772162795066833, 9.763390898704529, 9.56949234008789, 9.496315717697144, 9.434778571128845, 9.379401206970215, 9.364047765731812, 9.29225742816925, 9.1417396068573, 9.10840928554535, 9.053640127182007, 8.967310905456543, 8.899827361106873, 8.830624461174011, 8.80991804599762, 8.683654546737671, 8.67850375175476, 8.53438925743103, 8.483362436294556, 8.446800470352173, 8.313737750053406, 8.318668723106384, 8.175810813903809, 8.05205488204956, 8.016011118888855, 7.907773494720459, 7.878483057022095, 7.874698996543884]",0.8645351416439572,0.7401320255580367,0.7731775463550927,0.7097978913713698,0.0054138274739868614
9.0,2.0,128.0,256.0,,0.005,removal,0.0,0.3980956430591688,654.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[14.431221961975098, 14.365067958831787, 14.061664342880249, 13.88523817062378, 13.619944214820862, 13.33996868133545, 13.005024909973145, 12.760083079338074, 12.52943229675293, 12.177918672561646, 11.90710175037384, 11.64363145828247, 11.354504108428955, 11.058745384216309, 10.792285203933716, 10.460540771484375, 10.175768196582794, 9.860492289066315, 9.649783670902252, 9.25695651769638, 8.987917125225067, 8.74394404888153, 8.492067813873291, 8.17205935716629, 7.878254055976868, 7.571756482124329, 7.344293236732483, 7.090178549289703, 6.859192609786987, 6.621394395828247, 6.408277928829193, 6.19256728887558, 5.927350699901581, 5.762411057949066, 5.559729754924774, 5.350962281227112, 5.199286997318268, 5.0074693858623505, 4.869037926197052, 4.689414322376251, 4.531230419874191, 4.395233541727066, 4.238633900880814, 4.112412989139557, 3.9843126833438873, 3.8476589024066925, 3.735823333263397, 3.6222572922706604, 3.5102142095565796, 3.4030391573905945]",0.8583560428417517,0.7400860565181998,0.808229616459233,0.6825396825396826,
