naive
Running experiment with seed=654:
 - K=1, layers=2, hidden=16, out=2
 - norm=None, dropout=0, batch_size=2048, methodology=naive
 - ratio=0.052992235084594844, aggregation=mean, treatment=removal, anomaly_detector=nearest_neighbors, sampling=sage
 - model_type=MLP, rate_pairs=10, clusters=50, lr=0.005
Epoch [1/50] - Loss: 1.4138
Epoch [2/50] - Loss: 1.0580
Epoch [3/50] - Loss: 0.7746
Epoch [4/50] - Loss: 0.6107
Epoch [5/50] - Loss: 0.5451
Epoch [6/50] - Loss: 0.5409
Epoch [7/50] - Loss: 0.5371
Epoch [8/50] - Loss: 0.5134
Epoch [9/50] - Loss: 0.4865
Epoch [10/50] - Loss: 0.4407
Epoch [11/50] - Loss: 0.4072
Epoch [12/50] - Loss: 0.3731
Epoch [13/50] - Loss: 0.3468
Epoch [14/50] - Loss: 0.3341
Epoch [15/50] - Loss: 0.3266
Epoch [16/50] - Loss: 0.3189
Epoch [17/50] - Loss: 0.3043
Epoch [18/50] - Loss: 0.2958
Epoch [19/50] - Loss: 0.2742
Epoch [20/50] - Loss: 0.2593
Epoch [21/50] - Loss: 0.2480
Epoch [22/50] - Loss: 0.2364
Epoch [23/50] - Loss: 0.2258
Epoch [24/50] - Loss: 0.2161
Epoch [25/50] - Loss: 0.2077
Epoch [26/50] - Loss: 0.1956
Epoch [27/50] - Loss: 0.1881
Epoch [28/50] - Loss: 0.1819
Epoch [29/50] - Loss: 0.1773
Epoch [30/50] - Loss: 0.1715
Epoch [31/50] - Loss: 0.1639
Epoch [32/50] - Loss: 0.1617
Epoch [33/50] - Loss: 0.1566
Epoch [34/50] - Loss: 0.1497
Epoch [35/50] - Loss: 0.1480
Epoch [36/50] - Loss: 0.1474
Epoch [37/50] - Loss: 0.1439
Epoch [38/50] - Loss: 0.1384
Epoch [39/50] - Loss: 0.1382
Epoch [40/50] - Loss: 0.1353
Epoch [41/50] - Loss: 0.1337
Epoch [42/50] - Loss: 0.1318
Epoch [43/50] - Loss: 0.1325
