dataset,mechanism,methodology,model_type,ratio_multiplier,avg_f1,std_f1
pubmed,SCAR,NNIF,MLP,0.75,0.0,0.0
pubmed,SCAR,two_nnif,MLP,0.75,0.0,0.0
pubmed,SCAR,two_nnif,GATConv,0.75,0.0,0.0
pubmed,SCAR,two_nnif,GCNConv,0.75,0.0,0.0
pubmed,SCAR,nnpu,MLP,0.75,0.11422843732504377,0.031600669225909664
pubmed,SCAR,nnpu,GATConv,0.75,0.26045023929754435,0.1825155295908199
pubmed,SCAR,nnpu,GCNConv,0.75,0.11085816473173814,0.07577673052361508
pubmed,SCAR,imbnnpu,MLP,0.75,0.6638448980269721,0.004742554823621613
pubmed,SCAR,imbnnpu,GATConv,0.75,0.7040386303714734,0.009474989967374546
pubmed,SCAR,imbnnpu,GCNConv,0.75,0.71212108175359,0.007604377465986142
pubmed,SCAR,ours,GCNConv,0.75,0.0,0.0
pubmed,SCAR,NNIF,MLP,1.0,0.0,0.0
pubmed,SCAR,two_nnif,MLP,1.0,0.0,0.0
pubmed,SCAR,two_nnif,GATConv,1.0,0.0,0.0
pubmed,SCAR,two_nnif,GCNConv,1.0,0.0,0.0
pubmed,SCAR,nnpu,MLP,1.0,0.5815479775051252,0.030025037835664615
pubmed,SCAR,nnpu,GATConv,1.0,0.6364940895027771,0.014378894160175987
pubmed,SCAR,nnpu,GCNConv,1.0,0.6407699840775999,0.029474965908866106
pubmed,SCAR,imbnnpu,MLP,1.0,0.6636486147429631,0.004606431041766266
pubmed,SCAR,imbnnpu,GATConv,1.0,0.7040386303714734,0.009474989967374546
pubmed,SCAR,imbnnpu,GCNConv,1.0,0.7120637299014198,0.007682143257551759
pubmed,SCAR,ours,GCNConv,1.0,0.0,0.0
pubmed,SCAR,NNIF,MLP,1.25,0.0,0.0
pubmed,SCAR,two_nnif,MLP,1.25,0.0,0.0
pubmed,SCAR,two_nnif,GATConv,1.25,0.0,0.0
pubmed,SCAR,two_nnif,GCNConv,1.25,0.0,0.0
pubmed,SCAR,nnpu,MLP,1.25,0.6639670315170534,0.004574730928150623
pubmed,SCAR,nnpu,GATConv,1.25,0.7036068004095027,0.009438752104673638
pubmed,SCAR,nnpu,GCNConv,1.25,0.7122673074992285,0.007503767975489737
pubmed,SCAR,imbnnpu,MLP,1.25,0.6638686550895443,0.0047318556550526684
pubmed,SCAR,imbnnpu,GATConv,1.25,0.7040386303714734,0.009474989967374546
pubmed,SCAR,imbnnpu,GCNConv,1.25,0.7120921397397103,0.007711297498592506
pubmed,SCAR,ours,GCNConv,1.25,0.0,0.0
pubmed,SCAR,NNIF,MLP,1.5,0.0,0.0
pubmed,SCAR,two_nnif,MLP,1.5,0.0,0.0
pubmed,SCAR,two_nnif,GATConv,1.5,0.0,0.0
pubmed,SCAR,two_nnif,GCNConv,1.5,0.0,0.0
pubmed,SCAR,nnpu,MLP,1.5,0.602081669619098,0.02280744908708858
pubmed,SCAR,nnpu,GATConv,1.5,0.6699836114741246,0.028084336052865356
pubmed,SCAR,nnpu,GCNConv,1.5,0.6476171450179611,0.03676009132103588
pubmed,SCAR,imbnnpu,MLP,1.5,0.6636499427772519,0.004549625348450108
pubmed,SCAR,imbnnpu,GATConv,1.5,0.7040386303714734,0.009474989967374546
pubmed,SCAR,imbnnpu,GCNConv,1.5,0.7120637299014198,0.007682143257551759
pubmed,SCAR,ours,GCNConv,1.5,0.0,0.0
pubmed,SCAR,NNIF,MLP,1.75,0.0,0.0
pubmed,SCAR,two_nnif,MLP,1.75,0.0,0.0
pubmed,SCAR,two_nnif,GATConv,1.75,0.0,0.0
pubmed,SCAR,two_nnif,GCNConv,1.75,0.0,0.0
pubmed,SCAR,nnpu,MLP,1.75,0.49926362350663817,0.028385216427024462
pubmed,SCAR,nnpu,GATConv,1.75,0.5409295863937906,0.04823472090007639
pubmed,SCAR,nnpu,GCNConv,1.75,0.4939509871855101,0.05039030728261741
pubmed,SCAR,imbnnpu,MLP,1.75,0.6637702763942975,0.004659377817825571
pubmed,SCAR,imbnnpu,GATConv,1.75,0.7040386303714734,0.009474989967374546
pubmed,SCAR,imbnnpu,GCNConv,1.75,0.7120921397397103,0.007711297498592506
pubmed,SCAR,ours,GCNConv,1.75,0.0,0.0
pubmed,SCAR,NNIF,MLP,2.0,0.0,0.0
pubmed,SCAR,two_nnif,MLP,2.0,0.0,0.0
pubmed,SCAR,two_nnif,GATConv,2.0,0.0,0.0
pubmed,SCAR,two_nnif,GCNConv,2.0,0.0,0.0
