K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,reliable_mini_batch,clusters,accuracy,f1,recall,precision,losses,f1_std
34.0,2.0,256.0,256.0,,0.0018990508573961,removal,0.0,0.1733156752434882,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,0.9652679258183061,0.9244167623455896,0.9275102650242626,0.9213662898802173,"[20.818426847457886, 19.3007470369339, 19.60227394104004, 19.025469303131104, 21.620091199874878, 18.670578241348267, 18.734075665473938, 18.112075686454773, 18.807357788085938, 18.45159125328064, 19.54878306388855, 19.145201683044434, 19.093169808387756, 18.749168753623962, 19.68120563030243, 21.95693063735962, 19.15776515007019, 20.109833240509033, 18.417425870895386, 19.71255886554718, 17.20640254020691, 19.17129921913147, 17.344120740890503, 18.132142543792725, 16.932212471961975, 17.64162838459015, 16.579368829727173, 18.666138529777527, 16.23514175415039, 16.747549057006836, 16.43186128139496, 17.21621346473694, 16.22379505634308, 16.138907432556152, 18.29299306869507, 16.410528302192688, 16.179020404815674, 17.92012131214142, 17.516600012779236, 15.042082905769348, 15.625336766242981, 17.2060809135437, 14.761919736862183, 14.451600551605225, 17.845465779304504, 16.325390815734863, 14.537990927696228, 14.96251392364502, 14.704435348510742, 15.889207363128662]",0.0038207852709225406
32.0,2.0,256.0,256.0,,0.0018140809299992,removal,0.0,0.1768278387549171,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,0.9651995555935391,0.924367455183057,0.9288540500186636,0.9199341452519425,"[20.597373962402344, 19.06372606754303, 19.350800037384033, 18.81339168548584, 21.36980390548706, 18.439287900924683, 18.508877754211426, 17.876216769218445, 18.57448172569275, 18.24516797065735, 19.26258146762848, 18.759277820587158, 18.503267645835876, 18.07210409641266, 18.872936487197876, 20.806457042694092, 18.183162689208984, 19.105197072029114, 17.563233971595764, 18.93469774723053, 16.542926907539368, 18.484742164611816, 16.79090678691864, 17.554543495178223, 16.429692268371582, 17.15877592563629, 16.144363403320312, 18.191747069358826, 15.897148728370667, 16.403948307037354, 16.111494302749634, 16.913227677345276, 15.91834044456482, 15.866567134857178, 18.022337317466736, 16.18727695941925, 15.960283279418945, 17.716307997703552, 17.30821418762207, 14.894163131713867, 15.477108240127563, 17.045930981636047, 14.637881398200989, 14.33778190612793, 17.7105792760849, 16.24204385280609, 14.455025553703308, 14.892227172851562, 14.65771222114563, 15.842440128326416]",0.0006088597599673024
32.0,2.0,256.0,256.0,,0.0018403925834338,removal,0.0,0.1752251226486994,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,0.965131185368772,0.9240295426809159,0.9261664800298618,0.921911425959907,"[20.619243383407593, 19.10641849040985, 19.399478912353516, 18.859583854675293, 21.395640015602112, 18.48740839958191, 18.54598343372345, 17.925219178199768, 18.6186420917511, 18.26727604866028, 19.291102647781372, 18.75679874420166, 18.536771655082703, 18.079057455062866, 18.873269081115723, 20.82371211051941, 18.185339212417603, 19.10381293296814, 17.57199740409851, 18.90966820716858, 16.548148036003113, 18.466384410858154, 16.802117705345154, 17.55949831008911, 16.425727605819702, 17.15937113761902, 16.141682744026184, 18.187134623527527, 15.890192031860352, 16.394923210144043, 16.094302892684937, 16.90148401260376, 15.914727926254272, 15.833810687065125, 17.99597406387329, 16.169507265090942, 15.942936420440674, 17.68639600276947, 17.282055974006653, 14.865693926811218, 15.457326412200928, 17.036055088043213, 14.613010168075562, 14.318610787391663, 17.6825053691864, 16.21418035030365, 14.442946434020996, 14.866674304008484, 14.62922978401184, 15.80953598022461]",0.0012067633219527652
32.0,2.0,256.0,256.0,,0.0021403369706802,removal,0.0,0.1693424584617686,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,0.9650286300316212,0.9238215965826158,0.9261664800298618,0.9214892321217232,"[20.738324642181396, 19.19844114780426, 19.488641262054443, 18.95234441757202, 21.505993604660034, 18.59149169921875, 18.622013807296753, 18.00786054134369, 18.667925357818604, 18.207350730895996, 19.08194136619568, 18.515010833740234, 18.28671956062317, 17.832539319992065, 18.624963879585266, 20.466487884521484, 17.90505313873291, 18.773638129234314, 17.280487418174744, 18.591668605804443, 16.271333932876587, 18.099998950958252, 16.468584179878235, 17.188930988311768, 16.10082983970642, 16.77364957332611, 15.774844884872437, 17.72926378250122, 15.564722061157227, 16.01035213470459, 15.69516658782959, 16.466019988059998, 15.515388131141663, 15.433176636695862, 17.47993290424347, 15.737399458885193, 15.500813245773315, 17.153239607810974, 16.76528525352478, 14.452912449836731, 14.985671520233154, 16.470955729484558, 14.169130802154541, 13.874025106430054, 16.991390585899353, 15.6713125705719, 13.962621808052063, 14.339208722114563, 14.131041288375854, 15.213619947433472]",0.0007568902122493882
35.0,2.0,256.0,256.0,,0.0024072695729676,removal,0.0,0.1722078126923786,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,0.9647380565763608,0.9235045786713976,0.9296752519596863,0.917416032468237,"[20.83068037033081, 19.272576689720154, 19.599396467208862, 19.016311645507812, 21.60179042816162, 18.683202028274536, 18.71261489391327, 18.059013724327087, 18.768237113952637, 18.40224266052246, 19.497321128845215, 19.079307556152344, 18.98513889312744, 18.686469316482544, 19.606016516685486, 21.69214916229248, 18.804599046707153, 19.64078986644745, 17.975105047225952, 19.213406085968018, 16.732295632362366, 18.624906539916992, 16.839314579963684, 17.55782949924469, 16.386127710342407, 17.022239208221436, 15.98741340637207, 17.94484031200409, 15.643855571746826, 16.113046169281006, 15.7798091173172, 16.508758783340454, 15.52570903301239, 15.383407950401306, 17.440293073654175, 15.656647562980652, 15.381210684776306, 17.033714532852173, 16.60262644290924, 14.287625670433044, 14.813794136047363, 16.234750866889954, 13.949771881103516, 13.649283289909363, 16.699102878570557, 15.383732318878174, 13.688968181610107, 14.047677397727966, 13.826958537101746, 14.88154661655426]",0.0005161602320761995
33.0,2.0,256.0,256.0,,0.0020419687479848,removal,0.0,0.1718270417418942,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,0.964806426801128,0.9233752395949031,0.9260918253079506,0.9206928792955369,"[20.789230585098267, 19.237472534179688, 19.56453537940979, 19.00731062889099, 21.53721582889557, 18.658063411712646, 18.684245586395264, 18.068606734275818, 18.768874168395996, 18.43126392364502, 19.47851586341858, 19.11976170539856, 18.932900071144104, 18.46616566181183, 19.19997489452362, 21.14138150215149, 18.433292984962463, 19.28171217441559, 17.7338627576828, 19.063250184059143, 16.64826786518097, 18.569830656051636, 16.855974197387695, 17.598641991615295, 16.483011841773987, 17.162142872810364, 16.150272130966187, 18.144996285438538, 15.865272879600525, 16.34976899623871, 16.03816843032837, 16.799076676368713, 15.823611617088318, 15.741985082626343, 17.849717259407043, 16.037017822265625, 15.813208818435669, 17.504705548286438, 17.071609258651733, 14.70628798007965, 15.271228909492493, 16.79770255088806, 14.4336599111557, 14.135181307792664, 17.360450983047485, 15.962101340293884, 14.212923765182495, 14.614925980567932, 14.385921239852905, 15.516347646713257]",0.0022916372412032362
34.0,2.0,256.0,256.0,,0.0014606699196397,removal,0.0,0.1764943146890842,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,0.9647209640201693,0.9233651772705759,0.9281821575214633,0.9186164918481957,"[20.769208669662476, 19.239400029182434, 19.538928508758545, 18.976885080337524, 21.54627823829651, 18.641839265823364, 18.676480054855347, 18.0648934841156, 18.772390127182007, 18.414833068847656, 19.517730116844177, 19.1273512840271, 19.028732299804688, 18.766518712043762, 19.680896162986755, 21.992735862731934, 19.28173851966858, 20.409813284873962, 18.900351643562317, 20.376031517982483, 17.907292366027832, 20.071775197982788, 18.03611946105957, 18.88620638847351, 17.604177594184875, 18.389302849769592, 17.241456508636475, 19.45925509929657, 16.87143385410309, 17.397875905036926, 17.09706687927246, 17.931459426879883, 16.85255479812622, 16.824795484542847, 19.133728742599487, 17.134005904197693, 16.92042326927185, 18.755279183387756, 18.34606957435608, 15.736218810081482, 16.35017442703247, 18.094107151031494, 15.50678837299347, 15.1646808385849, 18.862792372703552, 17.156336307525635, 15.264705419540405, 15.76555049419403, 15.490448474884033, 16.792892694473267]",0.003074764190046706
34.0,2.0,256.0,256.0,,0.0015334909040668,removal,0.0,0.16484053921992,366.6,sum,GCNConv,15.0,8.0,1.0,100.0,0.9648747970258953,0.9232182117785651,0.9222844344904815,0.9241652335773336,"[20.90528655052185, 19.365336656570435, 19.672651529312134, 19.09839701652527, 21.686954379081726, 18.765812158584595, 18.81485116481781, 18.20279836654663, 18.846863269805908, 18.532875776290894, 19.620463252067566, 19.25700855255127, 19.136942148208618, 18.87397575378418, 19.790194153785706, 22.096471548080444, 19.39378595352173, 20.514870285987854, 19.005285620689392, 20.42189931869507, 17.89420461654663, 19.962592124938965, 17.979190826416016, 18.775522232055664, 17.547289848327637, 18.320946097373962, 17.19224500656128, 19.390748739242554, 16.847424745559692, 17.342896938323975, 17.013174772262573, 17.881136059761047, 16.808124542236328, 16.783498883247375, 19.040500283241272, 17.09232485294342, 16.85908818244934, 18.67484450340271, 18.251768350601196, 15.677501797676086, 16.28633749485016, 17.98327112197876, 15.421189188957214, 15.100548386573792, 18.733384132385254, 17.081900358200073, 15.194849133491516, 15.669018507003784, 15.411134839057922, 16.683314085006714]",0.001873087370012801
33.0,2.0,256.0,256.0,,0.0020660190615247,removal,0.0,0.179899950444107,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,0.9644474831211006,0.9231094456472642,0.9320642030608436,0.9143309320378157,"[20.641557455062866, 19.076834440231323, 19.406468391418457, 18.836718320846558, 21.381008982658386, 18.480103731155396, 18.509957790374756, 17.898900866508484, 18.6229590177536, 18.23733425140381, 19.35203492641449, 18.94453477859497, 18.754785656929016, 18.27538013458252, 19.02381181716919, 20.935641527175903, 18.248928427696228, 19.112682819366455, 17.5634343624115, 18.892745971679688, 16.476330876350403, 18.400961875915527, 16.67733085155487, 17.443525671958923, 16.313272356987, 16.98815095424652, 15.98813247680664, 17.994167804718018, 15.704713344573975, 16.212854981422424, 15.881267666816711, 16.620670080184937, 15.689459323883057, 15.581994891166687, 17.677869200706482, 15.875795483589172, 15.65199589729309, 17.33765399456024, 16.920591592788696, 14.575603008270264, 15.12198030948639, 16.645309567451477, 14.288958072662354, 13.98796796798706, 17.220056772232056, 15.824576020240784, 14.082014679908752, 14.47379195690155, 14.2365140914917, 15.368827104568481]",0.0025281621243838613
34.0,2.0,256.0,256.0,,0.00199218971517,removal,0.0,0.1782910768662158,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,0.9645671310144431,0.9230381370710765,0.9279581933557297,0.9182042065926055,"[20.737881898880005, 19.19690454006195, 19.501851081848145, 18.94926619529724, 21.504451751708984, 18.590835571289062, 18.647924661636353, 18.0015310049057, 18.6830313205719, 18.34209895133972, 19.432442665100098, 19.070167779922485, 18.959365606307983, 18.650834441184998, 19.59026277065277, 21.762311935424805, 18.930696725845337, 19.836391806602478, 18.157378673553467, 19.466662764549255, 16.971691250801086, 18.942652702331543, 17.106877207756042, 17.916156768798828, 16.745298504829407, 17.41262924671173, 16.387713313102722, 18.423952102661133, 16.052616119384766, 16.526943683624268, 16.19954741001129, 16.971240043640137, 16.013265132904053, 15.923277974128723, 18.054645895957947, 16.195467472076416, 15.968230247497559, 17.69182252883911, 17.25757896900177, 14.838369846343994, 15.407625317573547, 16.96279215812683, 14.55465567111969, 14.240622758865356, 17.570937514305115, 16.089877247810364, 14.32816219329834, 14.746679067611694, 14.484095215797424, 15.645914912223816]",0.0019078664936529094
