K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision,f1_std
11.0,2.0,256.0,256.0,,0.005,removal,0.0,0.1673921511281824,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[29.389585256576538, 29.182818174362183, 28.763071060180664, 28.26229190826416, 28.033806324005127, 27.26257014274597, 27.10422134399414, 26.19053077697754, 25.512832522392273, 25.0108243227005, 24.35287833213806, 23.62618625164032, 22.938628435134888, 22.2198543548584, 21.604424834251404, 20.73836398124695, 20.233080863952637, 19.21669578552246, 18.620721578598022, 17.820098400115967, 16.881142020225525, 16.255399703979492, 15.492242097854614, 15.125723242759705, 14.13845705986023, 13.66315758228302, 12.953566789627075, 12.349924445152283, 11.71402657032013, 11.275472819805145, 10.779377579689026, 10.327627837657928, 9.794427990913391, 9.454916000366211, 9.064056396484375, 8.705792844295502, 8.333631336688995, 8.034298777580261, 7.7231727838516235, 7.385484397411346, 7.180900573730469, 6.824269413948059, 6.605923771858215, 6.360009551048279, 6.115242213010788, 5.928343683481216, 5.733194828033447, 5.515278160572052, 5.34451150894165, 5.1294286251068115]",0.9592124312325065,0.8415552077264181,0.8379387602688574,0.8454177668231762,0.00526288246114737
6.0,2.0,256.0,256.0,,0.005,removal,0.0,0.167392,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[23.247788667678833, 22.733752846717834, 22.55424678325653, 21.768825888633728, 21.005943059921265, 20.454038500785828, 20.0450302362442, 19.312072038650513, 18.683257937431335, 17.971551179885864, 17.313035368919373, 16.881551265716553, 16.199899315834045, 15.634874939918518, 14.905286073684692, 14.471195101737976, 13.725995540618896, 13.243799924850464, 12.631042242050171, 12.17044448852539, 11.690332174301147, 11.22781103849411, 10.684791147708893, 10.35445648431778, 9.865325689315796, 9.568719804286957, 8.995689034461975, 8.676162123680115, 8.379458844661713, 8.063574492931366, 7.745338559150696, 7.4899702072143555, 7.1275914311409, 6.862871170043945, 6.659699976444244, 6.420141160488129, 6.146983176469803, 5.989157497882843, 5.7742050886154175, 5.580154478549957, 5.377711206674576, 5.209246844053268, 5.008087307214737, 4.848482996225357, 4.725137829780579, 4.587606191635132, 4.424596816301346, 4.3147861659526825, 4.177729427814484, 4.0494212210178375]",0.9591738249203745,0.8415219749935291,0.8386855862584017,0.8444492327959727,0.004538138476628697
6.0,2.0,256.0,256.0,,0.005,removal,0.0,0.167392,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[23.247788667678833, 22.733752846717834, 22.55424678325653, 21.768825888633728, 21.005943059921265, 20.454038500785828, 20.0450302362442, 19.312072038650513, 18.683257937431335, 17.971551179885864, 17.313035368919373, 16.881551265716553, 16.199899315834045, 15.634874939918518, 14.905286073684692, 14.471195101737976, 13.725995540618896, 13.243799924850464, 12.631042242050171, 12.17044448852539, 11.690332174301147, 11.22781103849411, 10.684791147708893, 10.35445648431778, 9.865325689315796, 9.568719804286957, 8.995689034461975, 8.676162123680115, 8.379458844661713, 8.063574492931366, 7.745338559150696, 7.4899702072143555, 7.1275914311409, 6.862871170043945, 6.659699976444244, 6.420141160488129, 6.146983176469803, 5.989157497882843, 5.7742050886154175, 5.580154478549957, 5.377711206674576, 5.209246844053268, 5.008087307214737, 4.848482996225357, 4.725137829780579, 4.587606191635132, 4.424596816301346, 4.3147861659526825, 4.177729427814484, 4.0494212210178375]",0.9591931280764404,0.8413222171307568,0.8370425690814042,0.8457347656636085,0.004872635805221475
15.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2061621891027859,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[28.74640965461731, 28.616554021835327, 28.175885915756226, 27.809756994247437, 27.71891498565674, 27.06103777885437, 26.941665172576904, 26.21836543083191, 25.71297323703766, 25.289230227470398, 24.80796253681183, 24.257717847824097, 23.725985288619995, 23.273027658462524, 22.774630308151245, 22.033095240592957, 21.67790186405182, 20.69489347934723, 20.16741168498993, 19.466763496398926, 18.477900505065918, 17.909902334213257, 17.103177666664124, 16.77175545692444, 15.68774962425232, 15.180188298225403, 14.35534942150116, 13.676191926002502, 12.957212686538696, 12.448726534843445, 11.859360456466675, 11.32895803451538, 10.716050922870636, 10.310359001159668, 9.852265357971191, 9.422411441802979, 8.98637843132019, 8.637881994247437, 8.271150946617126, 7.87351006269455, 7.628239154815674, 7.224922299385071, 6.970768511295319, 6.688802540302277, 6.41142350435257, 6.196562051773071, 5.973528444766998, 5.730016350746155, 5.53898087143898, 5.299358397722244]",0.9581121513367435,0.8408705600675155,0.8563106796116504,0.8261372027984504,0.003235884080625121
14.0,2.0,256.0,256.0,,0.005,removal,0.0,0.22409186614834206,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[26.893863677978516, 26.744177103042603, 26.34279489517212, 25.974279642105103, 25.86330258846283, 25.23481857776642, 25.126344323158264, 24.413683652877808, 23.907283425331116, 23.49874222278595, 23.008464694023132, 22.461745977401733, 21.93008780479431, 21.439040303230286, 20.94154453277588, 20.21729564666748, 19.845313906669617, 18.91816747188568, 18.400932550430298, 17.716081976890564, 16.800822019577026, 16.250644207000732, 15.503166794776917, 15.176382303237915, 14.190996050834656, 13.719020962715149, 12.98372733592987, 12.363048791885376, 11.713400781154633, 11.256731748580933, 10.733165323734283, 10.257565140724182, 9.709578335285187, 9.3476083278656, 8.941872656345367, 8.557581841945648, 8.169664561748505, 7.8585028648376465, 7.533709108829498, 7.179128408432007, 6.961596488952637, 6.59972208738327, 6.371840000152588, 6.120690166950226, 5.871608346700668, 5.679505825042725, 5.479124695062637, 5.260921955108643, 5.08898651599884, 4.872853457927704]",0.9575523598108291,0.8404076026403106,0.8646751306945483,0.8176469725764332,0.0028885779768340705
15.0,2.0,256.0,256.0,,0.005,removal,0.0,0.20335295849017593,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[28.99713158607483, 28.860958337783813, 28.416430950164795, 28.04517674446106, 27.957573175430298, 27.295440673828125, 27.176697731018066, 26.445602655410767, 25.926647186279297, 25.503616213798523, 25.0191171169281, 24.465978741645813, 23.9300856590271, 23.47161054611206, 22.968722462654114, 22.221690773963928, 21.866433024406433, 20.87670373916626, 20.340890288352966, 19.634311079978943, 18.64073646068573, 18.0649973154068, 17.25127685070038, 16.918474435806274, 15.826849460601807, 15.31269657611847, 14.483238101005554, 13.798045873641968, 13.073598146438599, 12.56087064743042, 11.964821815490723, 11.428811728954315, 10.810347199440002, 10.402520298957825, 9.941350936889648, 9.507879316806793, 9.067085146903992, 8.716344714164734, 8.34651505947113, 7.944639623165131, 7.696275889873505, 7.289941370487213, 7.032105803489685, 6.749171316623688, 6.468937397003174, 6.252844750881195, 6.026459634304047, 5.781994611024857, 5.588830888271332, 5.347272336483002]",0.9579191197760833,0.8401065983730446,0.8551157580283795,0.8258186626458338,0.005521284604771662
15.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2056914351608315,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[28.78847885131836, 28.652220964431763, 28.208568334579468, 27.840219259262085, 27.75132989883423, 27.095879316329956, 26.97699809074402, 26.25216507911682, 25.742201328277588, 25.317347645759583, 24.83518898487091, 24.287952661514282, 23.75376284122467, 23.301952481269836, 22.800072073936462, 22.057315468788147, 21.70230758190155, 20.718749403953552, 20.190007209777832, 19.487295746803284, 18.49990165233612, 17.931333780288696, 17.123549342155457, 16.793397426605225, 15.706123352050781, 15.197656631469727, 14.374638319015503, 13.693134546279907, 12.97472858428955, 12.465482711791992, 11.87518459558487, 11.343537032604218, 10.729452967643738, 10.323660254478455, 9.866373181343079, 9.435042023658752, 8.999462246894836, 8.650135040283203, 8.282185912132263, 7.883978188037872, 7.638373255729675, 7.236306369304657, 6.980022490024567, 6.698940277099609, 6.420453608036041, 6.206098914146423, 5.981629490852356, 5.737565398216248, 5.5472374856472015, 5.306778788566589]",0.9578226039957534,0.8400303427783724,0.8567587752053771,0.824059779163593,0.005431627959965665
11.0,2.0,256.0,256.0,,0.005,removal,0.0,0.1747496884220432,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[28.71626615524292, 28.511903762817383, 28.099403619766235, 27.61271595954895, 27.38700270652771, 26.634230613708496, 26.476128578186035, 25.58240842819214, 24.923752307891846, 24.434977650642395, 23.78888463973999, 23.08107626438141, 22.409677386283875, 21.703959822654724, 21.10427463054657, 20.259532809257507, 19.76415240764618, 18.77243733406067, 18.192354917526245, 17.408838748931885, 16.49199151992798, 15.880889177322388, 15.135795950889587, 14.77656102180481, 13.812005162239075, 13.348999857902527, 12.654613494873047, 12.064598262310028, 11.444443464279175, 11.016292870044708, 10.53228610754013, 10.091003060340881, 9.5701425075531, 9.237698495388031, 8.856766164302826, 8.505977213382721, 8.14238178730011, 7.850253164768219, 7.546244859695435, 7.215728282928467, 7.016537547111511, 6.668633043766022, 6.4550458788871765, 6.21483850479126, 5.97568741440773, 5.792913794517517, 5.601320177316666, 5.388750225305557, 5.222208589315414, 5.011923730373383]",0.9585947302383939,0.8399729131260202,0.8409260642270351,0.8391195834319696,0.004643806448274941
16.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2071036587957516,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[29.246459007263184, 29.12269163131714, 28.657354831695557, 28.296521186828613, 28.22274923324585, 27.570218801498413, 27.442864179611206, 26.74167227745056, 26.241337299346924, 25.825453877449036, 25.36806344985962, 24.854307174682617, 24.345529437065125, 23.95285439491272, 23.479291558265686, 22.762636303901672, 22.452783703804016, 21.471383213996887, 20.964429140090942, 20.2925443649292, 19.291542172431946, 18.743378162384033, 17.92456805706024, 17.615437150001526, 16.493200063705444, 15.980514645576477, 15.11384105682373, 14.405132055282593, 13.655659914016724, 13.121844410896301, 12.49651288986206, 11.929925799369812, 11.282570481300354, 10.848860681056976, 10.362496554851532, 9.899820566177368, 9.434862613677979, 9.063672482967377, 8.670961797237396, 8.243704497814178, 7.97914719581604, 7.551198244094849, 7.278539597988129, 6.980033457279205, 6.684450805187225, 6.4553622007369995, 6.2165325582027435, 5.959093689918518, 5.756286978721619, 5.503288149833679]",0.9575523598108291,0.8393576416307742,0.8578043315907393,0.821884458768429,0.0054192557838961845
20.0,2.0,256.0,256.0,,0.005,removal,0.0,0.22784725241550202,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[29.751965522766113, 29.635591745376587, 29.080435276031494, 28.748351335525513, 28.69118094444275, 28.06316614151001, 27.855931043624878, 27.257999420166016, 26.752095222473145, 26.34263586997986, 25.960679054260254, 25.570404291152954, 25.118599891662598, 24.937838315963745, 24.572221636772156, 23.9856436252594, 23.86222267150879, 22.974050521850586, 22.61488652229309, 22.143470883369446, 21.201666951179504, 20.830164790153503, 20.072044849395752, 19.955011248588562, 18.812201976776123, 18.383047938346863, 17.4482923746109, 16.732686161994934, 15.942833065986633, 15.387041807174683, 14.671432137489319, 14.02629029750824, 13.287909388542175, 12.77224850654602, 12.201223850250244, 11.630767941474915, 11.06230479478836, 10.613770604133606, 10.123086214065552, 9.58684229850769, 9.24912577867508, 8.72598683834076, 8.385378062725067, 8.013138711452484, 7.6476041078567505, 7.363020956516266, 7.064607501029968, 6.751673877239227, 6.5011261105537415, 6.19526219367981]",0.9569925682849145,0.8387909030594015,0.8657206870799105,0.8135567304981629,0.003461714511274843
